"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"1301","極洋","東証","20240208","20240213","日証金","4070.00","300","8.20","0.00","0","1","0.00","",""
"1306","ＴＯＰＩＸ連動型上場","東証","20240208","20240213","日証金","2681.50","97760","8.00","0.00","0","1","0.50","",""
"1308","上場ＴＯＰＩＸ","東証","20240208","20240213","日証金","2648.00","11645","60.00","5.00","0.188822","1","0.00","",""
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20240208","20240213","日証金","1341.50","1050","7.00","0.00","0","1","-","",""
"1320","ｉＦ２２５年１","東証","20240208","20240213","日証金","38090.00","12918","90.00","5.00","0.0131268","1","5.00","",""
"1321","日経２２５上場投信","東証","20240208","20240213","日証金","38250.00","95389","90.00","5.00","0.0130719","1","0.00","",""
"1329","ｉシェアーズ　２２５","東証","20240208","20240213","日証金","38120.00","2689","90.00","5.00","0.0131165","1","5.00","",""
"1330","上場２２５","東証","20240208","20240213","日証金","38310.00","23275","90.00","5.00","0.0130514","1","5.00","",""
"1332","ニッスイ","東証","20240208","20240213","日証金","903.00","0","2.00","-","0","-","-","満額",""
"1343","東証ＲＥＩＴ指数連動","東証","20240208","20240213","日証金","1918.00","70840","7.00","0.50","0.0260688","1","0.50","",""
"1346","ＭＸＳ２２５上場投信","東証","20240208","20240213","日証金","38040.00","2563","90.00","5.00","0.0131441","1","-","",""
"1348","ＭＸＳＴＰＸ上場投信","東証","20240208","20240213","日証金","2650.00","4110","8.00","0.50","0.0188679","1","0.50","",""
"1358","上場日経２倍","東証","20240208","20240213","日証金","47360.00","7471","100.00","100.00","0.211149","1","5.00","",""
"1364","ｉＳＪＰＸ日経４００","東証","20240208","20240213","日証金","23635.00","0","80.00","-","0","-","5.00","満額",""
"1365","ｉＦ２２５ダブル","東証","20240208","20240213","日証金","39420.00","4826","90.00","5.00","0.0126839","1","5.00","",""
"1367","ｉＦＴＰＸダブル","東証","20240208","20240213","日証金","33080.00","554","90.00","0.00","0","1","0.00","",""
"1369","Ｏｎｅ・日経２２５","東証","20240208","20240213","日証金","36920.00","308","90.00","5.00","0.0135428","1","5.00","",""
"1379","ホクト","東証","20240208","20240213","日証金","1773.00","0","3.60","-","0","-","-","満額",""
"1397","ＳＭＤＡＭ　２２５","東証","20240208","20240213","日証金","37290.00","18","90.00","5.00","0.0134084","1","5.00","",""
"1407","ウエストＨＤ","東証","20240208","20240213","日証金","3190.00","1800","6.40","0.00","0","1","0.00","",""
"1419","タマホーム","東証","20240208","20240213","日証金","4020.00","142600","8.20","0.05","0.00124378","1","0.10","",""
"1433","ベステラ","東証","20240208","20240213","日証金","970.00","0","2.00","-","0","-","-","満額",""
"1434","ＪＥＳＣＯ　ＨＤ","東証","20240208","20240213","日証金","941.00","0","2.00","-","0","-","-","満額",""
"1446","キャンディル","東証","20240208","20240213","日証金","586.00","7900","1.20","0.00","0","1","0.00","",""
"1458","楽天２２５ダブルブル","東証","20240208","20240213","日証金","30080.00","28510","90.00","5.00","0.0166223","1","5.00","",""
"1464","ｉＦＪ４００ダブル","東証","20240208","20240213","日証金","26495.00","7","80.00","0.00","0","1","-","",""
"1472","Ｊ４００ダブルインバ","東証","20240208","20240213","日証金","343.00","157","60.00","0.00","0","1","0.00","",""
"1473","Ｏｎｅ・トピックス","東証","20240208","20240213","日証金","2597.50","20","8.00","0.00","0","1","-","",""
"1477","ｉＳＭＳＣＩ最小分散","東証","20240208","20240213","日証金","2416.00","93","60.00","0.00","0","1","5.00","",""
"1481","上場日本経済貢献","東証","20240208","20240213","日証金","2620.00","0","60.00","-","0","-","-","満額",""
"1493","Ｏｎｅ・中小型","東証","20240208","20240213","日証金","18240.00","6","70.00","0.00","0","1","0.00","",""
"1494","Ｏｎｅ・高配当日本株","東証","20240208","20240213","日証金","28020.00","0","80.00","-","0","-","-","満額",""
"1496","ｉＳ米＄ＩＧ社債ヘジ","東証","20240208","20240213","日証金","1893.00","22","60.00","0.00","0","1","-","",""
"1518","三井松島ＨＤ","東証","20240208","20240213","日証金","2775.00","0","11.20","-","0","-","-","満額","停止"
"1545","ナスダックヘッジ無","東証","20240208","20240213","日証金","26830.00","0","80.00","-","0","-","0.00","満額",""
"1547","上場米国Ｓ＆Ｐ５００","東証","20240208","20240213","日証金","8060.00","13480","18.00","0.50","0.00620347","1","0.50","",""
"1551","スタンダドＴＯＰ２０","東証","20240208","20240213","日証金","5020.00","190","12.00","0.50","0.00996016","1","0.50","",""
"1554","上場インデＭＳ世界","東証","20240208","20240213","日証金","4125.00","0","10.00","-","0","-","-","満額",""
"1555","上場インデＡリート","東証","20240208","20240213","日証金","1986.50","360","7.00","0.50","0.0251699","1","0.50","",""
"1560","ブルサＫＬＣＩ","東証","20240208","20240213","日証金","4585.00","0","60.00","-","0","-","-","満額",""
"1563","東証グロース・コア","東証","20240208","20240213","日証金","2560.00","0","60.00","-","0","-","-","満額",""
"1568","ＴＰＸブル２倍ＥＴＦ","東証","20240208","20240213","日証金","42670.00","8750","344.00","1.00","0.00234357","1","0.50","","注意"
"1570","日経レバレッジＥＴＦ","東証","20240208","20240213","日証金","25535.00","916323","160.00","160.00","0.626591","1","5.00","","注意"
"1577","ＦＵＮＤＳ野村７０","東証","20240208","20240213","日証金","34330.00","0","90.00","-","0","-","-","満額",""
"1579","日経ブル２倍上場投信","東証","20240208","20240213","日証金","27315.00","101570","224.00","5.50","0.0201355","1","0.50","","注意"
"1591","ＪＰＸ日経４００投信","東証","20240208","20240213","日証金","23195.00","693","80.00","5.00","0.0215564","1","5.00","",""
"1592","上場ＪＰＸ日経４００","東証","20240208","20240213","日証金","2125.00","55","60.00","0.00","0","1","0.00","",""
"1593","ＭＸＳＪＰＸ４００","東証","20240208","20240213","日証金","23700.00","199","80.00","0.00","0","1","0.00","",""
"1597","ＭＸＳ　Ｊリート投信","東証","20240208","20240213","日証金","1824.00","0","7.00","-","0","-","-","満額",""
"1617","ＴＰＸ１７食品","東証","20240208","20240213","日証金","37270.00","0","90.00","-","0","-","-","満額",""
"1618","ＴＰＸ１７エネルギー","東証","20240208","20240213","日証金","18320.00","60","70.00","0.00","0","1","0.00","",""
"1619","ＴＰＸ１７建設・資材","東証","20240208","20240213","日証金","28420.00","0","80.00","-","0","-","-","満額",""
"1620","ＴＰＸ１７素材・化学","東証","20240208","20240213","日証金","29650.00","0","80.00","-","0","-","-","満額",""
"1621","ＴＰＸ１７医薬品","東証","20240208","20240213","日証金","27020.00","102","80.00","5.00","0.0185048","1","5.00","",""
"1622","ＴＰＸ１７自動車輸送","東証","20240208","20240213","日証金","34740.00","0","90.00","-","0","-","0.00","満額",""
"1623","ＴＰＸ１７鉄鋼・非鉄","東証","20240208","20240213","日証金","24960.00","26","80.00","0.00","0","1","-","",""
"1624","ＴＰＸ１７機械","東証","20240208","20240213","日証金","52280.00","3","120.00","5.00","0.00956389","1","5.00","",""
"1625","ＴＰＸ１７電機・精密","東証","20240208","20240213","日証金","35740.00","0","90.00","-","0","-","-","満額",""
"1628","ＴＰＸ１７運輸・物流","東証","20240208","20240213","日証金","19495.00","0","70.00","-","0","-","-","満額",""
"1629","ＴＰＸ１７商社・卸売","東証","20240208","20240213","日証金","78510.00","120","160.00","5.00","0.00636862","1","5.00","",""
"1630","ＴＰＸ１７小売","東証","20240208","20240213","日証金","28340.00","0","80.00","-","0","-","0.00","満額",""
"1631","ＴＰＸ１７銀行","東証","20240208","20240213","日証金","15165.00","0","70.00","-","0","-","-","満額",""
"1632","ＴＰＸ１７金融","東証","20240208","20240213","日証金","21895.00","0","80.00","-","0","-","-","満額",""
"1633","ＴＰＸ１７不動産","東証","20240208","20240213","日証金","36960.00","70","90.00","0.00","0","1","0.00","",""
"1657","ｉＳＭＳＣＩ先進国株","東証","20240208","20240213","日証金","4485.00","0","60.00","-","0","-","-","満額",""
"1677","上場インデックスファ","東証","20240208","20240213","日証金","54540.00","200","220.00","0.50","0.000916758","1","1.00","","注意"
"1679","ＮＹダウジョンズ投信","東証","20240208","20240213","日証金","48000.00","510","192.00","1.00","0.00208333","1","1.00","","注意"
"1681","上場海外新興国株式","東証","20240208","20240213","日証金","1843.00","0","7.00","-","0","-","-","満額",""
"1719","安藤・間","東証","20240208","20240213","日証金","1247.00","0","2.60","-","0","-","-","満額",""
"1766","東建コーポレーション","東証","20240208","20240213","日証金","9600.00","3000","19.20","0.20","0.00208333","1","0.20","",""
"1801","大成建設","東証","20240208","20240213","日証金","5145.00","106700","10.40","0.10","0.00194363","1","0.10","",""
"1802","大林組","東証","20240208","20240213","日証金","1421.50","67700","3.00","0.05","0.00351741","1","0.00","",""
"1808","長谷工コーポ","東証","20240208","20240213","日証金","1892.00","0","3.80","-","0","-","-","満額",""
"1814","大末建設","東証","20240208","20240213","日証金","1599.00","0","3.20","-","0","-","-","満額",""
"1820","西松建設","東証","20240208","20240213","日証金","4396.00","0","8.80","-","0","-","0.00","満額",""
"1860","戸田建設","東証","20240208","20240213","日証金","943.70","10800","2.00","0.00","0","1","0.05","",""
"1870","矢作建設工業","東証","20240208","20240213","日証金","1450.00","600","3.00","0.00","0","1","-","",""
"1878","大東建託","東証","20240208","20240213","日証金","17090.00","10700","34.20","0.25","0.00146284","1","0.25","",""
"1899","福田組","東証","20240208","20240213","日証金","5380.00","0","10.80","-","0","-","-","満額",""
"1904","大成温調","東証","20240208","20240213","日証金","5470.00","3200","22.00","0.05","0.000914077","1","0.05","","注意"
"1921","巴コーポレーション","東証","20240208","20240213","日証金","608.00","0","1.40","-","0","-","-","満額",""
"1934","ユアテック","東証","20240208","20240213","日証金","1389.00","0","2.80","-","0","-","-","満額",""
"1939","四電工","東証","20240208","20240213","日証金","3900.00","0","7.80","-","0","-","-","満額",""
"1941","中電工","東証","20240208","20240213","日証金","2895.00","0","5.80","-","0","-","-","満額",""
"1968","太平電業","東証","20240208","20240213","日証金","4425.00","1200","9.00","0.10","0.00225989","1","0.05","",""
"1972","三晃金属工業","東証","20240208","20240213","日証金","4905.00","0","10.00","-","0","-","-","満額",""
"1973","ＮＥＣネッツエスアイ","東証","20240208","20240213","日証金","2373.00","900","4.80","0.00","0","1","-","",""
"1976","明星工業","東証","20240208","20240213","日証金","1139.00","0","2.40","-","0","-","-","満額",""
"1980","ダイダン","東証","20240208","20240213","日証金","1716.00","30700","3.60","0.05","0.00291375","1","0.05","",""
