"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"1306","ＴＯＰＩＸ連動型上場","東証","20231205","20231207","日証金","2446.50","116180","8.00","0.00","0","1","0.00","",""
"1308","上場ＴＯＰＩＸ","東証","20231205","20231207","日証金","2417.00","5365","60.00","0.00","0","1","0.00","",""
"1320","ｉＦ２２５年１","東証","20231205","20231207","日証金","33810.00","4106","90.00","0.00","0","1","5.00","",""
"1321","日経２２５上場投信","東証","20231205","20231207","日証金","33950.00","14262","90.00","0.00","0","1","0.00","",""
"1328","金価格連動型上場投信","東証","20231205","20231207","日証金","7361.00","200","32.00","0.50","0.00679256","1","-","","注意"
"1330","上場２２５","東証","20231205","20231207","日証金","33990.00","1416","90.00","0.00","0","1","5.00","",""
"1343","東証ＲＥＩＴ指数連動","東証","20231205","20231207","日証金","1955.00","0","7.00","-","0","-","-","満額",""
"1346","ＭＸＳ２２５上場投信","東証","20231205","20231207","日証金","34050.00","797","90.00","5.00","0.0146843","1","-","",""
"1364","ｉＳＪＰＸ日経４００","東証","20231205","20231207","日証金","21755.00","6","80.00","0.00","0","1","0.00","",""
"1368","ｉＦＴＰＸＷベア","東証","20231205","20231207","日証金","809.00","886","60.00","0.00","0","1","0.00","",""
"1369","Ｏｎｅ・日経２２５","東証","20231205","20231207","日証金","33060.00","334","90.00","5.00","0.015124","1","5.00","",""
"1377","サカタのタネ","東証","20231205","20231207","日証金","3970.00","0","8.00","-","0","-","-","満額",""
"1407","ウエストＨＤ","東証","20231205","20231207","日証金","3100.00","4900","6.20","0.00","0","1","0.00","",""
"1419","タマホーム","東証","20231205","20231207","日証金","3520.00","134900","7.20","0.10","0.00284091","1","0.10","",""
"1430","ファーストコーポ","東証","20231205","20231207","日証金","732.00","38000","1.60","0.05","0.0068306","1","0.05","",""
"1433","ベステラ","東証","20231205","20231207","日証金","1041.00","17500","2.20","0.00","0","1","0.00","",""
"1446","キャンディル","東証","20231205","20231207","日証金","575.00","13200","1.20","0.05","0.00869565","1","0.05","",""
"1466","ｉＦＪ４００Ｗベア","東証","20231205","20231207","日証金","1036.00","0","60.00","-","0","-","-","満額",""
"1469","４００ベア２倍","東証","20231205","20231207","日証金","1011.00","0","7.00","-","0","-","-","満額",""
"1473","Ｏｎｅ・トピックス","東証","20231205","20231207","日証金","2399.00","100","8.00","0.50","0.020842","1","0.50","",""
"1475","ｉＳＴＯＰＩＸ","東証","20231205","20231207","日証金","2417.00","1198","60.00","0.00","0","1","0.00","",""
"1481","上場日本経済貢献","東証","20231205","20231207","日証金","2430.00","4","60.00","0.00","0","1","0.00","",""
"1483","ＩＳ設備人材","東証","20231205","20231207","日証金","2461.00","3","60.00","0.00","0","1","0.00","",""
"1493","Ｏｎｅ・中小型","東証","20231205","20231207","日証金","17195.00","21","70.00","5.00","0.0290782","1","5.00","",""
"1515","日鉄鉱業","東証","20231205","20231207","日証金","5470.00","0","11.00","-","0","-","-","満額",""
"1518","三井松島ＨＤ","東証","20231205","20231207","日証金","2803.00","10700","11.60","0.05","0.0017838","1","0.05","","停止"
"1542","純銀上場信託","東証","20231205","20231207","日証金","10460.00","0","70.00","-","0","-","-","満額",""
