"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"1301","極洋","東証","20240209","20240214","日証金","4035.00","800","8.20","0.05","0.00123916","1","0.00","",""
"1306","ＴＯＰＩＸ連動型上場","東証","20240209","20240214","日証金","2676.00","97270","8.00","0.00","0","1","0.00","",""
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20240209","20240214","日証金","1338.00","810","7.00","0.00","0","1","0.00","",""
"1320","ｉＦ２２５年１","東証","20240209","20240214","日証金","38130.00","13892","90.00","5.00","0.013113","1","5.00","",""
"1321","日経２２５上場投信","東証","20240209","20240214","日証金","38260.00","96424","90.00","5.00","0.0130685","1","5.00","",""
"1329","ｉシェアーズ　２２５","東証","20240209","20240214","日証金","38190.00","2678","90.00","5.00","0.0130924","1","5.00","",""
"1330","上場２２５","東証","20240209","20240214","日証金","38340.00","22993","90.00","5.00","0.0130412","1","5.00","",""
"1332","ニッスイ","東証","20240209","20240214","日証金","908.10","0","2.00","-","0","-","-","満額",""
"1343","東証ＲＥＩＴ指数連動","東証","20240209","20240214","日証金","1897.00","28000","7.00","0.00","0","1","0.50","",""
"1346","ＭＸＳ２２５上場投信","東証","20240209","20240214","日証金","38080.00","2254","90.00","5.00","0.0131303","1","5.00","",""
"1348","ＭＸＳＴＰＸ上場投信","東証","20240209","20240214","日証金","2645.50","2800","8.00","0.50","0.0189","1","0.50","",""
"1358","上場日経２倍","東証","20240209","20240214","日証金","47470.00","5372","100.00","100.00","0.210659","1","100.00","",""
"1364","ｉＳＪＰＸ日経４００","東証","20240209","20240214","日証金","23555.00","0","80.00","-","0","-","-","満額",""
"1365","ｉＦ２２５ダブル","東証","20240209","20240214","日証金","39500.00","3589","90.00","5.00","0.0126582","1","5.00","",""
"1367","ｉＦＴＰＸダブル","東証","20240209","20240214","日証金","32950.00","638","90.00","0.00","0","1","0.00","",""
"1368","ｉＦＴＰＸＷベア","東証","20240209","20240214","日証金","668.00","0","60.00","-","0","-","-","満額",""
"1369","Ｏｎｅ・日経２２５","東証","20240209","20240214","日証金","36960.00","444","90.00","5.00","0.0135281","1","5.00","",""
"1379","ホクト","東証","20240209","20240214","日証金","1778.00","0","3.60","-","0","-","-","満額",""
"1397","ＳＭＤＡＭ　２２５","東証","20240209","20240214","日証金","37320.00","1","90.00","5.00","0.0133976","1","5.00","",""
"1398","ＳＭＤＡＭ　Ｊリート","東証","20240209","20240214","日証金","1816.50","50","7.00","0.00","0","1","-","",""
"1407","ウエストＨＤ","東証","20240209","20240214","日証金","3100.00","0","6.20","-","0","-","0.00","満額",""
"1419","タマホーム","東証","20240209","20240214","日証金","4035.00","148900","8.20","0.10","0.00247831","1","0.05","",""
"1433","ベステラ","東証","20240209","20240214","日証金","972.00","0","2.00","-","0","-","-","満額",""
"1434","ＪＥＳＣＯ　ＨＤ","東証","20240209","20240214","日証金","931.00","0","2.00","-","0","-","-","満額",""
"1446","キャンディル","東証","20240209","20240214","日証金","584.00","7800","1.20","0.00","0","1","0.00","",""
"1458","楽天２２５ダブルブル","東証","20240209","20240214","日証金","30140.00","22840","90.00","5.00","0.0165893","1","5.00","",""
"1464","ｉＦＪ４００ダブル","東証","20240209","20240214","日証金","26390.00","3","80.00","0.00","0","1","0.00","",""
"1472","Ｊ４００ダブルインバ","東証","20240209","20240214","日証金","340.00","157","60.00","0.00","0","1","0.00","",""
"1473","Ｏｎｅ・トピックス","東証","20240209","20240214","日証金","2601.50","20","8.00","0.00","0","1","0.00","",""
"1477","ｉＳＭＳＣＩ最小分散","東証","20240209","20240214","日証金","2412.00","120","60.00","0.00","0","1","0.00","",""
"1488","ｉＦＪリート","東証","20240209","20240214","日証金","1826.00","220","7.00","0.00","0","1","-","",""
"1493","Ｏｎｅ・中小型","東証","20240209","20240214","日証金","18190.00","6","70.00","0.00","0","1","0.00","",""
"1496","ｉＳ米＄ＩＧ社債ヘジ","東証","20240209","20240214","日証金","1884.00","21","60.00","0.00","0","1","0.00","",""
"1518","三井松島ＨＤ","東証","20240209","20240214","日証金","2785.00","0","11.20","-","0","-","-","満額","停止"
"1545","ナスダックヘッジ無","東証","20240209","20240214","日証金","26900.00","10698","80.00","5.00","0.0185874","1","-","",""
"1547","上場米国Ｓ＆Ｐ５００","東証","20240209","20240214","日証金","8094.00","19120","18.00","0.50","0.00617742","1","0.50","",""
"1551","スタンダドＴＯＰ２０","東証","20240209","20240214","日証金","5016.00","0","12.00","-","0","-","0.50","満額",""
"1554","上場インデＭＳ世界","東証","20240209","20240214","日証金","4143.00","0","10.00","-","0","-","-","満額",""
"1555","上場インデＡリート","東証","20240209","20240214","日証金","1990.00","370","7.00","0.50","0.0251256","1","0.50","",""
"1563","東証グロース・コア","東証","20240209","20240214","日証金","2563.00","0","60.00","-","0","-","-","満額",""
"1570","日経レバレッジＥＴＦ","東証","20240209","20240214","日証金","25590.00","716160","160.00","5.00","0.0195389","1","160.00","","注意"
"1577","ＦＵＮＤＳ野村７０","東証","20240209","20240214","日証金","34150.00","0","90.00","-","0","-","-","満額",""
"1578","上場インデ２２５ミニ","東証","20240209","20240214","日証金","2942.00","3352","60.00","5.00","0.169952","1","-","",""
"1579","日経ブル２倍上場投信","東証","20240209","20240214","日証金","27360.00","67350","224.00","5.50","0.0201023","1","5.50","","注意"
"1591","ＪＰＸ日経４００投信","東証","20240209","20240214","日証金","23155.00","693","80.00","5.00","0.0215936","1","5.00","",""
"1592","上場ＪＰＸ日経４００","東証","20240209","20240214","日証金","2120.00","55","60.00","0.00","0","1","0.00","",""
"1593","ＭＸＳＪＰＸ４００","東証","20240209","20240214","日証金","23650.00","149","80.00","0.00","0","1","0.00","",""
"1595","ＮＺＡＭ東証ＲＥＩＴ","東証","20240209","20240214","日証金","1795.00","0","7.00","-","0","-","-","満額",""
"1597","ＭＸＳ　Ｊリート投信","東証","20240209","20240214","日証金","1817.50","0","7.00","-","0","-","-","満額",""
"1617","ＴＰＸ１７食品","東証","20240209","20240214","日証金","37240.00","0","90.00","-","0","-","-","満額",""
"1618","ＴＰＸ１７エネルギー","東証","20240209","20240214","日証金","18620.00","16","70.00","0.00","0","1","0.00","",""
"1619","ＴＰＸ１７建設・資材","東証","20240209","20240214","日証金","28245.00","0","80.00","-","0","-","-","満額",""
"1620","ＴＰＸ１７素材・化学","東証","20240209","20240214","日証金","29375.00","0","80.00","-","0","-","-","満額",""
"1621","ＴＰＸ１７医薬品","東証","20240209","20240214","日証金","27030.00","103","80.00","5.00","0.018498","1","5.00","",""
"1622","ＴＰＸ１７自動車輸送","東証","20240209","20240214","日証金","34330.00","31","90.00","5.00","0.0145645","1","-","",""
"1623","ＴＰＸ１７鉄鋼・非鉄","東証","20240209","20240214","日証金","24970.00","21","80.00","0.00","0","1","0.00","",""
"1624","ＴＰＸ１７機械","東証","20240209","20240214","日証金","52210.00","4","120.00","5.00","0.00957671","1","5.00","",""
"1625","ＴＰＸ１７電機・精密","東証","20240209","20240214","日証金","35860.00","0","90.00","-","0","-","-","満額",""
"1628","ＴＰＸ１７運輸・物流","東証","20240209","20240214","日証金","19165.00","0","70.00","-","0","-","-","満額",""
"1629","ＴＰＸ１７商社・卸売","東証","20240209","20240214","日証金","78200.00","120","160.00","5.00","0.00639386","1","5.00","",""
"1630","ＴＰＸ１７小売","東証","20240209","20240214","日証金","28490.00","0","80.00","-","0","-","-","満額",""
"1631","ＴＰＸ１７銀行","東証","20240209","20240214","日証金","15080.00","0","70.00","-","0","-","-","満額",""
"1632","ＴＰＸ１７金融","東証","20240209","20240214","日証金","21795.00","0","80.00","-","0","-","-","満額",""
"1633","ＴＰＸ１７不動産","東証","20240209","20240214","日証金","36950.00","69","90.00","5.00","0.0135318","1","0.00","",""
"1657","ｉＳＭＳＣＩ先進国株","東証","20240209","20240214","日証金","4500.00","0","60.00","-","0","-","-","満額",""
"1679","ＮＹダウジョンズ投信","東証","20240209","20240214","日証金","48280.00","450","196.00","1.00","0.00207125","1","1.00","","注意"
"1682","日経ＪＰＸ白金","東証","20240209","20240214","日証金","230.70","200","1.60","0.05","0.0216732","1","-","","注意"
"1719","安藤・間","東証","20240209","20240214","日証金","1201.00","0","2.60","-","0","-","-","満額",""
"1766","東建コーポレーション","東証","20240209","20240214","日証金","9480.00","2400","19.00","0.20","0.0021097","1","0.20","",""
"1801","大成建設","東証","20240209","20240214","日証金","4983.00","14600","10.00","0.00","0","1","0.10","",""
"1802","大林組","東証","20240209","20240214","日証金","1390.50","56300","2.80","0.00","0","1","0.05","",""
"1815","鉄建建設","東証","20240209","20240214","日証金","2167.00","0","4.40","-","0","-","-","満額",""
"1820","西松建設","東証","20240209","20240214","日証金","4314.00","0","8.80","-","0","-","-","満額",""
"1833","奥村組","東証","20240209","20240214","日証金","5050.00","0","10.20","-","0","-","-","満額",""
"1835","東鉄工業","東証","20240209","20240214","日証金","3010.00","1300","6.20","0.00","0","1","-","",""
"1860","戸田建設","東証","20240209","20240214","日証金","930.00","1500","2.00","0.00","0","1","0.00","",""
"1878","大東建託","東証","20240209","20240214","日証金","17120.00","11900","34.40","0.30","0.00175234","1","0.25","",""
"1899","福田組","東証","20240209","20240214","日証金","5200.00","6000","10.40","0.00","0","1","-","",""
"1904","大成温調","東証","20240209","20240214","日証金","5440.00","5200","22.00","0.10","0.00183824","1","0.05","","注意"
"1921","巴コーポレーション","東証","20240209","20240214","日証金","602.00","0","1.40","-","0","-","-","満額",""
"1934","ユアテック","東証","20240209","20240214","日証金","1268.00","0","2.60","-","0","-","-","満額",""
"1939","四電工","東証","20240209","20240214","日証金","3800.00","0","7.60","-","0","-","-","満額",""
"1968","太平電業","東証","20240209","20240214","日証金","4290.00","2800","8.60","0.10","0.002331","1","0.10","",""
"1972","三晃金属工業","東証","20240209","20240214","日証金","4910.00","0","10.00","-","0","-","-","満額",""
"1973","ＮＥＣネッツエスアイ","東証","20240209","20240214","日証金","2372.00","2100","4.80","0.00","0","1","0.00","",""
"1980","ダイダン","東証","20240209","20240214","日証金","1821.00","25700","3.80","0.05","0.00274574","1","0.05","",""
"2011","ＳＭＤＡＭ日本高配当","東証","20240209","20240214","日証金","531.50","0","6.00","-","0","-","-","満額",""
"2114","フジ日本精糖","東証","20240209","20240214","日証金","1043.00","19500","2.20","0.05","0.00479386","1","0.05","",""
"2117","ウェルネオシュガー","東証","20240209","20240214","日証金","2282.00","0","4.60","-","0","-","-","満額",""
"2154","オープンアップＧ","東証","20240209","20240214","日証金","2337.00","0","4.80","-","0","-","-","満額",""
"2168","パソナグループ","東証","20240209","20240214","日証金","2840.00","17300","5.80","0.05","0.00176056","1","0.05","",""
"2170","リンク＆モチベ","東証","20240209","20240214","日証金","571.00","0","1.20","-","0","-","-","満額",""
"2196","エスクリ","東証","20240209","20240214","日証金","279.00","61300","1.00","0.00","0","1","0.00","",""
"2198","アイ・ケイ・ケイＨＤ","東証","20240209","20240214","日証金","727.00","12700","1.60","0.00","0","1","0.00","",""
"2207","名糖産業","東証","20240209","20240214","日証金","1746.00","0","3.60","-","0","-","-","満額",""
"2211","不二家","東証","20240209","20240214","日証金","2460.00","4900","5.00","0.00","0","1","0.00","",""
"2212","山崎製パン","東証","20240209","20240214","日証金","3453.00","205600","7.00","0.10","0.00289603","1","0.10","",""
"2217","モロゾフ","東証","20240209","20240214","日証金","3970.00","600","8.00","0.05","0.00125945","1","0.05","",""
"2220","亀田製菓","東証","20240209","20240214","日証金","4440.00","2400","9.00","0.10","0.00225225","1","0.10","",""
"2229","カルビー","東証","20240209","20240214","日証金","3087.00","2000","6.20","0.00","0","1","0.05","",""
"2242","ＭＸＳダウヘ有","東証","20240209","20240214","日証金","556.90","880","6.00","0.50","0.0897827","1","0.00","",""
"2282","日本ハム","東証","20240209","20240214","日証金","5223.00","3400","10.60","0.10","0.00191461","1","0.00","",""
"2291","福留ハム","東証","20240209","20240214","日証金","1528.00","2200","3.20","0.00","0","1","0.00","",""
"2296","伊藤ハム米久ＨＤ","東証","20240209","20240214","日証金","4100.00","0","8.20","-","0","-","0.00","満額",""
"2301","学情","東証","20240209","20240214","日証金","1796.00","0","3.60","-","0","-","-","満額",""
"2305","スタジオアリス","東証","20240209","20240214","日証金","2090.00","1300","4.20","0.00","0","1","0.05","",""
"2315","ＣＡＩＣＡ　Ｄ","東証","20240209","20240214","日証金","43.00","0","1.00","-","0","-","-","満額",""
"2337","いちご","東証","20240209","20240214","日証金","386.00","113300","1.00","0.00","0","1","0.05","",""
"2378","ルネサンス","東証","20240209","20240214","日証金","927.00","0","2.00","-","0","-","-","満額",""
"2389","デジタルＨＤ","東証","20240209","20240214","日証金","1239.00","0","2.60","-","0","-","-","満額",""
"2395","新日本科学","東証","20240209","20240214","日証金","1546.00","90500","3.20","0.00","0","1","0.00","",""
"2404","鉄人化ＨＤ","東証","20240209","20240214","日証金","379.00","0","1.00","-","0","-","-","満額",""
"2433","博報堂ＤＹＨＤ","東証","20240209","20240214","日証金","1384.50","84600","2.80","0.05","0.00361141","1","0.00","",""
"2438","アスカネット","東証","20240209","20240214","日証金","690.00","0","1.40","-","0","-","-","満額",""
"2453","ジャパンベストレスキ","東証","20240209","20240214","日証金","998.00","0","4.00","-","0","-","-","満額","停止"
"2481","タウンニュース社","東証","20240209","20240214","日証金","740.00","0","1.60","-","0","-","-","満額",""
"2484","出前館","東証","20240209","20240214","日証金","426.00","387400","2.00","0.05","0.0117371","1","0.05","","注意"
"2487","ＣＤＧ","東証","20240209","20240214","日証金","1241.00","0","2.60","-","0","-","-","満額",""
"2501","サッポロＨＤ","東証","20240209","20240214","日証金","6675.00","269700","13.40","0.15","0.00224719","1","0.15","",""
"2502","アサヒグループＨＤ","東証","20240209","20240214","日証金","5551.00","0","11.20","-","0","-","-","満額",""
"2510","国内債券","東証","20240209","20240214","日証金","929.60","0","6.00","-","0","-","-","満額",""
"2513","外国株式ヘッジなし","東証","20240209","20240214","日証金","2232.00","240","8.00","0.50","0.0224014","1","-","",""
"2516","東証グロース２５０","東証","20240209","20240214","日証金","551.20","367140","6.00","0.00","0","1","0.00","",""
"2517","ＭＸＳＪリートコア","東証","20240209","20240214","日証金","1056.00","0","7.00","-","0","-","-","満額",""
"2519","新興国債券ヘッジなし","東証","20240209","20240214","日証金","1026.50","0","7.00","-","0","-","-","満額",""
"2521","上場米国ヘッジあり","東証","20240209","20240214","日証金","1572.00","28270","7.00","0.00","0","1","0.00","",""
"2525","ＮＺＡＭ　２２５","東証","20240209","20240214","日証金","37640.00","0","180.00","-","0","-","5.00","満額",""
"2531","宝ホールディングス","東証","20240209","20240214","日証金","1243.00","14900","2.60","0.05","0.00402253","1","0.05","",""
"2540","養命酒製造","東証","20240209","20240214","日証金","1866.00","1500","3.80","0.05","0.00267953","1","0.05","",""
"2558","ＭＸＳ米株ＳＰ５００","東証","20240209","20240214","日証金","21440.00","0","80.00","-","0","-","-","満額",""
