"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"3028","アルペン","東証","20231020","20231024","日証金","1923.00","0","4.00","-","0","-","-","満額",""
"3038","神戸物産","東証","20231020","20231024","日証金","3768.00","6300","15.20","0.00","0","1","0.00","",""
"3046","ＪＩＮＳＨＤ","東証","20231020","20231024","日証金","3890.00","42200","7.80","0.10","0.00257069","1","0.10","",""
"3058","三洋堂ＨＤ","東証","20231020","20231024","日証金","759.00","0","1.60","-","0","-","-","満額",""
"3063","ジェイグループＨＤ","東証","20231020","20231024","日証金","571.00","7300","1.20","0.00","0","1","0.00","",""
"3067","東京一番フーズ","東証","20231020","20231024","日証金","502.00","0","1.20","-","0","-","-","満額",""
"3069","ＪＦＬＡＨＤ","東証","20231020","20231024","日証金","156.00","0","1.00","-","0","-","-","満額",""
"3082","きちりＨＤ","東証","20231020","20231024","日証金","896.00","16000","1.80","0.00","0","1","0.00","",""
"3092","ＺＯＺＯ","東証","20231020","20231024","日証金","2792.00","0","5.60","-","0","-","-","満額",""
"3093","トレジャーファクトリ","東証","20231020","20231024","日証金","1120.00","0","2.40","-","0","-","-","満額",""
"3099","三越伊勢丹ホールディ","東証","20231020","20231024","日証金","1632.00","0","3.40","-","0","-","-","満額",""
"3104","富士紡ＨＤ","東証","20231020","20231024","日証金","3520.00","0","7.20","-","0","-","-","満額",""
"3107","ダイワボウＨＤ","東証","20231020","20231024","日証金","2790.00","2200","5.60","0.00","0","1","0.00","",""
"3109","シキボウ","東証","20231020","20231024","日証金","1071.00","0","2.20","-","0","-","-","満額",""
"3110","日東紡績","東証","20231020","20231024","日証金","3550.00","55200","7.20","0.10","0.0028169","1","0.10","",""
"3116","トヨタ紡織","東証","20231020","20231024","日証金","2549.00","700","5.20","0.00","0","1","0.00","",""
"3137","ファンデリー","東証","20231020","20231024","日証金","288.00","5800","2.00","0.05","0.0173611","1","0.05","","停止"
"3159","丸善ＣＨＩＨＤ","東証","20231020","20231024","日証金","324.00","0","1.00","-","0","-","-","満額",""
"3160","大光","東証","20231020","20231024","日証金","677.00","18000","1.40","0.00","0","1","0.05","",""
"3167","ＴＯＫＡＩ　ＨＤ","東証","20231020","20231024","日証金","941.00","1400","2.00","0.00","0","1","0.00","",""
"3168","黒谷","東証","20231020","20231024","日証金","589.00","6900","1.20","0.00","0","1","0.00","",""
"3172","ティーライフ","東証","20231020","20231024","日証金","1359.00","0","2.80","-","0","-","-","満額",""
"3178","チムニー","東証","20231020","20231024","日証金","1371.00","2700","2.80","0.05","0.00364697","1","-","",""
"3180","ビューティガレージ","東証","20231020","20231024","日証金","4350.00","0","17.60","-","0","-","-","満額",""
"3182","オイラ大地","東証","20231020","20231024","日証金","1143.00","0","2.40","-","0","-","-","満額",""
"3186","ネクステージ","東証","20231020","20231024","日証金","2110.00","13700","8.80","0.05","0.00236967","1","0.05","","注意"
"3187","サンワカンパニー","東証","20231020","20231024","日証金","789.00","12500","1.60","0.00","0","1","0.00","",""
"3193","鳥貴族ＨＤ","東証","20231020","20231024","日証金","2861.00","22200","5.80","0.05","0.00174764","1","0.05","",""
"3195","ジェネレーションパス","東証","20231020","20231024","日証金","277.00","0","2.00","-","0","-","-","満額",""
"3196","ホットランド","東証","20231020","20231024","日証金","1898.00","10800","3.80","0.05","0.00263435","1","0.05","",""
"3197","すかいらーくＨＤ","東証","20231020","20231024","日証金","2095.00","125900","4.20","0.05","0.00238663","1","0.05","",""
