"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"1306","ＴＯＰＩＸ連動型上場","東証","20230712","20230714","日証金","2300.50","85090","8.00","0.00","0","4","0.00","",""
"1308","上場ＴＯＰＩＸ","東証","20230712","20230714","日証金","2273.00","66921","60.00","20.00","0.879894","4","0.00","",""
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20230712","20230714","日証金","1110.00","0","28.00","-","0","-","-","満額",""
"1320","ｉＦ２２５年１","東証","20230712","20230714","日証金","32700.00","1413","90.00","20.00","0.0611621","4","5.00","",""
"1321","日経２２５上場投信","東証","20230712","20230714","日証金","32840.00","114959","90.00","20.00","0.0609013","4","0.00","",""
"1328","金価格連動型上場投信","東証","20230712","20230714","日証金","6716.00","1210","28.00","2.00","0.0297796","4","0.50","","注意"
"1329","ｉシェアーズ　２２５","東証","20230712","20230714","日証金","33430.00","1317","90.00","20.00","0.0598265","4","-","",""
"1330","上場２２５","東証","20230712","20230714","日証金","32880.00","16535","90.00","20.00","0.0608273","4","5.00","",""
"1332","ニッスイ","東証","20230712","20230714","日証金","680.30","4500","1.40","0.00","0","4","-","",""
"1343","東証ＲＥＩＴ指数連動","東証","20230712","20230714","日証金","2002.00","0","8.00","-","0","-","-","満額",""
"1346","ＭＸＳ２２５上場投信","東証","20230712","20230714","日証金","33200.00","4920","360.00","20.00","0.060241","4","5.00","",""
"1348","ＭＸＳＴＰＸ上場投信","東証","20230712","20230714","日証金","2323.50","3790","32.00","2.00","0.086077","4","0.50","",""
"1358","上場日経２倍","東証","20230712","20230714","日証金","35690.00","1562","90.00","20.00","0.0560381","4","5.00","",""
"1365","ｉＦ２２５ダブル","東証","20230712","20230714","日証金","29680.00","925","80.00","0.00","0","4","0.00","",""
"1367","ｉＦＴＰＸダブル","東証","20230712","20230714","日証金","24780.00","1469","80.00","20.00","0.0807103","4","5.00","",""
"1369","Ｏｎｅ・日経２２５","東証","20230712","20230714","日証金","31920.00","1777","90.00","20.00","0.0626566","4","5.00","",""
"1397","ＳＭＤＡＭ　２２５","東証","20230712","20230714","日証金","32270.00","10","90.00","20.00","0.0619771","4","5.00","",""
"1419","タマホーム","東証","20230712","20230714","日証金","3570.00","125700","7.20","0.40","0.0112045","4","0.00","",""
"1431","Ｌｉｂ　Ｗｏｒｋ","東証","20230712","20230714","日証金","780.00","90500","3.20","0.20","0.025641","4","0.05","","注意"
"1433","ベステラ","東証","20230712","20230714","日証金","1088.00","11800","2.20","0.00","0","4","0.00","",""
"1446","キャンディル","東証","20230712","20230714","日証金","588.00","0","1.20","-","0","-","0.00","満額",""
"1464","ｉＦＪ４００ダブル","東証","20230712","20230714","日証金","19950.00","31","70.00","20.00","0.100251","4","5.00","",""
"1475","ｉＳＴＯＰＩＸ","東証","20230712","20230714","日証金","2298.00","16933","60.00","20.00","0.870322","4","-","",""
"1476","ｉＳＪリート","東証","20230712","20230714","日証金","1916.00","115","60.00","0.00","0","4","0.00","",""
"1484","Ｏｎｅ・設備人材投資","東証","20230712","20230714","日証金","2248.50","40","8.00","2.00","0.0889482","4","0.50","",""
"1488","ｉＦＪリート","東証","20230712","20230714","日証金","1915.50","1440","7.00","2.00","0.104411","4","0.50","",""
"1489","日経高配当株５０","東証","20230712","20230714","日証金","51260.00","0","120.00","-","0","-","-","満額",""
"1492","ＭＸＳ　中小型","東証","20230712","20230714","日証金","17245.00","180","280.00","20.00","0.115976","4","5.00","",""
"1493","Ｏｎｅ・中小型","東証","20230712","20230714","日証金","16365.00","127","70.00","20.00","0.122212","4","5.00","",""
"1495","上場アジアリート","東証","20230712","20230714","日証金","10500.00","0","88.00","-","0","-","-","満額","注意"
"1498","Ｏｎｅ・ＥＳＧ","東証","20230712","20230714","日証金","17170.00","2","70.00","20.00","0.116482","4","5.00","",""
"1515","日鉄鉱業","東証","20230712","20230714","日証金","4495.00","1400","9.00","0.00","0","4","0.00","",""
"1518","三井松島ＨＤ","東証","20230712","20230714","日証金","2609.00","0","10.80","-","0","-","0.05","満額","注意"
"1545","ナスダックヘッジ無","東証","20230712","20230714","日証金","21455.00","7477","80.00","20.00","0.0932184","4","5.00","",""
"1546","ダウヘッジ無","東証","20230712","20230714","日証金","47010.00","10916","100.00","20.00","0.0425441","4","5.00","",""
"1547","上場米国Ｓ＆Ｐ５００","東証","20230712","20230714","日証金","6759.00","38070","14.00","2.00","0.0295902","4","0.50","",""
"1550","ＭＸＳ外株ＭＳＣＩ","東証","20230712","20230714","日証金","4271.00","0","10.00","-","0","-","-","満額",""
