"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"25935","20240122","1899","1902","1897","1898","1899.3121","42300","80340900","1899","1900","1897","1898","1900","1902","1898","1898"
"9282","20240122","72400","72800","72300","72700","72648.3333","180","13076700","72400","72800","72300","72700","72800","72800","72700","72700"
"9284","20240122","113400","114000","113400","113700","113720.7124","758","86200300","113400","113900","113400","113800","113800","114000","113500","113700"
"9285","20240122","86800","87100","86500","86700","86803.5316","538","46700300","86800","87000","86800","86900","87000","87100","86500","86700"
"9286","20240122","85600","86100","85600","86100","85845.2145","909","78033300","85600","85900","85600","85800","85800","86100","85700","86100"
"9287","20240122","85500","85900","85500","85900","85768.254","693","59437400","85500","85900","85500","85800","85900","85900","85800","85900"
"94345","20240122","4000","4002","4000","4001","4000.775","8000","32006200","4000","4001","4000","4001","4001","4002","4000","4001"
