"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"25935","20230809","1801","1803","1799","1803","1800.9612","12900","23232400","1801","1802","1799","1800","1803","1803","1800","1803"
"9282","20230809","70300","70900","70300","70300","70435.2941","85","5987000","70300","70900","70300","70500","70400","70500","70300","70300"
"9284","20230809","118000","118300","117900","118300","118011.2469","409","48266600","118000","118300","117900","118200","118100","118300","118100","118300"
"9285","20230809","91900","91900","91700","91700","91771.4286","91","8351200","91900","91900","91800","91900","91800","91900","91700","91700"
"9286","20230809","89400","89600","89400","89500","89467.3504","1170","104676800","89400","89600","89400","89500","89500","89500","89400","89500"
"9287","20230809","90300","90500","90300","90400","90402.6087","115","10396300","90300","90500","90300","90300","90400","90500","90300","90400"
