"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"25935","20230829","1800","1800","1796","1798","1798.9333","13500","24285600","1800","1800","1796","1799","1798","1800","1798","1798"
"9282","20230829","70800","71200","70800","71100","71045.5882","136","9662200","70800","71200","70800","71000","71000","71200","71000","71100"
"9284","20230829","118500","119000","118400","118900","118735.2612","536","63642100","118500","119000","118400","118900","118900","119000","118600","118900"
"9285","20230829","91600","91600","91300","91400","91445.8647","133","12162300","91600","91600","91400","91600","91500","91500","91300","91400"
"9286","20230829","89900","90400","89900","90400","90053.9049","1703","153361800","89900","90100","89900","90000","89900","90400","89900","90400"
"9287","20230829","90600","90800","90600","90800","90696.9121","842","76366800","90600","90800","90600","90600","90700","90800","90600","90800"
