"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20240206","120100","900","0.76","119200","119700","120100","119000","1131","135400","-","89200","149200"
"2972","サンケイリアルエステート投資法人","東証","REIT","20240206","91200","-500","-0.55","91700","91600","91600","90800","1138","103809","-","76700","106700"
"2979","SOSiLA物流リート投資法人","東証","REIT","20240206","117800","-800","-0.67","118600","118500","118500","117500","1586","187019","-","88600","148600"
"2989","東海道リート投資法人","東証","REIT","20240206","125600","1100","0.88","124500","125000","125700","124400","1267","158570","-","94500","154500"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20240206","612000","1000","0.16","611000","610000","615000","607000","924","564995","-","511000","711000"
"3234","森ヒルズリート投資法人","東証","REIT","20240206","136100","400","0.29","135700","135700","136400","135300","3257","442571","-","105700","165700"
"3249","産業ファンド投資法人","東証","REIT","20240206","133400","-400","-0.3","133800","133400","134500","132200","5403","721158","-","103800","163800"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20240206","327500","1500","0.46","326000","326500","329000","324500","3141","1027859","-","256000","396000"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20240206","401000","1000","0.25","400000","399000","402000","397500","2058","823904","-","330000","470000"
"3281","GLP投資法人","東証","REIT","20240206","127300","-2000","-1.55","129300","128400","129000","127300","19179","2451700","-","99300","159300"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20240206","309000","2500","0.82","306500","306000","310000","305000","1351","416745","-","236500","376500"
"3283","日本プロロジスリート投資法人","東証","REIT","20240206","266100","-100","-0.04","266200","266500","267500","263600","4580","1219458","-","216200","316500"
"3287","星野リゾート・リート投資法人","東証","REIT","20240206","520000","6000","1.17","514000","515000","522000","515000","691","358762","-","414000","614000"
"3290","Oneリート投資法人","東証","REIT","20240206","271700","1200","0.44","270500","270500","272000","269800","821","222441","-","220500","320500"
"3292","イオンリート投資法人","東証","REIT","20240206","137400","-100","-0.07","137500","137600","138000","137200","3132","430746","-","107500","167500"
"3295","ヒューリックリート投資法人","東証","REIT","20240206","154900","200","0.13","154700","154300","156100","154100","2717","421453","-","114700","194700"
"3296","日本リート投資法人","東証","REIT","20240206","341500","2000","0.59","339500","339500","341500","338500","773","263328","-","269500","409500"
"3309","積水ハウス・リート投資法人","東証","REIT","20240206","78600","500","0.64","78100","78100","79100","77500","8206","644116","-","63100","93100"
"3451","トーセイ・リート投資法人","東証","REIT","20240206","141200","200","0.14","141000","140700","141900","140700","449","63474","-","111000","171000"
"3455","ヘルスケア＆メディカル投資法人","東証","REIT","20240206","133800","0","0","133800","133800","134000","133400","812","108615","-","103800","163800"
"3459","サムティ・レジデンシャル投資法人","東証","REIT","20240206","106900","-300","-0.28","107200","107000","107300","106600","936","99993","-","77200","137200"
