"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20231005","117400","2200","1.91","115200","116400","117500","116100","634","74187","-","85200","145200"
"2972","サンケイリアルエステート投資法人","東証","REIT","20231005","89800","1500","1.7","88300","88300","89800","88300","899","80263","-","73300","103300"
"2979","SOSiLA物流リート投資法人","東証","REIT","20231005","121500","2100","1.76","119400","120900","121800","120100","1550","187696","-","89400","149400"
"2989","東海道リート投資法人","東証","REIT","20231005","122600","2800","2.34","119800","120800","122600","120700","928","113258","-","89800","149800"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20231005","630000","8000","1.29","622000","624000","630000","624000","1210","760261","-","522000","722000"
"3234","森ヒルズリート投資法人","東証","REIT","20231005","141500","2900","2.09","138600","139500","141700","139400","3435","484678","-","108600","168600"
"3249","産業ファンド投資法人","東証","REIT","20231005","137200","2200","1.63","135000","136200","137800","135700","4627","633529","-","105000","165000"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20231005","338500","4000","1.2","334500","336000","339500","335000","4817","1625808","-","264500","404500"
"3278","ケネディクス・レジデンシャル・ネクスト投資法人","東証","REIT","20231005","228600","2500","1.11","226100","227500","230500","226200","4266","975406","-","176100","276100"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20231005","414500","9500","2.35","405000","410000","416000","408000","1744","721732","-","335000","475000"
"3281","GLP投資法人","東証","REIT","20231005","129100","1400","1.1","127700","129600","129600","128000","13598","1752435","-","97700","157700"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20231005","333500","7000","2.14","326500","327500","333500","327000","1815","601927","-","256500","396500"
"3283","日本プロロジスリート投資法人","東証","REIT","20231005","278700","3000","1.09","275700","280700","280800","277800","9632","2687533","-","225700","326000"
"3287","星野リゾート・リート投資法人","東証","REIT","20231005","627000","5000","0.8","622000","629000","634000","627000","819","515488","-","522000","722000"
"3290","Oneリート投資法人","東証","REIT","20231005","253700","3600","1.44","250100","251000","253700","250200","533","134507","-","200100","300500"
"3292","イオンリート投資法人","東証","REIT","20231005","145600","2600","1.82","143000","144500","145900","144200","3896","565642","-","113000","173000"
"3295","ヒューリックリート投資法人","東証","REIT","20231005","159500","1600","1.01","157900","158400","160200","158000","3474","553109","-","117900","197900"
"3296","日本リート投資法人","東証","REIT","20231005","353500","6500","1.87","347000","350000","354500","349500","796","281063","-","277000","417000"
"3309","積水ハウス・リート投資法人","東証","REIT","20231005","83400","2000","2.46","81400","81900","83600","81900","8597","714883","-","66400","96400"
"3451","トーセイ・リート投資法人","東証","REIT","20231005","139700","2100","1.53","137600","138000","140400","138000","837","116870","-","107600","167600"
"3453","ケネディクス商業リート投資法人","東証","REIT","20231005","291700","5500","1.92","286200","288800","293000","288700","3775","1100778","-","236200","336500"
"3455","ヘルスケア＆メディカル投資法人","東証","REIT","20231005","143100","2000","1.42","141100","142100","144000","141700","825","117988","-","111100","171100"
"3459","サムティ・レジデンシャル投資法人","東証","REIT","20231005","114000","1600","1.42","112400","112600","114600","112600","703","80100","-","82400","142400"
"3462","野村不動産マスターファンド投資法人","東証","REIT","20231005","167900","2400","1.45","165500","166200","169100","165500","9494","1592637","-","125500","205500"
"3463","いちごホテルリート投資法人","東証","REIT","20231005","109600","100","0.09","109500","111900","112100","109300","2031","224146","-","79500","139500"
"3466","ラサールロジポート投資法人","東証","REIT","20231005","140400","1700","1.23","138700","139400","140400","138700","3589","501883","-","108700","168700"
"3468","スターアジア不動産投資法人","東証","REIT","20231005","57000","1000","1.79","56000","56600","57200","56300","8973","509309","-","46000","66000"
"3470","マリモ地方創生リート投資法人","東証","REIT","20231005","124500","2200","1.8","122300","123700","124800","123100","963","119609","-","92300","152300"
"3471","三井不動産ロジスティクスパーク投資法人","東証","REIT","20231005","470000","5500","1.18","464500","466000","471500","464500","1247","583703","-","394500","535000"
"3472","大江戸温泉リート投資法人","東証","REIT","20231005","64600","1100","1.73","63500","63400","64700","63400","487","31281","-","53500","73500"
"3476","投資法人みらい","東証","REIT","20231005","47000","650","1.4","46350","46500","47100","46500","4127","193412","-","39350","53400"
"3481","三菱地所物流リート投資法人","東証","REIT","20231005","369500","5500","1.51","364000","366500","370500","366000","1104","407432","-","294000","434000"
"3487","CREロジスティクスファンド投資法人","東証","REIT","20231005","160100","2300","1.46","157800","159600","160500","158500","1760","280881","-","117800","197800"
"3488","ザイマックス・リート投資法人","東証","REIT","20231005","114600","2600","2.32","112000","112500","114600","112500","550","62717","-","82000","142000"
"3492","タカラレーベン不動産投資法人","東証","REIT","20231005","96600","1200","1.26","95400","96300","96600","95900","3488","335564","-","80400","110400"
"3493","アドバンス・ロジスティクス投資法人","東証","REIT","20231005","122100","1500","1.24","120600","121500","122200","121200","2298","279912","-","90600","150600"
"8951","日本ビルファンド投資法人","東証","REIT","20231005","591000","6000","1.03","585000","586000","594000","586000","5379","3173029","-","485000","685000"
"8952","ジャパンリアルエステイト投資法人","東証","REIT","20231005","570000","9000","1.6","561000","561000","572000","561000","4691","2663016","-","461000","661000"
"8953","日本都市ファンド投資法人","東証","REIT","20231005","94900","1300","1.39","93600","94500","95400","94200","19856","1882722","-","78600","108600"
"8954","オリックス不動産投資法人","東証","REIT","20231005","176300","2300","1.32","174000","176000","177500","175300","6644","1171636","-","134000","214000"
"8955","日本プライムリアルティ投資法人","東証","REIT","20231005","356500","7500","2.15","349000","351500","357000","351000","1788","634517","-","279000","419000"
"8956","NTT都市開発リート投資法人","東証","REIT","20231005","139000","2900","2.13","136100","137400","139400","137200","2848","394778","-","106100","166100"
"8957","東急リアル・エステート投資法人","東証","REIT","20231005","179800","2900","1.64","176900","177600","180800","177600","1875","336868","-","136900","216900"
"8958","グローバル・ワン不動産投資法人","東証","REIT","20231005","112100","1500","1.36","110600","110800","112400","110700","2381","266248","-","80600","140600"
"8960","ユナイテッド・アーバン投資法人","東証","REIT","20231005","152900","1900","1.26","151000","153000","153900","151700","7602","1161413","-","111000","191000"
"8961","森トラストリート投資法人","東証","REIT","20231005","72300","1300","1.83","71000","71400","72600","71300","3863","278856","-","56000","86000"
"8963","インヴィンシブル投資法人","東証","REIT","20231005","57800","-400","-0.69","58200","58800","59000","57600","34194","1992228","-","48200","68200"
