"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20230516","114600","300","0.26","114300","114400","114800","114100","426","48758","-","84300","144300"
"2972","サンケイリアルエステート投資法人","東証","REIT","20230516","84100","500","0.6","83600","83600","84100","83500","1096","91957","-","68600","98600"
"2979","SOSiLA物流リート投資法人","東証","REIT","20230516","138400","1000","0.73","137400","137800","138900","136900","1203","166239","-","107400","167400"
"2989","東海道リート投資法人","東証","REIT","20230516","119200","500","0.42","118700","118700","119400","118600","560","66669","-","88700","148700"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20230516","660000","2000","0.3","658000","658000","660000","652000","773","508494","-","558000","758000"
"3234","森ヒルズリート投資法人","東証","REIT","20230516","152100","-300","-0.2","152400","151600","152200","151400","1888","286822","-","112400","192400"
"3249","産業ファンド投資法人","東証","REIT","20230516","158500","-200","-0.13","158700","158000","159100","157200","2426","383932","-","118700","198700"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20230516","354000","0","0","354000","353000","354500","351500","1435","507377","-","284000","424000"
"3278","ケネディクス・レジデンシャル・ネクスト投資法人","東証","REIT","20230516","214000","0","0","214000","213100","214000","211800","1285","274016","-","164000","264000"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20230516","407500","3500","0.87","404000","403500","407500","402500","1548","628755","-","334000","474000"
"3281","GLP投資法人","東証","REIT","20230516","153000","-1400","-0.91","154400","151000","154000","150900","19711","3008518","-","114400","194400"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20230516","343000","500","0.15","342500","341500","343000","339500","1356","462672","-","272500","412500"
"3283","日本プロロジスリート投資法人","東証","REIT","20230516","321500","2500","0.78","319000","319000","322000","317000","4999","1603023","-","249000","389000"
"3287","星野リゾート・リート投資法人","東証","REIT","20230516","719000","-3000","-0.42","722000","719000","720000","715000","617","442872","-","572000","872000"
