"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20230725","120500","-400","-0.33","120900","121000","121400","120300","956","115310","-","90900","150900"
"2972","サンケイリアルエステート投資法人","東証","REIT","20230725","95200","-200","-0.21","95400","95600","95800","94900","1161","110593","-","80400","110400"
"2979","SOSiLA物流リート投資法人","東証","REIT","20230725","128200","-1200","-0.93","129400","129000","129200","128200","1478","189961","-","99400","159400"
"2989","東海道リート投資法人","東証","REIT","20230725","125300","100","0.08","125200","125500","125500","124700","1200","150167","-","95200","155200"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20230725","669000","2000","0.3","667000","667000","670000","665000","821","548048","-","567000","767000"
"3234","森ヒルズリート投資法人","東証","REIT","20230725","146800","-300","-0.2","147100","147100","147400","146300","4624","678044","-","117100","177100"
"3249","産業ファンド投資法人","東証","REIT","20230725","152100","-300","-0.2","152400","152400","153100","151500","3655","555481","-","112400","192400"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20230725","356500","5000","1.42","351500","351500","356500","350000","4846","1720719","-","281500","421500"
"3278","ケネディクス・レジデンシャル・ネクスト投資法人","東証","REIT","20230725","224900","-1200","-0.53","226100","225500","226300","223500","1797","402962","-","176100","276100"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20230725","418000","500","0.12","417500","418000","418500","415500","1214","506476","-","347500","487500"
"3281","GLP投資法人","東証","REIT","20230725","140300","-100","-0.07","140400","140800","141700","139900","8368","1175847","-","110400","170400"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20230725","351000","-1500","-0.43","352500","352000","353500","350000","1109","389687","-","282500","422500"
"3283","日本プロロジスリート投資法人","東証","REIT","20230725","297600","1700","0.57","295900","295900","298800","295800","5118","1522847","-","245900","346000"
"3287","星野リゾート・リート投資法人","東証","REIT","20230725","630000","-16000","-2.48","646000","644000","645000","630000","1355","860236","-","546000","746000"
"3290","Oneリート投資法人","東証","REIT","20230725","258000","-3000","-1.15","261000","261200","262600","258000","564","146441","-","211000","311000"
"3292","イオンリート投資法人","東証","REIT","20230725","153500","100","0.07","153400","153400","153900","153100","3605","553445","-","113400","193400"
"3295","ヒューリックリート投資法人","東証","REIT","20230725","164600","-1000","-0.6","165600","165800","165800","164000","1686","277738","-","125600","205600"
"3296","日本リート投資法人","東証","REIT","20230725","341000","-3500","-1.02","344500","344000","344500","341000","569","194565","-","274500","414500"
"3309","積水ハウス・リート投資法人","東証","REIT","20230725","86500","-400","-0.46","86900","87000","87000","86300","5430","470026","-","71900","101900"
"3451","トーセイ・リート投資法人","東証","REIT","20230725","135500","-800","-0.59","136300","136300","136500","135300","599","81253","-","106300","166300"
"3453","ケネディクス商業リート投資法人","東証","REIT","20230725","280600","-1900","-0.67","282500","282500","284400","280500","1741","489466","-","232500","332500"
