"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20230531","115800","-700","-0.6","116500","116500","116500","115300","926","107435","-","86500","146500"
"2972","サンケイリアルエステート投資法人","東証","REIT","20230531","85400","-800","-0.93","86200","86000","86100","85000","1708","146035","-","71200","101200"
"2979","SOSiLA物流リート投資法人","東証","REIT","20230531","136000","3200","2.41","132800","133100","136000","132500","3948","532498","-","102800","162800"
"2989","東海道リート投資法人","東証","REIT","20230531","119100","-300","-0.25","119400","119400","120100","118900","1355","161946","-","89400","149400"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20230531","678000","23000","3.51","655000","654000","678000","651000","2341","1565842","-","555000","755000"
"3234","森ヒルズリート投資法人","東証","REIT","20230531","154100","5200","3.49","148900","149000","154100","147300","8015","1218186","-","118900","178900"
"3249","産業ファンド投資法人","東証","REIT","20230531","160100","5700","3.69","154400","154300","160100","152600","11167","1763666","-","114400","194400"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20230531","358000","7500","2.14","350500","350000","358000","347500","6943","2466986","-","280500","420500"
"3278","ケネディクス・レジデンシャル・ネクスト投資法人","東証","REIT","20230531","213800","3800","1.81","210000","210000","213800","208900","5880","1247902","-","160000","260000"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20230531","393500","-10500","-2.6","404000","403000","411000","393500","5610","2239218","-","334000","474000"
"3281","GLP投資法人","東証","REIT","20230531","147800","1700","1.16","146100","145900","148200","145600","43624","6430442","-","116100","176100"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20230531","338500","3500","1.04","335000","334500","338500","332500","4041","1361034","-","265000","405000"
"3283","日本プロロジスリート投資法人","東証","REIT","20230531","292200","-9300","-3.08","301500","299000","303500","292200","56564","16611218","-","231500","371500"
"3287","星野リゾート・リート投資法人","東証","REIT","20230531","685000","4000","0.59","681000","683000","685000","678000","1690","1154539","-","581000","781000"
"3290","Oneリート投資法人","東証","REIT","20230531","241300","9000","3.87","232300","232300","241300","232300","7587","1816103","-","182300","282300"
"3292","イオンリート投資法人","東証","REIT","20230531","160600","3300","2.1","157300","157500","160600","155800","9571","1525167","-","117300","197300"
"3295","ヒューリックリート投資法人","東証","REIT","20230531","158700","-4200","-2.58","162900","163400","165400","158700","7045","1135877","-","122900","202900"
"3296","日本リート投資法人","東証","REIT","20230531","326000","-12500","-3.69","338500","338000","339000","326000","3846","1271994","-","268500","408500"
"3309","積水ハウス・リート投資法人","東証","REIT","20230531","79500","-2900","-3.52","82400","82800","83400","79500","36811","2973729","-","67400","97400"
"3451","トーセイ・リート投資法人","東証","REIT","20230531","131200","-200","-0.15","131400","130700","131600","130500","1317","172713","-","101400","161400"
"3453","ケネディクス商業リート投資法人","東証","REIT","20230531","251000","3900","1.58","247100","247700","251000","246200","3754","935930","-","197100","297100"
"3455","ヘルスケア＆メディカル投資法人","東証","REIT","20230531","161700","-2700","-1.64","164400","164000","164200","161600","897","145555","-","124400","204400"
"3459","サムティ・レジデンシャル投資法人","東証","REIT","20230531","120000","3500","3","116500","115700","120000","115100","2422","285458","-","86500","146500"
"3462","野村不動産マスターファンド投資法人","東証","REIT","20230531","163900","-3800","-2.27","167700","167700","171300","163900","41845","6940826","-","127700","207700"
"3463","いちごホテルリート投資法人","東証","REIT","20230531","100800","-1000","-0.98","101800","101800","101800","100500","888","89744","-","71800","131800"
"3466","ラサールロジポート投資法人","東証","REIT","20230531","167900","6000","3.71","161900","161500","167900","160700","7454","1233580","-","121900","201900"
"3468","スターアジア不動産投資法人","東証","REIT","20230531","57500","-1500","-2.54","59000","58800","59700","57500","14284","831768","-","49000","69000"
"3470","マリモ地方創生リート投資法人","東証","REIT","20230531","130400","-300","-0.23","130700","131000","131000","130100","634","82774","-","100700","160700"
"3471","三井不動産ロジスティクスパーク投資法人","東証","REIT","20230531","502000","6000","1.21","496000","499000","502000","493000","2684","1338802","-","426000","566000"
"3472","大江戸温泉リート投資法人","東証","REIT","20230531","65100","-100","-0.15","65200","65200","65900","65100","1087","71150","-","55200","75200"
"3476","投資法人みらい","東証","REIT","20230531","47100","1250","2.73","45850","45850","47100","45500","11097","517743","-","38850","52900"
"3481","三菱地所物流リート投資法人","東証","REIT","20230531","434500","7000","1.64","427500","426000","434500","423000","3197","1375455","-","357500","497500"
"3487","CREロジスティクスファンド投資法人","東証","REIT","20230531","191300","2900","1.54","188400","188500","191300","187300","3973","754745","-","148400","228400"
"3488","ザイマックス・リート投資法人","東証","REIT","20230531","109800","-1100","-0.99","110900","110600","110600","108600","1427","156821","-","80900","140900"
"3492","タカラレーベン不動産投資法人","東証","REIT","20230531","91800","-2200","-2.34","94000","94500","94600","91800","9872","911540","-","79000","109000"
"3493","アドバンス・ロジスティクス投資法人","東証","REIT","20230531","140700","3900","2.85","136800","136100","140700","135200","3824","528708","-","106800","166800"
"8951","日本ビルファンド投資法人","東証","REIT","20230531","558000","9000","1.64","549000","548000","558000","545000","11556","6410192","-","449000","649000"
"8952","ジャパンリアルエステイト投資法人","東証","REIT","20230531","530000","1000","0.19","529000","526000","531000","524000","16392","8675823","-","429000","629000"
"8953","日本都市ファンド投資法人","東証","REIT","20230531","98600","1300","1.34","97300","96500","98600","95800","39909","3907842","-","82300","112300"
"8954","オリックス不動産投資法人","東証","REIT","20230531","186600","7700","4.3","178900","178600","186600","177800","13271","2435262","-","138900","218900"
"8955","日本プライムリアルティ投資法人","東証","REIT","20230531","359000","13000","3.76","346000","345000","359000","342500","4270","1505755","-","276000","416000"
"8956","NTT都市開発リート投資法人","東証","REIT","20230531","129100","-3900","-2.93","133000","133100","133900","129100","8301","1084473","-","103000","163000"
"8957","東急リアル・エステート投資法人","東証","REIT","20230531","186900","-8700","-4.45","195600","196000","196900","186900","5883","1118778","-","155600","235600"
"8958","グローバル・ワン不動産投資法人","東証","REIT","20230531","107600","1300","1.22","106300","106400","107600","105900","8365","895782","-","76300","136300"
"8960","ユナイテッド・アーバン投資法人","東証","REIT","20230531","148000","-5600","-3.65","153600","153300","155600","148000","23555","3552763","-","113600","193600"
"8961","森トラストリート投資法人","東証","REIT","20230531","71900","1900","2.71","70000","70000","71900","69300","13955","992811","-","55000","85000"
"8963","インヴィンシブル投資法人","東証","REIT","20230531","59300","1800","3.13","57500","57200","59300","56800","47798","2805508","-","47500","67500"
"8964","フロンティア不動産投資法人","東証","REIT","20230531","493000","7500","1.54","485500","485500","493000","482500","3129","1532493","-","415500","556000"
"8966","平和不動産リート投資法人","東証","REIT","20230531","151700","-4800","-3.07","156500","155800","157800","151700","10433","1609053","-","116500","196500"
"8967","日本ロジスティクスファンド投資法人","東証","REIT","20230531","326500","10000","3.16","316500","315000","326500","313000","5036","1623641","-","246500","386500"
"8968","福岡リート投資法人","東証","REIT","20230531","163100","1500","0.93","161600","161100","163100","160200","4073","661026","-","121600","201600"
"8972","ケネディクス・オフィス投資法人","東証","REIT","20230531","316000","8500","2.76","307500","306000","316000","304000","5523","1722526","-","237500","377500"
"8975","いちごオフィスリート投資法人","東証","REIT","20230531","90700","-700","-0.77","91400","91800","92200","90100","22798","2070283","-","76400","106400"
"8976","大和証券オフィス投資法人","東証","REIT","20230531","580000","14000","2.47","566000","566000","580000","565000","3500","2011412","-","466000","666000"
"8977","阪急阪神リート投資法人","東証","REIT","20230531","141500","-3800","-2.62","145300","145500","146800","141500","5977","854471","-","115300","175300"
"8979","スターツプロシード投資法人","東証","REIT","20230531","236400","7000","3.05","229400","227000","236400","226500","1457","337246","-","179400","279400"
"8984","大和ハウスリート投資法人","東証","REIT","20230531","292500","-7400","-2.47","299900","301000","306500","292500","17257","5112064","-","249900","350000"
"8985","ジャパン・ホテル・リート投資法人","東証","REIT","20230531","79100","1900","2.46","77200","76500","79100","76200","27838","2175200","-","62200","92200"
"8986","大和証券リビング投資法人","東証","REIT","20230531","119100","4800","4.2","114300","114400","119100","113500","9908","1161610","-","84300","144300"
"8987","ジャパンエクセレント投資法人","東証","REIT","20230531","124700","4400","3.66","120300","120100","124700","119300","8575","1048301","-","90300","150300"
