"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20230925","119500","-100","-0.08","119600","119600","120300","119500","405","48520","-","89600","149600"
"2972","サンケイリアルエステート投資法人","東証","REIT","20230925","92000","-600","-0.65","92600","92600","93300","92000","807","74600","-","77600","107600"
"2979","SOSiLA物流リート投資法人","東証","REIT","20230925","124500","-1200","-0.95","125700","125600","125900","124500","2329","291377","-","95700","155700"
"2989","東海道リート投資法人","東証","REIT","20230925","126400","0","0","126400","126000","127100","125800","476","60252","-","96400","156400"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20230925","627000","-1000","-0.16","628000","627000","634000","625000","1142","719082","-","528000","728000"
"3234","森ヒルズリート投資法人","東証","REIT","20230925","143300","-400","-0.28","143700","144400","144400","142900","3009","431789","-","113700","173700"
"3249","産業ファンド投資法人","東証","REIT","20230925","139800","-100","-0.07","139900","140400","141300","139800","3219","451641","-","109900","169900"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20230925","331500","0","0","331500","332000","334000","331000","4243","1410522","-","261500","401500"
"3278","ケネディクス・レジデンシャル・ネクスト投資法人","東証","REIT","20230925","222500","1000","0.45","221500","221500","224600","221500","2985","667027","-","171500","271500"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20230925","409500","-2000","-0.49","411500","411000","413500","409000","1359","558333","-","341500","481500"
"3281","GLP投資法人","東証","REIT","20230925","134700","-100","-0.07","134800","135100","135600","134500","10314","1391699","-","104800","164800"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20230925","328500","2000","0.61","326500","326500","331000","325000","2095","687737","-","256500","396500"
"3283","日本プロロジスリート投資法人","東証","REIT","20230925","274100","-400","-0.15","274500","274500","276900","273600","5538","1522026","-","224500","324500"
"3287","星野リゾート・リート投資法人","東証","REIT","20230925","639000","-3000","-0.47","642000","645000","649000","639000","872","561140","-","542000","742000"
"3290","Oneリート投資法人","東証","REIT","20230925","260600","-1700","-0.65","262300","264000","264000","260600","501","131187","-","212300","312500"
"3292","イオンリート投資法人","東証","REIT","20230925","146100","-400","-0.27","146500","146600","147100","146100","2588","379300","-","116500","176500"
"3295","ヒューリックリート投資法人","東証","REIT","20230925","159900","-1300","-0.81","161200","161700","161700","159700","4133","663634","-","121200","201200"
"3296","日本リート投資法人","東証","REIT","20230925","354000","500","0.14","353500","355000","358500","354000","1326","471720","-","283500","423500"
"3309","積水ハウス・リート投資法人","東証","REIT","20230925","84200","100","0.12","84100","84400","84800","84000","5549","468175","-","69100","99100"
"3451","トーセイ・リート投資法人","東証","REIT","20230925","140400","-300","-0.21","140700","140600","141300","140300","690","97132","-","110700","170700"
"3453","ケネディクス商業リート投資法人","東証","REIT","20230925","285600","2000","0.71","283600","283000","287300","282800","2100","600297","-","233600","334000"
"3455","ヘルスケア＆メディカル投資法人","東証","REIT","20230925","148400","-1900","-1.26","150300","150000","150700","148400","632","94366","-","110300","190300"
"3459","サムティ・レジデンシャル投資法人","東証","REIT","20230925","114600","-1500","-1.29","116100","116100","116100","114600","751","86462","-","86100","146100"
"3462","野村不動産マスターファンド投資法人","東証","REIT","20230925","167900","-1200","-0.71","169100","169100","170000","167900","9935","1675980","-","129100","209100"
"3463","いちごホテルリート投資法人","東証","REIT","20230925","116100","-1100","-0.94","117200","116600","117500","116100","582","67916","-","87200","147200"
"3466","ラサールロジポート投資法人","東証","REIT","20230925","144400","-1200","-0.82","145600","145300","145300","144400","4884","707068","-","115600","175600"
"3468","スターアジア不動産投資法人","東証","REIT","20230925","58300","200","0.34","58100","58500","58800","58100","8401","490358","-","48100","68100"
"3470","マリモ地方創生リート投資法人","東証","REIT","20230925","125900","-700","-0.55","126600","126600","126600","125900","550","69404","-","96600","156600"
"3471","三井不動産ロジスティクスパーク投資法人","東証","REIT","20230925","477500","-3000","-0.62","480500","479500","482000","477000","1137","544706","-","410500","551000"
"3472","大江戸温泉リート投資法人","東証","REIT","20230925","63700","-400","-0.62","64100","63800","64200","63700","262","16739","-","54100","74100"
"3476","投資法人みらい","東証","REIT","20230925","47000","-300","-0.63","47300","47400","47500","47000","3442","162496","-","40300","54300"
"3481","三菱地所物流リート投資法人","東証","REIT","20230925","377000","-2000","-0.53","379000","379000","380500","377000","1390","526364","-","309000","449000"
"3487","CREロジスティクスファンド投資法人","東証","REIT","20230925","164500","-1600","-0.96","166100","165800","166400","164500","1529","252715","-","126100","206100"
"3488","ザイマックス・リート投資法人","東証","REIT","20230925","115600","-700","-0.6","116300","116300","116600","115600","488","56661","-","86300","146300"
"3492","タカラレーベン不動産投資法人","東証","REIT","20230925","99300","500","0.51","98800","99200","99500","98700","2103","208637","-","83800","113800"
"3493","アドバンス・ロジスティクス投資法人","東証","REIT","20230925","127600","-500","-0.39","128100","128500","128600","127600","1107","141622","-","98100","158100"
"8951","日本ビルファンド投資法人","東証","REIT","20230925","606000","-1000","-0.16","607000","609000","614000","606000","2833","1724401","-","507000","707000"
"8952","ジャパンリアルエステイト投資法人","東証","REIT","20230925","598000","1000","0.17","597000","598000","603000","597000","4233","2538188","-","497000","697000"
"8953","日本都市ファンド投資法人","東証","REIT","20230925","97500","800","0.83","96700","97100","98300","97000","17605","1719595","-","81700","111700"
"8954","オリックス不動産投資法人","東証","REIT","20230925","177100","-1000","-0.56","178100","177700","179400","176900","4560","811075","-","138100","218100"
"8955","日本プライムリアルティ投資法人","東証","REIT","20230925","363000","-2000","-0.55","365000","365000","366500","363000","1490","543036","-","295000","435000"
"8956","NTT都市開発リート投資法人","東証","REIT","20230925","138000","200","0.15","137800","138100","138900","137800","2118","292738","-","107800","167800"
"8957","東急リアル・エステート投資法人","東証","REIT","20230925","184000","-1400","-0.76","185400","185200","186400","184000","2271","420298","-","145400","225400"
"8958","グローバル・ワン不動産投資法人","東証","REIT","20230925","118400","-400","-0.34","118800","119300","119300","118400","3262","387507","-","88800","148800"
"8960","ユナイテッド・アーバン投資法人","東証","REIT","20230925","155700","-600","-0.38","156300","156400","157600","155700","4509","704807","-","116300","196300"
"8961","森トラストリート投資法人","東証","REIT","20230925","73100","-1500","-2.01","74600","74600","74600","73100","5968","439136","-","59600","89600"
"8963","インヴィンシブル投資法人","東証","REIT","20230925","59900","-1300","-2.12","61200","61100","61100","59700","24703","1486115","-","51200","71200"
"8964","フロンティア不動産投資法人","東証","REIT","20230925","464500","-2500","-0.54","467000","467000","469500","464000","1275","594480","-","397000","537000"
