"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20231117","日証金","確報","0","100","1500","200","200","1400","100","-100"
"1305","ｉＦＴＰＸ年１","東証","20231117","日証金","確報","50","0","9530","520","140","5270","4260","-330"
"1306","ＴＯＰＩＸ連動型上場","東証","20231117","日証金","確報","2480","27660","32810","45000","2060","102900","-70090","-68120"
"1308","上場ＴＯＰＩＸ","東証","20231117","日証金","確報","0","10000","29845","8602","10","26970","2875","-18592"
"1309","中国株上証５０ＥＴＦ","東証","20231117","日証金","確報","0","0","55","0","0","0","55","0"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20231117","日証金","確報","0","10","100","30","0","30","70","-40"
"1319","日経３００上場投信","名証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20231117","日証金","確報","0","15","3518","787","181","10631","-7113","-621"
"1321","日経２２５上場投信","東証","20231117","日証金","確報","23","3119","26920","5443","1324","56889","-29969","-7215"
"1322","上場インデックス中国","東証","20231117","日証金","確報","0","20","0","0","0","0","0","-20"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20231117","日証金","確報","0","0","1000","0","0","1000","0","0"
"1326","ＳＰＤＲゴールド","東証","20231117","日証金","確報","0","10","281","0","0","3","278","-10"
"1328","金価格連動型上場投信","東証","20231117","日証金","確報","2080","400","3710","60","140","2380","1330","1760"
"1329","ｉシェアーズ　２２５","東証","20231117","日証金","確報","140","40","2066","1540","319","3129","-1063","-1121"
"1330","上場２２５","東証","20231117","日証金","確報","0","102","3338","891","1018","14981","-11643","25"
"1332","ニッスイ","東証","20231117","日証金","確報","7300","0","23600","500","3200","5800","17800","10000"
"1333","マルハニチロ","東証","20231117","日証金","確報","2200","0","8100","100","900","4000","4100","3000"
"1343","東証ＲＥＩＴ指数連動","東証","20231117","日証金","確報","0","1720","21810","100","1820","21810","0","0"
"1345","東証ＲＥＩＴ指数","東証","20231117","日証金","確報","0","0","5300","0","600","0","5300","600"
"1346","ＭＸＳ２２５上場投信","東証","20231117","日証金","確報","0","51","1946","1841","21","5545","-3599","-1871"
"1348","ＭＸＳＴＰＸ上場投信","東証","20231117","日証金","確報","0","60","4800","210","0","1150","3650","-270"
"1349","ＡＢＦ汎アジア債券","東証","20231117","日証金","確報","0","0","0","0","0","0","0","0"
"1356","ＴＰＸベア２倍投信","東証","20231117","日証金","確報","1250","4880","144480","0","3000","11800","132680","-630"
"1357","日経ダブルインバース","東証","20231117","日証金","確報","91247","502276","14959941","2","87380","2873195","12086746","-323651"
"1358","上場日経２倍","東証","20231117","日証金","確報","0","0","1410","216","748","4352","-2942","532"
"1360","日経ベア２倍","東証","20231117","日証金","確報","61140","13530","1512830","0","0","0","1512830","47610"
"1364","ｉＳＪＰＸ日経４００","東証","20231117","日証金","確報","0","0","0","0","0","42","-42","0"
"1365","ｉＦ２２５ダブル","東証","20231117","日証金","確報","1","0","1262","274","218","2710","-1448","-55"
"1366","ｉＦ２２５Ｗベア","東証","20231117","日証金","確報","1550","2500","90844","0","0","0","90844","-950"
"1367","ｉＦＴＰＸダブル","東証","20231117","日証金","確報","20","94","144","53","6","265","-121","-121"
"1368","ｉＦＴＰＸＷベア","東証","20231117","日証金","確報","360","0","609","516","0","1374","-765","-156"
"1369","Ｏｎｅ・日経２２５","東証","20231117","日証金","確報","15","57","271","50","8","429","-158","-84"
"1375","雪国まいたけ","東証","20231117","日証金","確報","300","400","21000","0","0","0","21000","-100"
"1376","カネコ種苗","東証","20231117","日証金","確報","0","200","400","0","0","0","400","-200"
"1377","サカタのタネ","東証","20231117","日証金","確報","700","1000","3200","0","800","2700","500","500"
