"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20231116","日証金","確報","300","200","1600","0","100","1400","200","200"
"1305","ｉＦＴＰＸ年１","東証","20231116","日証金","確報","0","50","9480","130","1450","4890","4590","1270"
"1306","ＴＯＰＩＸ連動型上場","東証","20231116","日証金","確報","17160","12110","57990","7450","12630","59960","-1970","10230"
"1308","上場ＴＯＰＩＸ","東証","20231116","日証金","確報","0","0","39845","2045","0","18378","21467","-2045"
"1309","中国株上証５０ＥＴＦ","東証","20231116","日証金","確報","0","0","55","0","0","0","55","0"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20231116","日証金","確報","0","20","110","0","0","0","110","-20"
"1319","日経３００上場投信","名証","20231116","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20231116","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20231116","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20231116","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20231116","日証金","確報","15","0","3533","107","2146","10025","-6492","2054"
"1321","日経２２５上場投信","東証","20231116","日証金","確報","6525","33572","30016","1614","14269","52770","-22754","-14392"
"1322","上場インデックス中国","東証","20231116","日証金","確報","20","0","20","0","0","0","20","20"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20231116","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20231116","日証金","確報","500","0","1000","1000","0","1000","0","-500"
"1326","ＳＰＤＲゴールド","東証","20231116","日証金","確報","5","0","291","0","0","3","288","5"
"1328","金価格連動型上場投信","東証","20231116","日証金","確報","530","2650","2030","0","210","2460","-430","-1910"
"1329","ｉシェアーズ　２２５","東証","20231116","日証金","確報","41","115","1966","28","768","1908","58","666"
"1330","上場２２５","東証","20231116","日証金","確報","0","11","3440","441","1443","15108","-11668","991"
"1332","ニッスイ","東証","20231116","日証金","確報","800","200","16300","3200","0","8500","7800","-2600"
"1333","マルハニチロ","東証","20231116","日証金","確報","200","1900","5900","100","400","4800","1100","-1400"
"1343","東証ＲＥＩＴ指数連動","東証","20231116","日証金","確報","3930","3290","23530","1200","560","23530","0","0"
"1345","東証ＲＥＩＴ指数","東証","20231116","日証金","確報","0","0","5300","600","0","600","4700","-600"
"1346","ＭＸＳ２２５上場投信","東証","20231116","日証金","確報","1013","0","1997","64","759","3725","-1728","1708"
"1348","ＭＸＳＴＰＸ上場投信","東証","20231116","日証金","確報","20","0","4860","0","0","940","3920","20"
