"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"4626","太陽ホールディングス","東証","20240214","日証金","確報","0","300","6600","0","0","200","6400","-300"
"4627","ナトコ","東証","20240214","日証金","確報","0","0","600","0","0","0","600","0"
"4628","エスケー化研","東証","20240214","日証金","確報","0","0","500","0","0","0","500","0"
"4629","大伸化学","東証","20240214","日証金","確報","0","0","200","0","0","0","200","0"
"4631","ＤＩＣ","東証","20240214","日証金","確報","2200","1300","9400","2200","1300","9400","0","0"
"4633","サカタインクス","東証","20240214","日証金","確報","9800","100","21200","0","300","10200","11000","10000"
"4634","ａｒｔｉｅｎｃｅ","東証","20240214","日証金","確報","1700","0","12000","0","100","0","12000","1800"
"4635","東京インキ","東証","20240214","日証金","確報","0","100","0","0","0","0","0","-100"
"4636","Ｔ＆Ｋ　ＴＯＫＡ","東証","20240214","日証金","確報","0","2000","800","0","0","0","800","-2000"
"4641","アルプス技研","東証","20240214","日証金","確報","500","700","2800","100","300","2800","0","0"
"4642","オリジナル設計","東証","20240214","日証金","確報","0","0","300","0","0","0","300","0"
"4644","イマジニア","東証","20240214","日証金","確報","0","0","137000","0","0","0","137000","0"
"4645","市進ホールディングス","東証","20240214","日証金","確報","0","0","100","0","0","0","100","0"
"4650","ＳＤエンター","東証","20240214","日証金","確報","0","0","8400","0","0","0","8400","0"
"4651","サニックス","東証","20240214","日証金","確報","2100","800","81600","1300","0","1300","80300","0"
"4651","サニックス","福証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4657","環境管理センター","東証","20240214","日証金","確報","1200","0","13600","0","0","0","13600","1200"
"4658","日本空調サービス","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4658","日本空調サービス","東証","20240214","日証金","確報","400","900","2900","0","100","1000","1900","-400"
"4659","エイジス","東証","20240214","日証金","確報","0","0","19100","0","0","0","19100","0"
"4661","オリエンタルランド","東証","20240214","日証金","確報","3700","11700","174100","100","2400","4700","169400","-5700"
"4662","フォーカスシステムズ","東証","20240214","日証金","確報","0","0","5300","0","0","0","5300","0"
"4664","アール・エス・シー","東証","20240214","日証金","確報","0","100","9200","0","0","0","9200","-100"
"4665","ダスキン","東証","20240214","日証金","確報","0","0","3000","200","500","28100","-25100","300"
"4666","パーク二四","東証","20240214","日証金","確報","2300","2000","187400","0","0","0","187400","300"
"4667","アイサンテクノロジー","東証","20240214","日証金","確報","0","0","5700","0","0","0","5700","0"
"4668","明光ネットワクジャパ","東証","20240214","日証金","確報","100","600","13000","1200","0","11700","1300","-1700"
"4671","ファルコＨＤ","東証","20240214","日証金","確報","400","0","161700","0","0","500","161200","400"
"4673","川崎地質","東証","20240214","日証金","確報","0","0","2100","0","0","0","2100","0"
"4674","クレスコ","東証","20240214","日証金","確報","0","0","2400","0","100","100","2300","100"
"4676","フジ・メディア・ＨＤ","東証","20240214","日証金","確報","0","700","13600","500","800","1200","12400","-400"
