"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20231012","日証金","確報","100","100","1500","100","100","1500","0","0"
"1305","ｉＦＴＰＸ年１","東証","20231012","日証金","確報","0","0","11370","570","0","14110","-2740","-570"
"1306","ＴＯＰＩＸ連動型上場","東証","20231012","日証金","確報","3440","40","80720","18940","5300","142430","-61710","-10240"
"1308","上場ＴＯＰＩＸ","東証","20231012","日証金","確報","0","3550","21845","17780","1","22759","-914","-21329"
"1309","中国株上証５０ＥＴＦ","東証","20231012","日証金","確報","0","75","5","0","0","0","5","-75"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20231012","日証金","確報","90","1200","190","190","40","190","0","-1260"
"1319","日経３００上場投信","名証","20231012","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20231012","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20231012","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20231012","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20231012","日証金","確報","12","8","3667","4301","182","6658","-2991","-4115"
"1321","日経２２５上場投信","東証","20231012","日証金","確報","61","2597","27902","12761","0","38723","-10821","-15297"
"1322","上場インデックス中国","東証","20231012","日証金","確報","0","0","50","0","0","0","50","0"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20231012","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20231012","日証金","確報","0","0","500","0","100","0","500","100"
"1326","ＳＰＤＲゴールド","東証","20231012","日証金","確報","313","0","710","0","0","0","710","313"
"1328","金価格連動型上場投信","東証","20231012","日証金","確報","120","640","2370","0","180","0","2370","-340"
"1329","ｉシェアーズ　２２５","東証","20231012","日証金","確報","2","5","1997","50","217","639","1358","164"
"1330","上場２２５","東証","20231012","日証金","確報","0","70","3338","3576","0","6910","-3572","-3646"
"1332","ニッスイ","東証","20231012","日証金","確報","2200","400","39600","3700","1700","111300","-71700","-200"
"1333","マルハニチロ","東証","20231012","日証金","確報","200","100","17600","0","1500","900","16700","1600"
"1343","東証ＲＥＩＴ指数連動","東証","20231012","日証金","確報","210","40","6350","90","10870","46210","-39860","10950"
