"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20230616","日証金","確報","0","0","6500","0","0","500","6000","0"
"1305","ｉＦＴＰＸ年１","東証","20230616","日証金","確報","0","1970","9540","230","260","16110","-6570","-1940"
"1306","ＴＯＰＩＸ連動型上場","東証","20230616","日証金","確報","6290","7650","98880","7830","10540","240130","-141250","1350"
"1308","上場ＴＯＰＩＸ","東証","20230616","日証金","確報","0","0","0","7800","1800","135000","-135000","-6000"
"1309","中国株上証５０ＥＴＦ","東証","20230616","日証金","確報","0","17","129","0","0","0","129","-17"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20230616","日証金","確報","1200","1400","2030","100","300","2030","0","0"
"1319","日経３００上場投信","名証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20230616","日証金","確報","13","0","6509","544","5882","23249","-16740","5351"
"1321","日経２２５上場投信","東証","20230616","日証金","確報","1000","22529","185842","2687","5362","246586","-60744","-18854"
"1322","上場インデックス中国","東証","20230616","日証金","確報","40","40","550","0","0","0","550","0"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20230616","日証金","確報","15700","0","21300","0","0","5600","15700","15700"
"1326","ＳＰＤＲゴールド","東証","20230616","日証金","確報","27","0","467","0","0","0","467","27"
"1328","金価格連動型上場投信","東証","20230616","日証金","確報","150","1630","2200","670","0","4840","-2640","-2150"
"1329","ｉシェアーズ　２２５","東証","20230616","日証金","確報","271","0","3047","829","189","6235","-3188","-369"
"1330","上場２２５","東証","20230616","日証金","確報","0","0","0","730","2130","46990","-46990","1400"
"1332","ニッスイ","東証","20230616","日証金","確報","0","400","142800","1000","1100","106400","36400","-300"
"1333","マルハニチロ","東証","20230616","日証金","確報","400","1300","3900","0","0","0","3900","-900"
"1343","東証ＲＥＩＴ指数連動","東証","20230616","日証金","確報","1210","0","21100","250","120","26550","-5450","1080"
"1345","東証ＲＥＩＴ指数","東証","20230616","日証金","確報","0","0","5800","0","100","1700","4100","100"
"1346","ＭＸＳ２２５上場投信","東証","20230616","日証金","確報","99","0","2275","429","53","6834","-4559","-277"
"1348","ＭＸＳＴＰＸ上場投信","東証","20230616","日証金","確報","0","0","9600","20","110","2640","6960","90"
"1349","ＡＢＦ汎アジア債券","東証","20230616","日証金","確報","0","0","0","0","0","0","0","0"
"1356","ＴＰＸベア２倍投信","東証","20230616","日証金","確報","650","4970","104160","250","0","6560","97600","-4570"
"1357","日経ダブルインバース","東証","20230616","日証金","確報","861859","1812586","35470631","4045","16","3765434","31705197","-954756"
"1358","上場日経２倍","東証","20230616","日証金","確報","0","472","5460","676","1751","10965","-5505","603"
"1360","日経ベア２倍","東証","20230616","日証金","確報","2070","132430","2791850","2000","0","3600","2788250","-132360"
"1364","ｉＳＪＰＸ日経４００","東証","20230616","日証金","確報","0","0","0","0","0","134","-134","0"
"1365","ｉＦ２２５ダブル","東証","20230616","日証金","確報","0","0","2670","28","915","6112","-3442","887"
"1366","ｉＦ２２５Ｗベア","東証","20230616","日証金","確報","22560","2322","188571","0","0","0","188571","20238"
"1367","ｉＦＴＰＸダブル","東証","20230616","日証金","確報","60","0","210","532","814","2452","-2242","342"
