"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20230614","日証金","確報","0","100","6500","300","0","500","6000","-400"
"1305","ｉＦＴＰＸ年１","東証","20230614","日証金","確報","0","80","9530","2600","470","20120","-10590","-2210"
"1306","ＴＯＰＩＸ連動型上場","東証","20230614","日証金","確報","33910","410","98450","10820","8840","263120","-164670","31520"
"1308","上場ＴＯＰＩＸ","東証","20230614","日証金","確報","0","0","0","1200","4600","130300","-130300","3400"
"1309","中国株上証５０ＥＴＦ","東証","20230614","日証金","確報","0","56","146","0","0","0","146","-56"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20230614","日証金","確報","1360","0","1660","1360","0","1660","0","0"
"1319","日経３００上場投信","名証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20230614","日証金","確報","0","501","6511","2451","1274","28588","-22077","-1678"
"1321","日経２２５上場投信","東証","20230614","日証金","確報","0","2034","207325","8007","18023","258849","-51524","7982"
"1322","上場インデックス中国","東証","20230614","日証金","確報","0","140","610","0","0","0","610","-140"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20230614","日証金","確報","0","3900","0","4000","0","5300","-5300","-7900"
"1326","ＳＰＤＲゴールド","東証","20230614","日証金","確報","0","50","1146","0","0","0","1146","-50"
"1328","金価格連動型上場投信","東証","20230614","日証金","確報","210","0","2300","310","280","4600","-2300","180"
"1329","ｉシェアーズ　２２５","東証","20230614","日証金","確報","722","10","2648","179","777","5907","-3259","1310"
"1330","上場２２５","東証","20230614","日証金","確報","0","0","0","470","2650","49010","-49010","2180"
"1332","ニッスイ","東証","20230614","日証金","確報","500","0","143300","3800","5800","106500","36800","2500"
"1333","マルハニチロ","東証","20230614","日証金","確報","1400","1300","6000","0","100","0","6000","200"
"1343","東証ＲＥＩＴ指数連動","東証","20230614","日証金","確報","2410","5000","16440","750","580","26470","-10030","-2760"
"1345","東証ＲＥＩＴ指数","東証","20230614","日証金","確報","0","0","5800","0","1400","2800","3000","1400"
"1346","ＭＸＳ２２５上場投信","東証","20230614","日証金","確報","21","26","2151","2590","286","6872","-4721","-2309"
"1348","ＭＸＳＴＰＸ上場投信","東証","20230614","日証金","確報","0","70","9600","10","30","3600","6000","-50"
"1349","ＡＢＦ汎アジア債券","東証","20230614","日証金","確報","0","0","0","0","0","0","0","0"
