"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20230912","日証金","確報","100","300","1000","200","400","1000","0","0"
"1305","ｉＦＴＰＸ年１","東証","20230912","日証金","確報","0","400","9550","600","1110","16250","-6700","110"
"1306","ＴＯＰＩＸ連動型上場","東証","20230912","日証金","確報","220","230","80610","14770","8470","231730","-151120","-6310"
"1308","上場ＴＯＰＩＸ","東証","20230912","日証金","確報","8","0","19960","2508","0","31025","-11065","-2500"
"1309","中国株上証５０ＥＴＦ","東証","20230912","日証金","確報","0","0","5","0","0","0","5","0"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20230912","日証金","確報","100","0","1200","100","0","1200","0","0"
"1319","日経３００上場投信","名証","20230912","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20230912","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20230912","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20230912","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20230912","日証金","確報","0","0","4915","2917","348","12645","-7730","-2569"
"1321","日経２２５上場投信","東証","20230912","日証金","確報","15615","117","72689","4569","3098","151285","-78596","14027"
"1322","上場インデックス中国","東証","20230912","日証金","確報","0","0","50","0","0","0","50","0"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20230912","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20230912","日証金","確報","0","0","500","0","0","0","500","0"
"1326","ＳＰＤＲゴールド","東証","20230912","日証金","確報","11","0","855","0","0","0","855","11"
"1328","金価格連動型上場投信","東証","20230912","日証金","確報","30","0","5210","0","20","8290","-3080","50"
"1329","ｉシェアーズ　２２５","東証","20230912","日証金","確報","0","0","1946","1091","60","4841","-2895","-1031"
"1330","上場２２５","東証","20230912","日証金","確報","0","0","4068","839","410","15147","-11079","-429"
"1332","ニッスイ","東証","20230912","日証金","確報","0","1800","97000","2700","17300","171800","-74800","12800"
"1333","マルハニチロ","東証","20230912","日証金","確報","7200","300","18200","200","2500","6700","11500","9200"
"1343","東証ＲＥＩＴ指数連動","東証","20230912","日証金","確報","1070","0","27320","790","330","48750","-21430","610"
"1345","東証ＲＥＩＴ指数","東証","20230912","日証金","確報","0","0","5400","600","200","3200","2200","-400"
"1346","ＭＸＳ２２５上場投信","東証","20230912","日証金","確報","0","397","1955","1170","92","4209","-2254","-1475"
"1348","ＭＸＳＴＰＸ上場投信","東証","20230912","日証金","確報","0","210","4830","1500","0","2740","2090","-1710"
"1349","ＡＢＦ汎アジア債券","東証","20230912","日証金","確報","0","0","9","0","0","0","9","0"
"1356","ＴＰＸベア２倍投信","東証","20230912","日証金","確報","2000","5830","86450","0","900","5040","81410","-2930"
"1357","日経ダブルインバース","東証","20230912","日証金","確報","220907","199045","23711417","9617","1694","2067716","21643701","13939"
"1358","上場日経２倍","東証","20230912","日証金","確報","0","183","1799","727","149","5068","-3269","-761"
"1360","日経ベア２倍","東証","20230912","日証金","確報","15690","4880","1678790","0","0","0","1678790","10810"
"1364","ｉＳＪＰＸ日経４００","東証","20230912","日証金","確報","0","0","28","0","0","119","-91","0"
