id,sec-code,filer-name,description
S100HOK3,81680,株式会社ケーヨー,四半期報告書－第82期第3四半期(令和1年9月1日－令和1年11月30日)
S100HNRA,27780,パレモ・ホールディングス株式会社,四半期報告書－第35期第3四半期(令和1年8月21日－令和1年11月20日)
S100HOLH,30500,ＤＣＭホールディングス株式会社,四半期報告書－第14期第3四半期(令和1年9月1日－令和1年11月30日)
S100HOSR,,株式会社サハダイヤモンド,訂正有価証券報告書－第54期(平成30年4月1日－平成31年3月31日)
S100HOTU,61910,株式会社エアトリ,訂正四半期報告書－第13期第1四半期(2018/10/01－2018/12/31)
S100HOXL,80080,株式会社ヨンドシーホールディングス,四半期報告書－第70期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPAD,36770,株式会社システム情報,訂正有価証券報告書－第40期(平成30年10月1日－令和1年9月30日)
S100HOZJ,44750,ＨＥＮＮＧＥ株式会社,訂正有価証券報告書－第23期(平成30年10月1日－令和1年9月30日)
S100HP0F,31410,ウエルシアホールディングス株式会社,四半期報告書－第12期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPBZ,65520,株式会社ＧａｍｅＷｉｔｈ,四半期報告書－第7期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPGF,35500,株式会社スタジオアタオ,四半期報告書－第16期第3四半期(令和1年9月1日－令和1年11月30日)
S100HP7O,23050,株式会社スタジオアリス,四半期報告書－第46期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPCY,26700,株式会社エービーシー・マート,四半期報告書－第35期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPH1,82510,株式会社パルコ,四半期報告書－第81期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPGJ,47140,株式会社　リソー教育,四半期報告書－第35期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPKL,60930,株式会社エスクロー・エージェント・ジャパン,四半期報告書－第13期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPFM,61830,株式会社ベルシステム２４ホールディングス,四半期報告書－第6期第3四半期(令和1年9月1日－令和1年11月30日)
S100HP25,79210,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,四半期報告書－第83期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPE6,59320,三協立山株式会社,四半期報告書－第75期第2四半期(令和1年9月1日－令和1年11月30日)
S100HP8G,97650,株式会社オオバ,四半期報告書－第86期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPU4,63120,フロイント産業株式会社,四半期報告書－第56期第3四半期(令和1年9月1日－令和1年11月30日)
S100HOVY,99830,株式会社ファーストリテイリング,四半期報告書－第59期第1四半期(令和1年9月1日－令和1年11月30日)
S100HPXR,33210,ミタチ産業株式会社,四半期報告書－第44期第2四半期(令和1年9月1日－令和1年11月30日)
S100HP21,78880,三光合成株式会社,四半期報告書－第87期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPOI,81250,株式会社ワキタ,四半期報告書－第60期第3四半期(令和1年9月1日－令和1年11月30日)
S100HP8D,32220,ユナイテッド・スーパーマーケット・ホールディングス株式会社,四半期報告書－第5期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPZR,27910,大黒天物産株式会社,四半期報告書－第34期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPK1,82780,株式会社フジ,四半期報告書－第53期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPKJ,97780,株式会社昴,四半期報告書－第62期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPC6,23030,株式会社ドーン,四半期報告書－第29期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPLP,19970,暁飯島工業株式会社,四半期報告書－第67期第1四半期(令和1年9月1日－令和1年11月30日)
S100HPZG,17120,株式会社ダイセキ環境ソリューション,四半期報告書－第24期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPOR,74470,ナガイレーベン株式会社,四半期報告書－第71期第1四半期(令和1年9月1日－令和1年11月30日)
S100HPKD,97160,株式会社乃村工藝社,四半期報告書－第83期第3四半期(令和1年9月1日－令和1年11月30日)
S100HP93,97930,株式会社ダイセキ,四半期報告書－第62期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPAV,96510,日本プロセス株式会社,四半期報告書－第53期第2四半期(令和1年9月1日－令和1年11月30日)
S100HQ0E,79750,株式会社リヒトラブ,四半期報告書－第72期第3四半期(令和1年9月1日－令和1年11月30日)
S100HOKN,76240,株式会社ＮａＩＴＯ,四半期報告書－第69期第3四半期(令和1年9月1日－令和1年11月30日)
S100HOKA,64960,株式会社中北製作所,四半期報告書－第94期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPXC,99030,株式会社カンセキ,四半期報告書－第46期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPXU,89180,株式会社ランド,四半期報告書－第24期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPH2,76110,株式会社ハイデイ日高,四半期報告書－第42期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPE5,94140,日本ＢＳ放送株式会社,四半期報告書－第22期第1四半期(令和1年9月1日－令和1年11月30日)
S100HPR2,99930,株式会社ヤマザワ,四半期報告書－第58期第3四半期(令和1年9月1日－令和1年11月30日)
S100HPRO,64890,前澤工業株式会社,四半期報告書－第74期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPX2,75140,株式会社　ヒマラヤ,四半期報告書－第45期第1四半期(令和1年9月1日－令和1年11月30日)
S100HP54,76490,スギホールディングス株式会社,四半期報告書－第38期第3四半期(令和1年9月1日－令和1年11月30日)
S100HQ1H,23410,株式会社アルバイトタイムス,四半期報告書－第47期第3四半期(令和1年9月1日－令和1年11月30日)
S100HQ2P,81840,株式会社島忠,四半期報告書－第61期第1四半期(令和1年9月1日－令和1年11月30日)
S100HP2G,88870,リベレステ株式会社,四半期報告書－第42期第2四半期(令和1年9月1日－令和1年11月30日)
S100HQ2R,38240,メディアファイブ株式会社,四半期報告書－第24期第2四半期(令和1年9月1日－令和1年11月30日)
S100HPTW,31600,株式会社大光,四半期報告書－第70期第2四半期(令和1年9月1日－令和1年11月30日)
S100HQ0X,48250,株式会社ウェザーニューズ,四半期報告書－第34期第2四半期(令和1年9月1日－令和1年11月30日)
S100HQ3Q,33760,株式会社オンリー,四半期報告書－第44期第1四半期(令和1年9月1日－令和1年11月30日)
