id,sec-code,filer-name,description
S100N5GI,27780,パレモ・ホールディングス株式会社,四半期報告書－第37期第3四半期(令和3年8月21日－令和3年11月20日)
S100N5KL,99410,太洋物産株式会社,有価証券報告書－第81期(令和2年10月1日－令和3年9月30日)
S100N5UY,35490,株式会社クスリのアオキホールディングス,四半期報告書－第24期第2四半期(令和3年8月21日－令和3年11月20日)
S100N5WY,70340,株式会社プロレド・パートナーズ,訂正四半期報告書－第14期第2四半期(令和3年2月1日－令和3年4月30日)
S100N5X7,70340,株式会社プロレド・パートナーズ,訂正四半期報告書－第14期第3四半期(令和3年5月1日－令和3年7月31日)
S100N63K,76780,株式会社あさくま,訂正四半期報告書－第49期第1四半期(令和3年4月1日－令和3年6月30日)
S100N5TD,65520,株式会社ＧａｍｅＷｉｔｈ,四半期報告書－第9期第2四半期(令和3年9月1日－令和3年11月30日)
S100N67V,39890,シェアリングテクノロジー株式会社,訂正有価証券報告書－第15期(令和2年10月1日－令和3年9月30日)
S100N6M2,81680,株式会社ケーヨー,四半期報告書－第84期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6N1,30500,ＤＣＭホールディングス株式会社,四半期報告書－第16期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6PN,14300,ファーストコーポレーション株式会社,四半期報告書－第11期第2四半期(令和3年9月1日－令和3年11月30日)
S100N6P9,60930,株式会社エスクロー・エージェント・ジャパン,四半期報告書－第15期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6MU,31410,ウエルシアホールディングス株式会社,四半期報告書－第14期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6U8,38150,株式会社メディア工房,四半期報告書－第25期第1四半期(令和3年9月1日－令和3年11月30日)
S100N6WL,80080,株式会社ヨンドシーホールディングス,四半期報告書－第72期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6S2,79750,株式会社リヒトラブ,四半期報告書－第74期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6WT,27470,北雄ラッキー株式会社,四半期報告書－第52期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6OL,96510,日本プロセス株式会社,四半期報告書－第55期第2四半期(令和3年9月1日－令和3年11月30日)
S100N71E,99930,株式会社ヤマザワ,四半期報告書－第60期第3四半期(令和3年9月1日－令和3年11月30日)
S100N6W4,47160,日本オラクル株式会社,四半期報告書－第37期第2四半期(令和3年9月1日－令和3年11月30日)
S100N67P,74530,株式会社　良品計画,四半期報告書－第44期第1四半期(令和3年9月1日－令和3年11月30日)
S100N747,99740,株式会社ベルク,四半期報告書－第63期第3四半期(令和3年9月1日－令和3年11月30日)
S100N69P,23380,クオンタムソリューションズ株式会社,四半期報告書－第23期第3四半期(令和3年9月1日－令和3年11月30日)
S100N72F,14190,タマホーム株式会社,四半期報告書－第24期第2四半期(令和3年9月1日－令和3年11月30日)
S100N6XC,32240,株式会社ゼネラル・オイスター,訂正四半期報告書－第20期第3四半期(令和1年10月1日－令和1年12月31日)
S100N6XE,32240,株式会社ゼネラル・オイスター,訂正有価証券報告書－第20期(平成31年4月1日－令和2年3月31日)
S100N6XB,32240,株式会社ゼネラル・オイスター,訂正四半期報告書－第21期第3四半期(令和2年10月1日－令和2年12月31日)
