"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","35570","-2560","25540","2100","1.39"
"1306","503970","-59740","577850","28820","0.87"
"1308","114743","-1855","79072","-6868","1.45"
"1309","1826","7","-","-","-"
"1311","16600","-5000","1410","20","11.77"
"1319","82000","-1000","-","-","-"
"1320","28538","1243","24153","-1437","1.18"
"1321","243629","-1801","257934","-3790","0.94"
"1322","3690","60","-","-","-"
"1324","200","-","-","-","-"
"1325","218500","8400","5100","-400","42.84"
"1326","1010","26","172","40","5.87"
"1328","14990","-2500","8200","-200","1.83"
"1329","11424","-189","7657","-167","1.49"
"1330","26689","2269","37117","-677","0.72"
"1343","146750","46440","38480","1390","3.81"
"1345","23200","-2900","3100","400","7.48"
"1346","9797","881","7888","-10","1.24"
"1348","18600","-540","7060","10","2.63"
"1349","7","3","-","-","-"
"1356","998420","-35850","184500","230","5.41"
"1357","150582432","-5498653","10477798","466386","14.37"
"1358","12638","-414","14207","-1444","0.89"
"1360","16423990","-877490","1380170","30470","11.9"
"1364","327","-51","84","-","3.89"
"1365","30140","-689","9949","35","3.03"
"1366","1291595","-70409","30166","-3344","42.82"
"1367","4016","-190","4133","-276","0.97"
"1368","125443","1816","1112","58","112.81"
"1369","788","41","2163","-72","0.36"
"1397","1","1","10","-","0.1"
"1398","2060","-130","-","-","-"
"1399","10","-","-","-","-"
"1456","124739","-110","212","-38","588.39"
"1457","2544","-186","262","46","9.71"
"1458","116651","-2237","76011","-5716","1.53"
"1459","8606000","-287504","505203","28523","17.03"
"1464","737","-18","64","-","11.52"
"1465","1","-","-","-","-"
"1466","2509","-2057","-","-","-"
"1469","24930","2430","660","20","37.77"
"1472","2952","-604","60","32","49.2"
"1473","-","-50","20","-","-"
"1474","135","-","-","-","-"
"1475","325085","6564","7863","-467","41.34"
"1476","8711","2642","1230","1","7.08"
"1477","7","-","-","-","-"
"1478","11812","-166","689","-20","17.14"
"1479","41","-20","-","-","-"
"1480","-","-","-","-","-"
"1481","43","-3","39","1","1.1"
"1482","149659","9181","415","400","360.62"
"1483","58","47","-","-1","-"
"1484","-","-","-","-","-"
"1485","-","-","-","-","-"
"1486","2605","-3","-","-","-"
"1487","6026","-461","40","-2","150.65"
"1488","9570","-1600","2330","60","4.11"
"1489","20231","-396","1776","86","11.39"
"1490","-","-","-","-","-"
"1492","111","4","213","-2","0.52"
"1493","138","-2","256","-","0.54"
"1494","242","-41","1","1","242"
"1495","380","-180","-","-40","-"
"1496","28194","-20508","-","-","-"
"1497","142371","-2334","750","-20","189.83"
"1498","-","-","10","-","-"
"1499","129","114","-","-","-"
"1540","226036","-23403","15925","-6493","14.19"
"1541","114018","-3978","7335","5137","15.54"
"1542","37464","228","4107","1063","9.12"
"1543","2743","-140","-","-","-"
"1545","115958","7757","38569","-611","3.01"
"1546","5813","-1492","15436","-42","0.38"
"1547","90240","1120","55340","-5630","1.63"
"1550","37740","-260","1590","-1050","23.74"
"1551","820","-","40","-20","20.5"
"1552","6898468","176258","1500","-5520","4598.98"
"1554","13300","550","2900","-680","4.59"
"1555","4290","480","900","-9750","4.77"
"1557","1992","-101","-","-","-"
"1559","1013","142","16","-1","63.31"
"1560","968","-7","-","-","-"
"1563","215671","-15589","18230","-34501","11.83"
"1566","976","-31","183","-","5.33"
"1568","44790","-11330","37890","-1480","1.18"
"1569","194620","23780","20","-50","9731"
"1570","3241224","-10926","2651646","-97774","1.22"
"1571","2856124","128326","39485","3688","72.33"
"1572","61390","2070","-","-","-"
"1573","4810","-180","440","90","10.93"
"1577","4451","-52","126","-11","35.33"
"1578","4212","999","1801","-3","2.34"
"1579","226820","1350","173420","-2720","1.31"
"1580","382500","2720","2680","-760","142.72"
"1585","10","-","250","-30","0.04"
"1586","296","-9","290","142","1.02"
