"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","25780","-2470","20310","-5370","1.27"
"1306","589030","41050","398340","-31480","1.48"
"1308","182704","10866","30470","-8873","6"
"1309","1496","-19","-","-","-"
"1311","8170","1500","260","-40","31.42"
"1319","78000","-","-","-","-"
"1320","23791","-11221","12014","-6267","1.98"
"1321","179213","21536","102033","823","1.76"
"1322","2770","140","-","-","-"
"1324","200","-","-","-","-"
"1325","231300","-9800","5000","-800","46.26"
"1326","765","-299","99","37","7.73"
"1328","27900","4800","5710","2000","4.89"
"1329","10406","1361","3842","-1338","2.71"
"1330","31799","3303","15004","-6438","2.12"
"1343","107180","19350","57080","3730","1.88"
"1345","41100","-3400","3500","-1400","11.74"
"1346","9375","1013","1905","-468","4.92"
"1348","18380","-2130","5270","-1060","3.49"
"1349","1","-","-","-","-"
"1356","1033010","-13850","273930","14220","3.77"
"1357","72459591","-11334195","13729774","1900335","5.28"
"1358","19531","6497","5346","-2162","3.65"
"1360","10461080","-2508860","2023360","459290","5.17"
"1364","128","8","38","-","3.37"
"1365","37643","3768","4139","-720","9.09"
"1366","719562","-203025","76237","37266","9.44"
"1367","8588","956","2043","18","4.2"
"1368","89124","-9275","5032","801","17.71"
"1369","816","45","163","-65","5.01"
"1397","32","26","44","10","0.73"
"1398","1940","-60","-","-","-"
"1399","3230","-","-","-","-"
"1456","90498","-3619","-","-","-"
"1457","6149","202","-","-","-"
"1458","162236","45218","30280","-6501","5.36"
"1459","4600074","-1082984","975611","472166","4.72"
"1464","827","-","42","-4","19.69"
"1465","-","-","-","-","-"
"1466","1087","-21","331","240","3.28"
"1469","16650","-1580","7230","2360","2.3"
"1472","2015","447","392","41","5.14"
"1473","40","-","-","-","-"
"1474","100","-","-","-","-"
"1475","396633","-8314","48740","37149","8.14"
"1476","3882","-3070","626","357","6.2"
"1477","136","30","-","-","-"
"1478","13816","2691","957","220","14.44"
"1479","-","-","-","-","-"
"1480","-","-","-","-","-"
"1481","55","-50","43","-6","1.28"
"1482","179814","20738","2122","922","84.74"
"1483","1","-1","-","-","-"
"1484","50","-","-","-","-"
"1485","-","-","-","-","-"
"1486","3944","-3","-","-","-"
"1487","9981","595","185","40","53.95"
"1488","9600","-3160","2670","310","3.6"
"1489","58984","1555","1927","-358","30.61"
"1490","-","-","-","-","-"
"1492","104","9","77","14","1.35"
"1493","6","-51","9","-","0.67"
"1494","751","-12","-","-4","-"
"1495","1290","170","380","20","3.39"
"1496","56727","5108","1350","114","42.02"
"1497","137034","-8840","705","110","194.37"
"1498","-","-3","-","-","-"
"1499","363","-539","-","-","-"
"1540","277653","36146","16317","6991","17.02"
"1541","112612","15549","2141","391","52.6"
"1542","43057","3503","1101","-1537","39.11"
"1543","2807","192","-","-","-"
"1545","114475","-1534","40630","-9017","2.82"
"1546","8136","-17","4504","-420","1.81"
"1547","97450","3380","53530","-2690","1.82"
"1550","42780","960","1080","-600","39.61"
"1551","710","-10","10","-10","71"
"1552","3999686","-699157","27809","12789","143.83"
"1554","18000","-490","300","-","60"
"1555","13080","5000","20","-530","654"
"1557","2093","-65","-","-","-"
"1559","2602","-425","109","7","23.87"
"1560","949","-","11","9","86.27"
"1563","246833","36241","25627","-26597","9.63"
"1566","859","84","5","-5","171.8"
"1568","79040","3030","25100","-4830","3.15"
"1569","139490","-61160","110","-80","1268.09"
"1570","4100170","1151894","861522","-453055","4.76"
"1571","2300342","-313827","35349","28570","65.08"
"1572","81360","5420","-","-","-"
"1573","13150","-2590","850","50","15.47"
"1577","10853","-181","315","7","34.45"
"1578","8475","1405","1501","-6","5.65"
"1579","321650","83620","83120","-21190","3.87"
"1580","281160","-78010","8360","1160","33.63"
"1585","2230","-","-","-","-"
"1586","11","4","1","-","11"
"1591","3778","33","51","-37","74.08"
"1592","1744","616","41","-","42.54"
"1593","1455","285","694","-51","2.1"
"1595","3720","190","210","210","17.71"
"1596","10","-","-","-","-"
"1597","14830","190","730","670","20.32"
"1599","20","-10","-","-","-"
"1615","2913300","59000","345300","6700","8.44"
"1617","289","92","33","-22","8.76"
"1618","1341","150","86","30","15.59"
"1619","130","-29","158","-","0.82"
"1620","173","-7","8","2","21.63"
"1621","291","190","121","6","2.4"
"1622","793","-20","158","57","5.02"
"1623","1189","2","79","-3","15.05"
"1624","193","103","21","-14","9.19"
"1625","146","43","53","3","2.75"
"1626","86","7","5","-27","17.2"
"1627","4247","185","208","26","20.42"
"1628","1705","139","7","-14","243.57"
"1629","627","22","75","7","8.36"
"1630","47","-","1","1","47"
"1631","5408","213","927","-9","5.83"
"1632","776","12","213","-1","3.64"
"1633","140","16","70","-2","2"
"1651","11800","-500","560","10","21.07"
"1652","50","-","-","-","-"
"1653","-","-","-","-","-"
"1654","-","-","-","-","-"
"1655","3800600","691950","379320","-7940","10.02"
"1656","106750","1350","1050","-3270","101.67"
"1657","816","292","3","-5","272"
"1658","12512","962","1655","25","7.56"
"1659","21807","2340","3258","-519","6.69"
"1660","2506","-72","-","-","-"
"1671","435841","-8251","214939","11352","2.03"
"1672","620","-10","-","-","-"
"1673","100","60","-","-","-"
"1674","62","12","-","-","-"
"1675","1","-","-","-","-"
"1676","-","-","-","-","-"
"1677","630","240","-","-","-"
"1678","7485900","-175600","661800","-52900","11.31"
"1679","160","-","500","-70","0.32"
"1680","8740","20","660","-40","13.24"
"1681","7710","-470","380","40","20.29"
"1682","65500","3900","14500","-1500","4.52"
"1684","-","-","-","-","-"
"1685","-","-","-","-","-"
"1686","-","-","-","-","-"
"1687","110","10","-","-","-"
"1688","7300","-","-","-","-"
"1689","43380200","-812800","-","-","-"
"1690","1350","300","-","-","-"
"1691","40","30","-","-","-"
"1692","900","-","-","-","-"
"1693","190","-","-","-","-"
"1694","1000","-","-","-","-"
"1695","447600","-59500","-","-","-"
"1696","11500","-","-","-","-"
"1697","300","-","-","-","-"
"1698","15540","60","1230","200","12.63"
"1699","6911730","5350000","1281340","-2560","5.39"
"2031","12735","492","-","-","-"
"2032","2575","152","-","-","-"
"2033","20","4","-","-","-"
"2034","9418","575","-","-","-"
"2036","6929","1353","-","-","-"
"2037","2632","555","-","-","-"
"2038","1697158","198432","240","240","7071.49"
"2039","871135","-33584","-","-","-"
"2040","19225","691","-","-","-"
"2041","65323","-596","-","-","-"
"2042","25242","2335","-","-","-"
"2043","196","-","-","-","-"
"2044","5784","33","-","-","-"
"2045","-","-","-","-","-"
"2046","18204","-233","-","-","-"
"2047","2009","9","-","-","-"
"2048","61","-30","-","-","-"
"2050","-","-","-","-","-"
"2065","20","-","-","-","-"
"2066","-","-","-","-","-"
"2067","64","3","-","-","-"
"2068","-","-","-","-","-"
"2069","-","-","-","-","-"
"2070","-","-","-","-","-"
"2071","1","-","-","-","-"
"2072","-","-","-","-","-"
"2073","-","-","-","-","-"
"2080","3068909","-109046","94762","1170","32.39"
"2081","39181","-1230","-","-2","-"
"2082","29611","1243","10","8","2961.1"
"2083","50501","1307","18","-185","2805.61"
"2084","269142","-13121","7952","2220","33.85"
"2085","721420","7740","11750","70","61.4"
