"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","34560","-1520","20900","750","1.65"
"1306","540700","2310","551120","54330","0.98"
"1308","132840","-5080","85258","7160","1.56"
"1309","1717","114","-","-","-"
"1311","10410","-620","1870","560","5.57"
"1319","82000","-1000","-","-","-"
"1320","29757","885","23624","-1244","1.26"
"1321","193740","-5521","221199","-1897","0.88"
"1322","3050","10","-","-","-"
"1324","200","-","-","-","-"
"1325","222400","-7500","3500","-3700","63.54"
"1326","1283","106","158","50","8.12"
"1328","16570","-1740","7290","-160","2.27"
"1329","13570","1593","6713","-716","2.02"
"1330","35082","-308","30874","362","1.14"
"1343","188080","-20050","31970","-6530","5.88"
"1345","25800","-3800","5300","-1400","4.87"
"1346","9890","-1286","5491","-71","1.8"
"1348","16640","-250","9140","-2610","1.82"
"1349","9","-","-","-","-"
"1356","855350","15870","191510","-19860","4.47"
"1357","116813231","-4322535","12334243","13054","9.47"
"1358","17323","428","10836","-925","1.6"
"1360","14408310","-5370","2254780","47060","6.39"
"1364","129","-95","103","-2","1.25"
"1365","43118","57","8834","-120","4.88"
"1366","1005166","72428","67463","36071","14.9"
"1367","4595","-745","3013","-147","1.53"
"1368","101993","1051","1476","88","69.1"
"1369","1309","74","2100","84","0.62"
"1397","-","-","11","1","-"
"1398","2430","260","-","-","-"
"1399","780","-","-","-10","-"
"1456","122762","677","118","-24","1040.36"
"1457","3509","357","11","-20","319"
"1458","140223","772","56050","-3178","2.5"
"1459","6759366","-102108","760432","15732","8.89"
"1464","819","25","68","-5","12.04"
"1465","1","-","-","-","-"
"1466","2501","-19","-","-","-"
"1469","20870","700","1460","170","14.29"
"1472","2030","-","1","-","2030"
"1473","140","140","10","-","14"
"1474","135","-","-","-","-"
"1475","31520","220","9644","1125","3.27"
"1476","16034","-515","608","-59","26.37"
"1477","8","-4","-","-","-"
"1478","10682","-242","607","13","17.6"
"1479","1","-10","-","-","-"
"1480","15","-","-","-","-"
"1481","59","-","43","2","1.37"
"1482","114120","-6394","254","-621","449.29"
"1483","11","-","-","-","-"
"1484","40","40","-","-","-"
"1485","-","-","-","-","-"
