"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","20510","3620","12420","-4290","1.65"
"1306","433160","38180","279410","-140110","1.55"
"1308","21800","13500","81800","-28100","0.27"
"1309","1760","34","-","-","-"
"1311","7310","1490","270","-2360","27.07"
"1319","66000","-1000","-","-","-"
"1320","28770","1433","22526","-19572","1.28"
"1321","234875","52135","108555","-92013","2.16"
"1322","2580","90","-","-","-"
"1324","200","-","-","-","-"
"1325","237700","12200","10600","2100","22.42"
"1326","506","-68","18","18","28.11"
"1328","26350","16420","5340","1800","4.93"
"1329","2378","1068","3491","-1164","0.68"
"1330","26160","12280","20000","-15300","1.31"
"1343","236150","59770","26090","1020","9.05"
"1345","43400","800","11100","6300","3.91"
"1346","3899","2089","4344","-2667","0.9"
"1348","5290","2170","9200","4650","0.57"
"1349","-","-","-","-","-"
"1356","612300","-393030","196510","42040","3.12"
"1357","72884627","-72282445","7346596","-592694","9.92"
"1358","19299","12021","6649","-6236","2.9"
"1360","7671390","-7031100","895130","244960","8.57"
"1364","320","206","30","-2","10.67"
"1365","44261","12669","7811","-7305","5.67"
"1366","858500","-272037","318469","15441","2.7"
"1367","5432","3460","3411","-590","1.59"
"1368","60447","-19326","1944","1235","31.09"
"1369","566","322","367","-4451","1.54"
"1385","161","89","-","-","-"
"1386","369","-17","-","-","-"
"1387","2","-1","-","-","-"
"1388","2","2","-","-","-"
"1389","81","-21","-","-","-"
"1390","287","73","-","-","-"
"1391","68","-22","-","-","-"
"1392","2","-19","-","-","-"
"1393","95","-8","-","-","-"
"1394","6","-","-","-","-"
"1397","-","-","-","-","-"
"1398","1510","-140","200","200","7.55"
"1399","-","-","-","-","-"
"1456","4393","-1088","51","10","86.14"
"1457","2496","-524","42","-200","59.43"
"1458","239717","90310","71358","-58813","3.36"
"1459","3415487","-3031682","254562","94372","13.42"
"1464","765","752","201","-73","3.81"
"1465","3","3","-","-","-"
"1466","343","-1266","193","177","1.78"
"1467","1310","-90","-","-","-"
"1468","200","-","-","-","-"
"1469","6470","-6840","1820","1280","3.55"
"1472","4965","1805","110","100","45.14"
"1473","460","50","500","-","0.92"
"1474","-","-","-","-10","-"
"1475","7762","336","4364","-1448","1.78"
"1476","20166","15054","-","-2068","-"
"1477","5","5","-","-","-"
"1478","9081","1140","685","-19","13.26"
"1479","292","1","-","-","-"
"1480","-","-","-","-","-"
"1481","539","500","44","-7","12.25"
"1482","72307","-249","566","-2867","127.75"
"1483","405","-24","1","-","405"
"1484","40","-","-","-","-"
"1485","-","-","-","-","-"
"1486","2823","-867","-","-","-"
"1487","4989","-1451","876","856","5.7"
"1488","22550","5660","2100","340","10.74"
"1489","29024","10434","1028","-930","28.23"
"1490","-","-","-","-","-"
"1492","58","6","25","-8","2.32"
"1493","8","4","6","1","1.33"
"1494","45","21","-","-","-"
"1495","260","-20","10","-40","26"
"1496","13744","-10387","88","-200","156.18"
"1497","88595","18273","2623","720","33.78"
"1498","2","2","1","1","2"
"1499","51","-1","23","3","2.22"
"1540","197476","3469","23706","2485","8.33"
"1541","95725","-11459","2783","-365","34.4"
"1542","37127","-4666","1563","-932","23.75"
"1543","3229","241","-","-","-"
"1545","102376","7506","56155","-581","1.82"
"1546","17528","3793","8371","-2447","2.09"
"1547","183610","-660","51320","-20020","3.58"
"1550","35830","1060","550","310","65.15"
"1551","910","40","210","10","4.33"
"1552","5491574","-1375582","2830","710","1940.49"
"1554","18670","2930","590","-1000","31.64"
"1555","8970","130","620","10","14.47"
"1557","1963","26","-","-","-"
"1559","7654","154","44","-54","173.95"
"1560","3068","-205","25","-28","122.72"
"1563","66053","3678","21558","-14808","3.06"
"1566","1754","104","53","-58","33.09"
"1568","91140","21980","30030","-42930","3.03"
"1569","25970","-4150","160","150","162.31"
"1570","5590007","2466950","1763379","-1271442","3.17"
"1571","2505141","-512644","7249","-1726","345.58"
"1572","92400","5510","-","-","-"
"1573","8900","70","320","-40","27.81"
"1577","2212","903","57","-283","38.81"
"1578","1278","-224","413","144","3.09"
"1579","362360","194940","182230","-119740","1.99"
"1580","90540","-10430","1600","880","56.59"
"1585","-","-","-","-","-"
"1586","173","7","2","-127","86.5"
"1591","394","302","138","-160","2.86"
"1592","218","-6","56","11","3.89"
"1593","203","159","190","-542","1.07"
"1595","2900","20","1080","1080","2.69"
"1596","-","-","-","-","-"
"1597","6230","1500","390","330","15.97"
"1599","-","-","-","-","-"
"1615","2425100","1154000","971700","91900","2.5"
"1617","84","-28","3","2","28"
"1618","506","-8","77","-36","6.57"
"1619","65","-66","217","-96","0.3"
"1620","67","-21","21","-8","3.19"
"1621","409","-5","6","-18","68.17"
"1622","187","118","123","30","1.52"
"1623","644","-177","158","-112","4.08"
"1624","62","-90","49","-37","1.27"
"1625","67","-95","55","-196","1.22"
"1626","77","15","4","-30","19.25"
"1627","2120","752","241","-263","8.8"
"1628","1668","20","18","5","92.67"
"1629","162","2","97","-15","1.67"
"1630","28","1","-","-","-"
"1631","4839","2376","892","304","5.42"
"1632","1207","840","20","-6","60.35"
"1633","108","-3","117","-59","0.92"
"1651","11070","3270","40","-160","276.75"
"1652","-","-","-","-","-"
"1653","10","10","-","-","-"
"1654","-","-","-","-","-"
"1655","2645280","125140","363500","-54080","7.28"
"1656","127110","-304760","14900","-2430","8.53"
"1657","619","410","51","1","12.14"
"1658","28687","124","238","5","120.53"
"1659","27940","1146","7340","-1233","3.81"
"1660","1330","226","23","-1","57.83"
"1671","938031","477147","42538","-45456","22.05"
"1672","93","59","-","-","-"
"1673","100","-100","-","-","-"
"1674","200","-","-","-","-"
"1675","36","-","-","-","-"
"1676","-","-","-","-","-"
"1677","930","10","-","-","-"
"1678","3772200","128800","225200","-16900","16.75"
"1679","1080","480","90","-400","12"
"1680","18780","1060","160","-40","117.38"
"1681","14970","-24810","410","-1090","36.51"
"1682","51300","-3400","10300","4400","4.98"
"1684","100","-","-","-","-"
"1685","-","-","-","-","-"
"1686","-","-10","-","-","-"
"1687","10","-","-","-","-"
"1688","9230","-100","-","-","-"
"1689","23878000","306200","-","-","-"
"1690","460","400","-","-","-"
"1691","30","-","-","-","-"
"1692","1100","-","-","-","-"
"1693","430","-120","-","-","-"
"1694","1110","110","-","-","-"
"1695","422200","88500","-","-","-"
"1696","31200","-16500","-","-","-"
"1697","-","-","-","-","-"
"1698","4810","820","30","-1470","160.33"
"1699","13748040","1764430","538490","-383070","25.53"
"2031","23554","1516","-","-","-"
"2032","3908","-335","-","-","-"
"2033","47","-143","-","-","-"
"2034","21611","613","-","-","-"
"2036","6139","-","-","-","-"
"2037","4424","1900","-","-","-"
"2038","4912167","1710133","-","-","-"
"2039","347037","-195016","-","-","-"
"2040","27315","1101","-","-","-"
"2041","145352","-60167","-","-","-"
"2042","11952","-741","-","-","-"
"2043","22","-","-","-","-"
"2044","9463","188","-","-","-"
"2045","-","-","-","-","-"
"2046","16777","2079","-","-","-"
"2047","2263","118","-","-","-"
"2048","610","-1","-","-","-"
"2050","1","1","-","-","-"
"2065","6","1","-","-","-"
"2066","7","-","-","-","-"
"2067","-","-","-","-","-"
"2068","-","-","-","-","-"
"2069","-","-","-","-","-"
"2070","-","-","-","-","-"
"2071","-","-","-","-","-"
"2072","9","-","-","-","-"
"2073","-","-","-","-","-"
"2235","790","70","-","-","-"
"2236","57664","-11906","-","-","-"
"2237","356","-362","-","-","-"
"2238","5592","3939","-","-","-"
"2239","20","20","-","-","-"
"2240","-","-","-","-","-"
"2241","2230","2220","-","-","-"
"2242","300","100","24500","24500","0.01"
"2510","10090","-400","9470","-1010","1.07"
"2511","51250","-930","-","-","-"
"2512","8060","-1920","1200","-100","6.72"
"2513","29120","-4220","630","-240","46.22"
"2514","60770","14640","220","-50","276.23"
"2515","21110","-50","900","-3760","23.46"
"2516","1914080","117980","1029580","-218480","1.86"
"2517","1260","60","-","-200","-"
"2518","49977","1826","5971","3303","8.37"
"2519","19380","8910","-","-","-"
"2520","38690","680","440","-330","87.93"
"2521","878630","-66420","60070","-16110","14.63"
"2522","3770","38","1278","44","2.95"
"2523","20","-","-","-","-"
"2524","-","-","100","100","-"
"2525","1","1","-","-","-"
"2526","10","1","-","-","-"
"2527","-","-","-","-","-"
"2528","3210","-","100","-","32.1"
"2529","1595","-210","-","-14","-"
"2530","23","-1","-","-","-"
"2552","277","-265","-","-","-"
"2553","260","-","-","-","-"
"2554","8280","-","-","-","-"
"2555","2680","-1490","820","100","3.27"
"2556","9760","1310","210","30","46.48"
"2557","-","-","-","-","-"
"2558","114052","8436","14053","564","8.12"
"2559","47577","3734","1980","1325","24.03"
"2560","1","1","-","-","-"
"2561","33266","-2434","32552","1035","1.02"
"2562","60570","-7700","27180","-8620","2.23"
"2563","14300700","1304410","219730","-8020","65.08"
"2564","44243","21539","51","30","867.51"
"2565","3717","1255","-","-4","-"
"2566","2360","50","-","-","-"
"2567","1150","-","130","-20","8.85"
"2568","63690","-1760","27380","-1640","2.33"
"2569","226380","31820","-","-","-"
"2620","20330","-10240","-","-","-"
"2621","1317571","-13568","3146","-4907","418.81"
"2622","5901","400","-","-","-"
"2623","-","-","-","-","-"
"2624","1081","68","53","-130","20.4"
"2625","534","-2263","-","-","-"
"2626","2123","-156","-","-12","-"
"2627","1980","130","-","-","-"
"2628","3232","273","524","-","6.17"
"2629","1020","-8","98","-","10.41"
"2630","77674","5365","848","-2135","91.6"
"2631","51487","-2043","14566","-4123","3.53"
"2632","30731","-469","10137","-1274","3.03"
"2633","87440","-19060","16670","350","5.25"
"2634","321240","43550","62630","-12280","5.13"
"2635","3200","-10","70","-50","45.71"
"2636","105","-29","22","-","4.77"
"2637","846","109","50","-1","16.92"
"2638","1333","4","50","-101","26.66"
"2639","31283","-3","50","-","625.66"
"2640","549","27","17","-2","32.29"
"2641","225","36","-","-50","-"
"2642","-","-","-","-","-"
"2643","46","-","-","-","-"
"2644","23781","1608","6004","-3240","3.96"
"2645","20929","21","19","-3","1101.53"
"2646","48","3","-","-","-"
"2647","930","250","-","-","-"
"2648","320","-","-","-","-"
"2649","-","-","-","-","-"
"2836","35","-26","30","-","1.17"
"2837","31","1","30","-","1.03"
"2838","271","1","-","-","-"
"2839","17","3","-","-","-"
"2840","1097","208","768","-448","1.43"
"2841","38538","13791","14965","-4918","2.58"
"2842","76866","-16926","3219","1363","23.88"
"2843","-","-","-","-","-"
"2844","260","150","-","-","-"
"2845","165990","27990","49920","-28470","3.33"
"2846","65040","-8620","23340","-1390","2.79"
"2847","106","3","-","-1","-"
"2848","3","1","-","-","-"
