"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","31450","3990","31470","700","1"
"1306","452230","16360","581750","-7380","0.78"
"1308","38400","9700","144300","-2800","0.27"
"1309","1772","14","-","-","-"
"1311","10180","3030","1570","-1040","6.48"
"1319","89000","-5000","-","-","-"
"1320","36935","3592","31182","-6857","1.18"
"1321","305826","41553","316950","-4635","0.96"
"1322","3050","180","-","-","-"
"1324","200","-","-","-","-"
"1325","169100","2100","7300","200","23.16"
"1326","1076","-82","124","-17","8.68"
"1328","22620","2420","10140","-1040","2.23"
"1329","11298","3942","8361","-674","1.35"
"1330","19670","5840","49810","-7130","0.39"
"1343","187540","89480","31130","-6610","6.02"
"1345","31900","6800","5900","600","5.41"
"1346","7470","352","7364","-1908","1.01"
"1348","14250","1850","6880","-260","2.07"
"1349","-","-","-","-","-"
"1356","1133660","-69550","195890","19690","5.79"
"1357","182131228","-13776003","10398328","404503","17.52"
"1358","18054","420","19645","-1358","0.92"
"1360","21865890","-800840","998590","338160","21.9"
"1364","248","-156","92","-","2.7"
"1365","27526","2378","11871","-1045","2.32"
"1366","1444040","-39609","37474","13693","38.53"
"1367","3623","-279","5236","422","0.69"
"1368","147858","12504","2633","2074","56.16"
"1369","322","-22","2490","-65","0.13"
"1385","1140","7","-","-","-"
"1386","247","40","-","-","-"
"1387","6","6","-","-","-"
"1388","7","-","-","-","-"
"1389","118","45","-","-","-"
"1390","510","-161","-","-","-"
"1391","90","22","-","-","-"
"1392","308","50","-","-","-"
"1393","61","-56","-","-","-"
"1394","27","-11","-","-","-"
"1397","27","-","10","-","2.7"
"1398","2060","160","-","-","-"
"1399","200","-","-","-","-"
"1456","123766","-695","25","-","4950.64"
"1457","2287","-65","7","-3","326.71"
"1458","92431","35205","96187","-5014","0.96"
"1459","9783758","-21092","511529","336712","19.13"
"1464","830","-75","71","2","11.69"
"1465","45","-51","-","-","-"
"1466","2679","-3554","57","-18","47"
"1469","25000","-990","280","260","89.29"
"1472","2698","-404","156","55","17.29"
"1473","-","-","10","-","-"
"1474","70","35","-","-","-"
"1475","37084","9528","13011","-146","2.85"
"1476","18367","12959","1291","264","14.23"
"1477","6","-","11","1","0.55"
"1478","6541","700","672","-","9.73"
"1479","131","-50","-","-","-"
"1480","1","-","-","-","-"
"1481","541","-82","43","-1","12.58"
"1482","96498","13373","24","-20","4020.75"
"1483","1","-1","1","1","1"
"1484","10","10","100","-","0.1"
"1485","-","-","-","-","-"
"1486","1981","-1098","-","-","-"
"1487","4412","63","13","-","339.38"
"1488","11490","880","2340","560","4.91"
"1489","21876","7115","2009","263","10.89"
"1490","-","-","-","-","-"
"1492","207","43","64","-1","3.23"
"1493","50","-20","234","200","0.21"
"1494","192","-13","-","-","-"
"1495","170","-10","210","160","0.81"
"1496","16487","-688","-","-","-"
"1497","113492","7013","600","-500","189.15"
"1498","-","-","10","-","-"
"1499","51","-","-","-","-"
"1540","242425","-1229","24631","-5494","9.84"
"1541","88125","8656","4341","-63","20.3"
"1542","37409","-4856","3475","-793","10.77"
"1543","2728","414","-","-","-"
"1545","101342","-19188","43391","7981","2.34"
"1546","5234","1636","16563","188","0.32"
"1547","79590","-2470","63410","-6400","1.26"
"1550","36720","580","2190","-460","16.77"
"1551","790","-40","60","-","13.17"
"1552","7856048","566414","7500","7500","1047.47"
"1554","12050","2860","4870","250","2.47"
"1555","7640","3830","-","-330","-"
"1557","2055","134","-","-","-"
"1559","4191","-167","19","-327","220.58"
"1560","969","-33","-","-23","-"
"1563","149965","23333","22292","11674","6.73"
"1566","1095","169","148","-","7.4"
"1568","41850","-3670","63500","-18180","0.66"
"1569","179750","29330","140","20","1283.93"
"1570","3057259","80789","3134779","-351477","0.98"
"1571","3234262","84452","12386","-8061","261.12"
"1572","59030","-20","-","-","-"
"1573","4270","-10","470","120","9.09"
"1577","2391","268","72","-15","33.21"
"1578","2915","92","1727","14","1.69"
"1579","180920","20660","213070","-18450","0.85"
"1580","386430","66850","3920","-400","98.58"
"1585","120","-","290","-","0.41"
"1586","382","65","169","-264","2.26"
"1591","3256","20","330","-35","9.87"
"1592","193","60","472","-31","0.41"
"1593","683","508","1046","-","0.65"
"1595","2310","10","-","-","-"
"1596","-","-","-","-","-"
"1597","19090","480","160","30","119.31"
"1599","-","-3","-","-","-"
"1615","1059400","-898000","309600","-65700","3.42"
"1617","50","-2","47","-4","1.06"
"1618","415","42","159","-48","2.61"
"1619","238","195","346","-40","0.69"
"1620","88","49","81","-","1.09"
"1621","76","-21","43","-15","1.77"
"1622","380","156","147","-21","2.59"
"1623","415","-11","103","-6","4.03"
"1624","162","42","60","-","2.7"
"1625","385","161","120","29","3.21"
"1626","77","-5","30","-22","2.57"
"1627","3437","6","729","148","4.71"
"1628","1085","150","233","-16","4.66"
"1629","2542","1521","218","48","11.66"
"1630","50","-292","31","-12","1.61"
"1631","1775","281","361","24","4.92"
"1632","434","166","66","10","6.58"
"1633","113","41","144","-","0.78"
"1651","8310","1290","860","480","9.66"
"1652","10","-","-","-","-"
"1653","410","-","-","-","-"
"1654","-","-","-","-","-"
"1655","1730280","19100","639950","104130","2.7"
"1656","67240","6320","720","-210","93.39"
