"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","35030","-540","23970","-1570","1.46"
"1306","588660","84690","537650","-40200","1.09"
"1308","106776","-7967","84066","4994","1.27"
"1309","1544","-282","-","-","-"
"1311","12890","-3710","1540","130","8.37"
"1319","82000","-","-","-","-"
"1320","26384","-2154","24659","506","1.07"
"1321","213217","-30412","250092","-7842","0.85"
"1322","3720","30","-","-","-"
"1324","200","-","-","-","-"
"1325","218600","100","7000","1900","31.23"
"1326","1050","40","124","-48","8.47"
"1328","15860","870","7640","-560","2.08"
"1329","10224","-1200","7265","-392","1.41"
"1330","24214","-2475","36484","-633","0.66"
"1343","199190","52440","32480","-6000","6.13"
"1345","20700","-2500","2800","-300","7.39"
"1346","8439","-1358","7142","-746","1.18"
"1348","18830","230","7310","250","2.58"
"1349","164","157","-","-","-"
"1356","951040","-47380","182060","-2440","5.22"
"1357","143984225","-6598207","9349248","-1128550","15.4"
"1358","12211","-427","13108","-1099","0.93"
"1360","15793110","-630880","1530980","150810","10.32"
"1364","203","-124","84","-","2.42"
"1365","30123","-17","9847","-102","3.06"
"1366","1230546","-61049","47453","17287","25.93"
"1367","4330","314","4063","-70","1.07"
"1368","115292","-10151","884","-228","130.42"
"1369","756","-32","2168","5","0.35"
"1397","1","-","12","2","0.08"
"1398","2310","250","-","-","-"
"1399","20","10","-","-","-"
"1456","125747","1008","-","-212","-"
"1457","2527","-17","-","-262","-"
"1458","106729","-9922","73276","-2735","1.46"
"1459","8486015","-119985","458609","-46594","18.5"
"1464","737","-","64","-","11.52"
"1465","1","-","-","-","-"
"1466","2509","-","-","-","-"
"1469","23620","-1310","680","20","34.74"
"1472","2687","-265","130","70","20.67"
"1473","-","-","20","-","-"
"1474","135","-","-","-","-"
"1475","35076","-290009","8593","730","4.08"
"1476","10507","1796","1251","21","8.4"
"1477","4","-3","-","-","-"
"1478","10974","-838","690","1","15.9"
"1479","41","-","-","-","-"
"1480","-","-","-","-","-"
"1481","44","1","42","3","1.05"
"1482","148684","-975","493","78","301.59"
"1483","2","-56","-","-","-"
"1484","-","-","-","-","-"
"1485","-","-","-","-","-"
"1486","2791","186","-","-","-"
"1487","6052","26","4","-36","1513"
"1488","9400","-170","2330","-","4.03"
"1489","22940","2709","1719","-57","13.34"
"1490","-","-","-","-","-"
"1492","103","-8","230","17","0.45"
"1493","152","14","262","6","0.58"
"1494","244","2","1","-","244"
"1495","380","-","60","60","6.33"
"1496","32682","4488","50","50","653.64"
"1497","145804","3433","832","82","175.25"
"1498","-","-","10","-","-"
"1499","130","1","-","-","-"
"1540","234555","8519","16330","405","14.36"
"1541","97257","-16761","1679","-5656","57.93"
"1542","37607","143","3187","-920","11.8"
"1543","2752","9","-","-","-"
"1545","115738","-220","35653","-2916","3.25"
"1546","5085","-728","15046","-390","0.34"
"1547","117530","27290","56520","1180","2.08"
"1550","38860","1120","1600","10","24.29"
"1551","810","-10","40","-","20.25"
"1552","6579632","-318836","6352","4852","1035.84"
"1554","12720","-580","3050","150","4.17"
"1555","4180","-110","-","-900","-"
"1557","2026","34","-","-","-"
"1559","937","-76","18","2","52.06"
"1560","1373","405","-","-","-"
"1563","228783","13112","18420","190","12.42"
"1566","969","-7","211","28","4.59"
"1568","54440","9650","38280","390","1.42"
"1569","193850","-770","20","-","9692.5"
"1570","2905903","-335321","2480226","-171420","1.17"
