"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20231107","32271.82","-436.66","-1.34","32708.48","32551.77","32591.11","32250.93","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20231107","2332.91","-27.55","-1.17","2360.46","2354.98","2358.44","2331.28","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20231107","3740","20","0.54","3720","3700","3765","3675","3726.6","33200","0.3","123723","40872","3020","4420","20230920","4090","8.56","20230320","3370","10.98"
"1332","ニッスイ","東証PR","水産・農林","20231107","694.7","13.2","1.94","681.5","690","699.5","683.4","694.47","4560800","1.46","3167328","217045","581.5","781.5","20230817","789","11.95","20230113","517","34.37"
"1333","マルハニチロ","東証PR","水産・農林","20231107","2700.5","104.5","4.03","2596","2562.5","2710","2555","2662.85","584400","1.16","1556167","136588","2096","3096","20231107","2710","0.35","20230320","2333","15.75"
"1375","雪国まいたけ","東証PR","水産・農林","20231107","902","-3","-0.33","905","905","910","902","905.02","43600","0.11","39459","35999","755","1055","20230307","1057","14.66","20230821","867","4.04"
"1376","カネコ種苗","東証ST","水産・農林","20231107","1418","6","0.42","1412","1420","1428","1418","1423.96","18400","0.16","26201","16694","1112","1712","20230404","1709","17.03","20230818","1370","3.5"
"1377","サカタのタネ","東証PR","水産・農林","20231107","4025","-50","-1.23","4075","4080","4090","4025","4044.68","43500","0.09","175944","190828","3375","4775","20230926","4495","10.46","20230411","3765","6.91"
"1379","ホクト","東証PR","水産・農林","20231107","1792","-6","-0.33","1798","1809","1810","1792","1797.45","51000","0.15","91670","59779","1398","2198","20230131","1902","5.78","20231018","1769","1.3"
"1380","秋川牧園","東証ST","水産・農林","20231107","1042","2","0.19","1040","1041","1042","1040","1041.25","400","0.01","417","4355","740","1340","20230928","1094","4.75","20230619","1034","0.77"
"1381","アクシーズ","東証ST","水産・農林","20231107","2894","-35","-1.19","2929","2903","2927","2890","2900.5","2600","0.05","7541","16257","2429","3430","20230627","3270","11.5","20230217","2828","2.33"
"1382","ホーブ","東証ST","水産・農林","20231107","1981","77","4.04","1904","1904","2041","1904","1978.89","28900","3.79","57190","1510","1504","2304","20230912","4635","57.26","20230111","1664","19.05"
"1383","ベルグアース","東証ST","水産・農林","20231107","3220","10","0.31","3210","3225","3225","3200","3216.33","1500","0.09","4825","5186","2510","3910","20230403","3475","7.34","20230104","2886","11.57"
"1384","ホクリヨウ","東証ST","水産・農林","20231107","1061","0","0","1061","1059","1064","1054","1058.9","17400","0.21","18425","8975","761","1361","20230925","1205","11.95","20230104","702","51.14"
