"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20230926","32315.05","-363.57","-1.11","32678.62","32640.05","32643.41","32315.05","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20230926","2371.94","-13.56","-0.57","2385.5","2387.26","2387.46","2369.23","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20230926","3990","-5","-0.13","3995","3970","4015","3970","3991.51","11900","0.11","47499","43604","3295","4695","20230920","4090","2.44","20230320","3370","18.4"
"1332","ニッスイ","東証PR","水産・農林","20230926","742.3","2.6","0.35","739.7","739.5","746.1","735.4","741.97","1255500","0.4","931538","231917","589.7","889.7","20230817","789","5.92","20230113","517","43.58"
"1333","マルハニチロ","東証PR","水産・農林","20230926","2664.5","-1.5","-0.06","2666","2673","2688.5","2651","2666.43","165800","0.33","442094","134767","2166","3166","20230926","2688.5","0.89","20230320","2333","14.21"
"1375","雪国まいたけ","東証PR","水産・農林","20230926","918","3","0.33","915","915","920","910","917.19","69500","0.17","63745","36638","765","1065","20230307","1057","13.15","20230821","867","5.88"
"1376","カネコ種苗","東証ST","水産・農林","20230926","1503","-26","-1.7","1529","1529","1529","1503","1511.95","21000","0.18","31751","17694","1129","1929","20230404","1709","12.05","20230818","1370","9.71"
"1377","サカタのタネ","東証PR","水産・農林","20230926","4450","15","0.34","4435","4445","4495","4435","4466.05","108400","0.23","484120","210978","3735","5140","20230926","4495","1","20230411","3765","18.19"
"1379","ホクト","東証PR","水産・農林","20230926","1838","5","0.27","1833","1833","1841","1828","1837.02","42600","0.13","78257","61314","1433","2233","20230131","1902","3.36","20230822","1802","2"
"1380","秋川牧園","東証ST","水産・農林","20230926","1049","-8","-0.76","1057","1056","1058","1049","1055.19","1600","0.04","1688","4384","757","1357","20230116","1071","2.05","20230619","1034","1.45"
"1381","アクシーズ","東証ST","水産・農林","20230926","2997","17","0.57","2980","3030","3030","2981","3012.93","1400","0.02","4218","16836","2480","3480","20230627","3270","8.35","20230217","2828","5.98"
"1382","ホーブ","東証ST","水産・農林","20230926","2167","-10","-0.46","2177","2160","2458","2150","2315.45","251400","32.99","582103","1651","1677","2677","20230912","4635","53.25","20230111","1664","30.23"
"1383","ベルグアース","東証ST","水産・農林","20230926","3145","-10","-0.32","3155","3155","3155","3140","3149.37","800","0.05","2520","5065","2455","3855","20230403","3475","9.5","20230104","2886","8.97"
"1384","ホクリヨウ","東証ST","水産・農林","20230926","1165","-40","-3.32","1205","1189","1189","1136","1161.19","79700","0.94","92547","9855","905","1505","20230925","1205","3.32","20230104","702","65.95"
"1400","ルーデン・ホールディングス","東証GR","建設","20230926","124","1","0.81","123","123","125","122","123.42","27000","0.21","3332","1613","73","173","20230221","187","33.69","20230206","98","26.53"
"1401","エムビーエス","東証GR","建設","20230926","527","-2","-0.38","529","525","532","515","522.62","7200","0.09","3763","4075","429","629","20230721","574","8.19","20230113","466","13.09"
"1407","ウエストホールディングス","東証ST","建設","20230926","3160","-60","-1.86","3220","3225","3245","3130","3169.58","171100","0.37","542315","145447","2520","3920","20230113","4730","33.19","20230818","2324","35.97"
"1414","ショーボンドホールディングス","東証PR","建設","20230926","5930","32","0.54","5898","5902","5992","5890","5948.92","138600","0.24","824520","336499","4898","6898","20230814","6050","1.98","20230217","5170","14.7"
"1417","ミライト・ワン","東証PR","建設","20230926","2002.5","-6","-0.3","2008.5","2004","2019.5","1997","2006.64","164400","0.16","329892","206909","1508.5","2508.5","20230919","2058","2.7","20230213","1468","36.41"
"1418","インターライフホールディングス","東証ST","建設","20230926","199","-1","-0.5","200","198","200","198","199.17","5900","0.03","1175","3982","120","280","20230417","318","37.42","20230316","159","25.16"
