"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20231027","30991.69","389.91","1.27","30601.78","30713.79","31081.48","30687.33","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20231027","2254.65","30.4","1.37","2224.25","2233.73","2256.47","2229.96","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20231027","3810","60","1.6","3750","3770","3815","3770","3797.8","22300","0.2","84691","41637","3050","4450","20230920","4090","6.85","20230320","3370","13.06"
"1332","ニッスイ","東証PR","水産・農林","20231027","716","9.5","1.34","706.5","714","717.8","708.8","713.62","1096600","0.35","782559","223700","556.5","856.5","20230817","789","9.25","20230113","517","38.49"
"1333","マルハニチロ","東証PR","水産・農林","20231027","2519.5","38.5","1.55","2481","2491","2519.5","2481","2505.99","127000","0.25","318260","127433","1981","2981","20230926","2688","6.27","20230320","2333","7.99"
"1375","雪国まいたけ","東証PR","水産・農林","20231027","892","7","0.79","885","885","893","885","889.78","81200","0.2","72250","35600","735","1035","20230307","1057","15.61","20230821","867","2.88"
"1376","カネコ種苗","東証ST","水産・農林","20231027","1417","19","1.36","1398","1408","1417","1402","1412.46","11400","0.1","16102","16682","1098","1698","20230404","1709","17.09","20230818","1370","3.43"
"1377","サカタのタネ","東証PR","水産・農林","20231027","3980","10","0.25","3970","3990","4000","3955","3973.12","119000","0.25","472802","188695","3270","4670","20230926","4495","11.46","20230411","3765","5.71"
"1379","ホクト","東証PR","水産・農林","20231027","1814","4","0.22","1810","1813","1816","1804","1812.04","74900","0.22","135722","60513","1410","2210","20230131","1902","4.63","20231018","1769","2.54"
"1380","秋川牧園","東証ST","水産・農林","20231027","1039","-6","-0.57","1045","1044","1044","1039","1042.33","300","0.01","313","4342","745","1345","20230928","1094","5.03","20230619","1034","0.48"
"1381","アクシーズ","東証ST","水産・農林","20231027","2916","6","0.21","2910","2948","2948","2910","2918.24","4500","0.08","13132","16381","2410","3410","20230627","3270","10.83","20230217","2828","3.11"
"1382","ホーブ","東証ST","水産・農林","20231027","1872","31","1.68","1841","1832","1889","1810","1847.6","17500","2.3","32333","1426","1441","2241","20230912","4635","59.61","20230111","1664","12.5"
"1383","ベルグアース","東証ST","水産・農林","20231027","3190","-15","-0.47","3205","3170","3195","3170","3179.37","2400","0.15","7631","5137","2505","3905","20230403","3475","8.2","20230104","2886","10.53"
"1384","ホクリヨウ","東証ST","水産・農林","20231027","1077","44","4.26","1033","1028","1077","1028","1058.57","21300","0.25","22548","9110","733","1333","20230925","1205","10.62","20230104","702","53.42"
"1400","ルーデン・ホールディングス","東証GR","建設","20231027","123","1","0.82","122","122","123","121","121.64","11400","0.09","1387","1600","72","172","20230221","187","34.22","20230206","98","25.51"
"1401","エムビーエス","東証GR","建設","20231027","537","11","2.09","526","526","540","526","533.95","10300","0.13","5500","4152","426","626","20230721","574","6.45","20230113","466","15.24"
"1407","ウエストホールディングス","東証ST","建設","20231027","3185","120","3.92","3065","3115","3195","3085","3151.55","142200","0.31","448151","146598","2365","3765","20230113","4730","32.66","20230818","2324","37.05"
"1414","ショーボンドホールディングス","東証PR","建設","20231027","5708","104","1.86","5604","5634","5711","5634","5688.9","112200","0.2","638295","323901","4604","6604","20230814","6050","5.65","20230217","5170","10.41"
"1417","ミライト・ワン","東証PR","建設","20231027","1980","52.5","2.72","1927.5","1960","1980","1953.5","1971.39","219600","0.21","432917","204584","1527.5","2327.5","20230919","2058","3.79","20230213","1468","34.88"
"1418","インターライフホールディングス","東証ST","建設","20231027","205","3","1.49","202","205","205","203","204.32","14800","0.07","3024","4102","122","282","20230417","318","35.53","20230316","159","28.93"
"1419","タマホーム","東証PR","建設","20231027","3455","85","2.52","3370","3395","3470","3375","3439.31","431000","1.46","1482342","101770","2670","4070","20230529","4125","16.24","20230110","2422","42.65"
"1420","サンヨーホームズ","東証ST","建設","20231027","717","1","0.14","716","715","718","715","715.97","7100","0.06","5083","9049","566","866","20230127","790","9.24","20230412","701","2.28"
"1429","日本アクア","東証PR","建設","20231027","936","27","2.97","909","924","936","921","928.47","87100","0.25","80870","32535","759","1059","20230914","1125","16.8","20230117","774","20.93"
"1430","ファーストコーポレーション","東証ST","建設","20231027","763","14","1.87","749","745","763","745","756.09","22900","0.17","17314","10196","599","899","20230509","963","20.77","20230718","690","10.58"
"1431","Lib_Work","東証GR","建設","20231027","784","-7","-0.88","791","787","788","782","785.19","16100","0.07","12642","18261","641","941","20230417","839","6.56","20230106","748","4.81"
"1433","ベステラ","東証PR","建設","20231027","991","10","1.02","981","990","994","980","987.2","30700","0.34","30307","8909","831","1131","20230613","1341","26.1","20230314","851","16.45"
"1434","JESCOホールディングス","東証ST","建設","20231027","746","-11","-1.45","757","759","773","745","755.59","104400","1.52","78884","5124","607","907","20230828","800","6.75","20230104","439","69.93"
"1435","Robot_Home","東証ST","不動産","20231027","186","5","2.76","181","181","186","180","183.43","106300","0.12","19499","16950","131","231","20230414","258","27.91","20230106","158","17.72"
"1436","フィット","東証GR","建設","20231027","802","11","1.39","791","815","815","789","802.03","3300","0.08","2647","3436","641","941","20230411","1286","37.64","20230104","656","22.26"
"1438","岐阜造園","東証ST","建設","20231027","1501","-10","-0.66","1511","1492","1501","1446","1475.5","1600","0.05","2361","4810","1111","1911","20230921","1870","19.73","20230112","994","51.01"
"1439","安江工務店","東証ST","建設","20231027","1380","15","1.1","1365","1378","1400","1367","1386.54","2600","0.19","3605","1864","1065","1665","20230203","1796","23.16","20230314","942","46.5"
"1443","技研ホールディングス","東証ST","建設","20231027","214","8","3.88","206","206","214","206","210.56","38200","0.24","8044","3475","126","286","20230130","313","31.63","20230105","203","5.42"
"1444","ニッソウ","東証GR","建設","20231027","2302","2","0.09","2300","2294","2310","2294","2298.69","1300","0.12","2988","2506","1800","2800","20230712","2780","17.19","20230130","1954","17.81"
"1446","キャンディル","東証ST","建設","20231027","560","10","1.82","550","550","560","550","557.56","13700","0.13","7639","6011","450","650","20230904","649","13.71","20230130","492","13.82"
"1447","ITbookホールディングス","東証GR","建設","20231027","303","-3","-0.98","306","303","308","302","304.93","26000","0.11","7928","7318","226","386","20230221","436","30.5","20231024","295","2.71"
"1450","田中建設工業","東証ST","建設","20231027","2141","-1","-0.05","2142","2143","2174","2141","2150","400","0.01","860","9313","1642","2642","20230329","2780","22.99","20231027","2141","0"
"1451","KHC","東証ST","建設","20231027","706","7","1","699","695","707","695","703.12","6700","0.17","4711","2828","599","799","20230926","769","8.19","20230106","603","17.08"
"1491","中外鉱業","東証ST","非鉄金属","20231027","30","0","0","30","30","31","29","29.97","1391900","0.48","41719","8692","1","60","20230512","36","16.67","20230104","28","7.14"
"1514","住石ホールディングス","東証ST","鉱業","20231027","502","-3","-0.59","505","509","509","496","501.81","653700","1.11","328034","29564","405","605","20230929","616","18.51","20230403","303","65.68"
"1515","日鉄鉱業","東証PR","鉱業","20231027","4600","145","3.25","4455","4455","4625","4455","4586.25","34900","0.21","160060","76841","3755","5160","20230919","5600","17.86","20230105","3130","46.96"
"1518","三井松島ホールディングス","東証PR","鉱業","20231027","2729","87","3.29","2642","2672","2729","2672","2709.09","243100","1.86","658580","35653","2142","3145","20230221","4105","33.52","20230619","2475","10.26"
