"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20231214","32686.25","-240.1","-0.73","32926.35","33032.3","33120.55","32515.04","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20231214","2321.35","-33.57","-1.43","2354.92","2349.18","2354.55","2312.1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20231214","3760","0","0","3760","3795","3795","3745","3764.51","21400","0.2","80561","41090","3060","4460","20230920","4090","8.07","20230320","3370","11.57"
"1332","ニッスイ","東証PR","水産・農林","20231214","786","-4.1","-0.52","790.1","796.5","798.9","777.2","784.77","1859200","0.6","1459039","245570","640.1","940.1","20231212","821","4.26","20230113","517","52.03"
"1333","マルハニチロ","東証PR","水産・農林","20231214","2899.5","-28.5","-0.97","2928","2947","2947.5","2882.5","2902.91","243900","0.48","708019","146653","2428","3428","20231212","2962","2.11","20230320","2333","24.28"
"1375","雪国まいたけ","東証PR","水産・農林","20231214","934","9","0.97","925","926","935","926","931.3","69500","0.17","64725","37277","775","1075","20230307","1057","11.64","20230821","867","7.73"
"1376","カネコ種苗","東証ST","水産・農林","20231214","1400","0","0","1400","1410","1410","1396","1400.44","10100","0.09","14144","16482","1100","1700","20230404","1709","18.08","20230818","1370","2.19"
"1377","サカタのタネ","東証PR","水産・農林","20231214","3905","10","0.26","3895","3895","3915","3885","3901.1","71000","0.15","276978","185139","3195","4595","20230926","4495","13.13","20230411","3765","3.72"
"1379","ホクト","東証PR","水産・農林","20231214","1726","10","0.58","1716","1722","1735","1718","1727.16","93700","0.28","161835","57578","1316","2116","20230131","1902","9.25","20231213","1708","1.05"
"1380","秋川牧園","東証ST","水産・農林","20231214","1029","1","0.1","1028","1029","1030","1028","1028.55","2000","0.05","2057","4300","728","1328","20230928","1094","5.94","20231121","1027","0.19"
"1381","アクシーズ","東証ST","水産・農林","20231214","2880","-20","-0.69","2900","2872","2900","2871","2880.23","1300","0.02","3744","16178","2400","3400","20230627","3270","11.93","20230217","2828","1.84"
"1382","ホーブ","東証ST","水産・農林","20231214","2860","500","21.19","2360","2686","2860","2580","2766.76","722500","94.82","1998983","2179","1860","2860","20230912","4635","38.3","20230111","1664","71.88"
"1383","ベルグアース","東証ST","水産・農林","20231214","3345","10","0.3","3335","3315","3345","3300","3319.37","3200","0.2","10622","5387","2635","4035","20230403","3475","3.74","20230104","2886","15.9"
"1384","ホクリヨウ","東証ST","水産・農林","20231214","1070","-26","-2.37","1096","1096","1096","1063","1074.69","48600","0.57","52230","9051","796","1396","20230925","1205","11.2","20230104","702","52.42"
"1400","ルーデン・ホールディングス","東証GR","建設","20231214","60","8","15.38","52","52","70","52","63.05","2376800","18.27","149866","781","22","82","20230221","187","67.91","20231201","48","25"
"1401","エムビーエス","東証GR","建設","20231214","551","-13","-2.3","564","558","564","550","553.41","9000","0.12","4981","4260","464","664","20231122","636","13.36","20230113","466","18.24"
"1407","ウエストホールディングス","東証ST","建設","20231214","2931","47","1.63","2884","2952","2972","2906","2940.2","186800","0.41","549229","134907","2384","3385","20230113","4730","38.03","20230818","2324","26.12"
"1414","ショーボンドホールディングス","東証PR","建設","20231214","5964","54","0.91","5910","5950","5975","5908","5950.2","63400","0.11","377243","338428","4910","6910","20231113","6280","5.03","20230217","5170","15.36"
"1417","ミライト・ワン","東証PR","建設","20231214","1833","1.5","0.08","1831.5","1831.5","1840.5","1822","1832.34","179900","0.17","329639","189395","1431.5","2231.5","20230919","2058","10.93","20230213","1468","24.86"
