"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20230522","31086.82","278.47","0.9","30808.35","30735.71","31086.82","30689.27","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20230522","2175.9","14.21","0.66","2161.69","2158.27","2175.9","2156.56","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20230522","3700","30","0.82","3670","3660","3700","3660","3684.66","17400","0.16","64113","40435","2970","4370","20230203","3930","5.85","20230320","3370","9.79"
"1332","ニッスイ","東証PR","水産・農林","20230522","644","20","3.21","624","624","644","624","638.61","1917900","0.61","1224790","201205","524","724","20230522","644","0","20230113","517","24.56"
"1333","マルハニチロ","東証PR","水産・農林","20230522","2571","4","0.16","2567","2562","2576","2557","2567.42","164600","0.33","422598","130038","2067","3070","20230516","2635","2.43","20230320","2333","10.2"
"1375","雪国まいたけ","東証PR","水産・農林","20230522","991","6","0.61","985","989","992","987","990.02","58500","0.15","57916","39552","835","1135","20230307","1057","6.24","20230512","970","2.16"
"1376","カネコ種苗","東証ST","水産・農林","20230522","1589","7","0.44","1582","1582","1591","1581","1585.53","4000","0.03","6342","18707","1182","1982","20230404","1709","7.02","20230105","1400","13.5"
"1377","サカタのタネ","東証PR","水産・農林","20230522","4045","5","0.12","4040","4040","4055","4030","4044.2","105300","0.22","425854","191776","3340","4740","20230104","4330","6.58","20230411","3765","7.44"
"1379","ホクト","東証PR","水産・農林","20230522","1852","15","0.82","1837","1837","1854","1837","1848.57","44800","0.13","82816","61781","1437","2237","20230131","1902","2.63","20230413","1805","2.6"
"1380","秋川牧園","東証ST","水産・農林","20230522","1047","4","0.38","1043","1056","1056","1045","1054","2100","0.05","2213","4375","743","1343","20230116","1071","2.24","20230410","1040","0.67"
"1381","アクシーズ","東証ST","水産・農林","20230522","3095","0","0","3095","3095","3095","3060","3077.08","1200","0.02","3693","17386","2395","3795","20230515","3160","2.06","20230217","2828","9.44"
"1382","ホーブ","東証ST","水産・農林","20230522","1815","14","0.78","1801","1800","1817","1800","1813.17","600","0.08","1088","1383","1401","2201","20230314","2095","13.37","20230111","1664","9.07"
"1383","ベルグアース","東証ST","水産・農林","20230522","3130","0","0","3130","3100","3145","3100","3106.25","2400","0.15","7455","4884","2430","3830","20230403","3475","9.93","20230104","2886","8.45"
"1384","ホクリヨウ","東証ST","水産・農林","20230522","935","60","6.86","875","875","941","875","918.94","184500","2.18","169545","7909","725","1025","20230213","972","3.81","20230104","702","33.19"
"1400","ルーデン・ホールディングス","東証GR","建設","20230522","133","11","9.02","122","122","135","121","129.6","209200","1.61","27113","1730","72","172","20230221","187","28.88","20230206","98","35.71"
"1401","エムビーエス","東証GR","建設","20230522","488","-3","-0.61","491","488","489","488","488.57","1400","0.02","684","3773","411","571","20230216","509","4.13","20230113","466","4.72"
