"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20231020","2","26000","-1100","2100","-1400","12.38","13000","-1100","2000","-1200","13000","-","100","-200"
"1332","20231020","2","862900","41100","392900","79400","2.2","437000","19800","352200","82400","425900","21300","40700","-3000"
"1333","20231020","2","652000","23600","53100","-7700","12.28","200400","9800","8900","-7600","451600","13800","44200","-100"
"1375","20231020","1","232100","-1000","3400","1300","68.26","109700","-","-","-","122400","-1000","3400","1300"
"1376","20231020","1","40500","-500","100","100","405","24800","400","-","-","15700","-900","100","100"
"1377","20231020","2","43900","-6000","26000","-2100","1.69","31100","-5400","5700","-2000","12800","-600","20300","-100"
"1379","20231020","2","42700","5600","18100","800","2.36","36100","5600","6100","1100","6600","-","12000","-300"
"1380","20231020","1","5600","500","-","-","-","1500","-100","-","-","4100","600","-","-"
"1381","20231020","1","6200","300","-","-","-","4100","800","-","-","2100","-500","-","-"
"1382","20231020","1","78200","-11200","-","-","-","61500","-7300","-","-","16700","-3900","-","-"
"1383","20231020","1","10200","200","-","-","-","8200","200","-","-","2000","-","-","-"
"1384","20231020","1","186800","17200","-","-","-","62200","-7400","-","-","124600","24600","-","-"
"1400","20231020","1","559500","-2200","-","-","-","225200","-7100","-","-","334300","4900","-","-"
"1401","20231020","1","100400","22600","-","-","-","30100","1800","-","-","70300","20800","-","-"
"1407","20231020","2","252700","-17300","110400","-28600","2.29","130700","-10500","108500","-28400","122000","-6800","1900","-200"
"1414","20231020","2","61700","-1100","21700","-500","2.84","46600","-1700","6700","-500","15100","600","15000","-"
"1417","20231020","2","80000","-3800","13000","-2900","6.15","55900","-1900","3400","-2800","24100","-1900","9600","-100"
"1418","20231020","2","379200","-96300","18800","-3400","20.17","239800","-108000","18800","-3400","139400","11700","-","-"
"1419","20231020","2","445100","-180000","244200","32200","1.82","309000","-37600","147900","-600","136100","-142400","96300","32800"
"1420","20231020","2","29300","-700","2500","-500","11.72","17500","200","2500","-500","11800","-900","-","-"
"1429","20231020","2","556900","19900","15100","-3700","36.88","249400","26700","15100","-3700","307500","-6800","-","-"
"1430","20231020","2","130400","1600","50600","-2400","2.58","97300","2700","50600","-2400","33100","-1100","-","-"
"1431","20231020","2","47300","-2500","116000","-900","0.41","30700","-2700","116000","-900","16600","200","-","-"
"1433","20231020","2","232900","-16000","119200","-17900","1.95","129900","-16400","117200","-17900","103000","400","2000","-"
"1434","20231020","2","349200","81500","79400","-","4.4","209900","36700","79400","-","139300","44800","-","-"
"1435","20231020","1","1994000","-116600","1000","-","1994","687600","-98600","-","-","1306400","-18000","1000","-"
"1436","20231020","1","95400","-2000","-","-","-","33400","-900","-","-","62000","-1100","-","-"
"1438","20231020","1","44800","1700","-","-","-","17300","-300","-","-","27500","2000","-","-"
"1439","20231020","1","49200","-200","-","-","-","8000","200","-","-","41200","-400","-","-"
"1443","20231020","1","821100","10300","-","-","-","515900","-9200","-","-","305200","19500","-","-"
"1444","20231020","1","32700","100","-","-","-","15300","-","-","-","17400","100","-","-"
"1446","20231020","2","42100","-500","44700","-7600","0.94","17200","-700","44700","-7600","24900","200","-","-"
"1447","20231020","1","2030000","-7000","-","-","-","480600","-18700","-","-","1549400","11700","-","-"
"1450","20231020","1","20900","200","-","-","-","8400","500","-","-","12500","-300","-","-"
"1451","20231020","1","45000","-10100","-","-","-","30800","-10200","-","-","14200","100","-","-"
"1491","20231020","1","1554300","-280000","-","-","-","1379300","-280000","-","-","175000","-","-","-"
"1514","20231020","2","11596800","101800","9500","-","1220.72","2638300","88700","-","-","8958500","13100","9500","-"
"1515","20231020","2","75500","-2500","8800","-500","8.58","25100","-1900","6600","-500","50400","-600","2200","-"
"1518","20231020","2","1366800","-15100","613600","3900","2.23","1045700","-14700","599900","3700","321100","-400","13700","200"
"1605","20231020","2","8692600","-694900","1448300","136800","6","5999300","-377900","1233700","132800","2693300","-317000","214600","4000"
"1662","20231020","2","587600","75200","39200","1800","14.99","470100","47600","29400","-500","117500","27600","9800","2300"
"1663","20231020","2","339300","23600","14800","9500","22.93","171700","15000","14300","9500","167600","8600","500","-"
"1711","20231020","1","561900","2300","-","-","-","353500","4500","-","-","208400","-2200","-","-"
"1712","20231020","2","574000","5100","18400","9600","31.2","436900","-15400","18400","9600","137100","20500","-","-"
"1716","20231020","2","67500","-900","2300","-300","29.35","17000","-200","2300","-300","50500","-700","-","-"
"1717","20231020","1","214100","27900","-","-","-","88700","28300","-","-","125400","-400","-","-"
"1718","20231020","1","71700","-1000","-","-","-","4600","-1000","-","-","67100","-","-","-"
"1719","20231020","2","483200","15300","77200","-12100","6.26","347200","8400","63000","-12400","136000","6900","14200","300"
"1720","20231020","2","344400","-200","38700","-4900","8.9","187600","-3300","5900","-5000","156800","3100","32800","100"
"1721","20231020","2","21000","-900","93100","6000","0.23","13200","-1000","34400","5800","7800","100","58700","200"
"1723","20231020","1","16900","-300","-","-","-","6200","-500","-","-","10700","200","-","-"
"1724","20231020","1","185300","-5800","-","-","-","85100","-5000","-","-","100200","-800","-","-"
"1726","20231020","1","150500","-2200","5200","-","28.94","52800","-1700","-","-","97700","-500","5200","-"
"1730","20231020","1","102400","2700","-","-","-","14000","-500","-","-","88400","3200","-","-"
"1736","20231020","1","11500","-","-","-","-","7500","400","-","-","4000","-400","-","-"
"1739","20231020","1","493900","-2300","-","-","-","193300","-13100","-","-","300600","10800","-","-"
"1743","20231020","1","33000","-100","-","-","-","5500","-100","-","-","27500","-","-","-"
"1757","20231020","1","4955600","-627700","-","-","-","4814000","-627700","-","-","141600","-","-","-"
"1758","20231020","1","105100","-400","-","-","-","70500","-500","-","-","34600","100","-","-"
"1762","20231020","2","11700","-800","5000","200","2.34","8500","-800","4400","800","3200","-","600","-600"
"1764","20231020","1","8600","500","-","-","-","8200","500","-","-","400","-","-","-"
"1766","20231020","2","28900","-1100","7600","700","3.8","19200","-2200","6500","700","9700","1100","1100","-"
"1768","20231020","2","5200","300","30900","-300","0.17","2900","-","30900","-300","2300","300","-","-"
"1770","20231020","1","46000","-200","-","-","-","3900","-100","-","-","42100","-100","-","-"
"1773","20231020","1","20000","16000","-","-","-","20000","16000","-","-","-","-","-","-"
"1775","20231020","1","28300","-3300","-","-","-","8400","-700","-","-","19900","-2600","-","-"
"1776","20231020","1","123300","400","-","-","-","10400","-600","-","-","112900","1000","-","-"
"1780","20231020","2","13200","600","6500","-2100","2.03","8100","300","5500","-2200","5100","300","1000","100"
"1783","20231020","1","3694300","96800","-","-","-","3160100","96600","-","-","534200","200","-","-"
"1786","20231020","2","1052000","-64100","31600","-3800","33.29","586100","-72300","31500","-3800","465900","8200","100","-"
"1787","20231020","1","3400","100","-","-","-","2100","-","-","-","1300","100","-","-"
"1788","20231020","1","3700","-100","-","-","-","3000","-100","-","-","700","-","-","-"
"1789","20231020","2","89000","-1300","1600","-600","55.63","43200","-500","1600","-600","45800","-800","-","-"
"1793","20231020","1","2800","100","-","-","-","1900","100","-","-","900","-","-","-"
"1795","20231020","1","900","100","-","-","-","700","-","-","-","200","100","-","-"
"1798","20231020","1","94800","100","-","-","-","700","-","-","-","94100","100","-","-"
"1799","20231020","2","81600","-400","1700","400","48","5900","-400","1700","400","75700","-","-","-"
"1801","20231020","2","138300","2700","204300","-11900","0.68","73800","600","76200","-10400","64500","2100","128100","-1500"
"1802","20231020","2","418800","15800","284600","-46400","1.47","291900","5900","180100","-46300","126900","9900","104500","-100"
"1803","20231020","2","1101400","-9800","397400","11200","2.77","930100","-5500","206500","11600","171300","-4300","190900","-400"
"1805","20231020","2","402900","-1000","12900","1700","31.23","90700","2300","12900","2000","312200","-3300","-","-300"
"1807","20231020","1","136900","1400","-","-","-","7400","-1800","-","-","129500","3200","-","-"
"1808","20231020","2","290100","10200","297600","-12800","0.97","205400","10300","107800","-12500","84700","-100","189800","-300"
"1810","20231020","2","40800","-2500","2000","-700","20.4","18000","-800","1900","-700","22800","-1700","100","-"
"1811","20231020","2","87400","-900","900","-300","97.11","15900","-800","900","-300","71500","-100","-","-"
"1812","20231020","2","670700","-34700","347400","-3400","1.93","528700","-28900","177100","-11400","142000","-5800","170300","8000"
"1813","20231020","2","145900","15300","9200","-500","15.86","45400","7400","5600","-500","100500","7900","3600","-"
"1814","20231020","2","140900","-23000","9200","500","15.32","57400","-23700","9200","500","83500","700","-","-"
"1815","20231020","2","177400","-12000","7400","-300","23.97","95400","-13900","7400","-100","82000","1900","-","-200"
"1820","20231020","2","216800","-9800","37600","-3600","5.77","96100","-7700","13400","-3900","120700","-2100","24200","300"
"1821","20231020","2","1182200","-67900","226300","-1900","5.22","781000","-29700","48300","-1900","401200","-38200","178000","-"
"1822","20231020","2","10800","-600","7400","300","1.46","4500","-400","3600","300","6300","-200","3800","-"
"1826","20231020","2","978300","-21300","29100","800","33.62","19600","-3300","29100","800","958700","-18000","-","-"
"1827","20231020","2","1214200","34100","3000","300","404.73","988400","37400","3000","300","225800","-3300","-","-"
"1828","20231020","1","115400","700","-","-","-","83600","900","-","-","31800","-200","-","-"
"1833","20231020","2","201200","-6900","14800","-200","13.59","64800","-3200","14700","-200","136400","-3700","100","-"
"1835","20231020","2","7300","-2300","36300","100","0.2","4500","-2400","7900","100","2800","100","28400","-"
"1840","20231020","2","482600","25600","-","-","-","373800","20200","-","-","108800","5400","-","-"
"1841","20231020","1","28500","500","-","-","-","1900","-","-","-","26600","500","-","-"
"1844","20231020","1","413900","4600","-","-","-","275700","-2300","-","-","138200","6900","-","-"
"1847","20231020","1","80500","-1900","400","-","201.25","39900","-1500","-","-","40600","-400","400","-"
"1848","20231020","2","31500","2000","20200","-3800","1.56","11600","-200","20200","-3800","19900","2200","-","-"
"1850","20231020","1","673000","-2500","-","-","-","363600","-3500","-","-","309400","1000","-","-"
"1852","20231020","2","118800","9100","14900","-200","7.97","80900","8200","7600","-200","37900","900","7300","-"
"1853","20231020","1","463700","3900","-","-","-","279200","7100","-","-","184500","-3200","-","-"
"1860","20231020","2","767500","-61100","150000","2200","5.12","747300","-60500","42400","2200","20200","-600","107600","-"
"1861","20231020","2","163700","1500","56300","300","2.91","42700","1000","28700","-","121000","500","27600","300"
"1866","20231020","2","8500","-8100","400","-","21.25","5800","-600","400","-","2700","-7500","-","-"
"1867","20231020","2","8700","1400","3500","800","2.49","3900","-200","3300","800","4800","1600","200","-"
"1870","20231020","2","89200","20800","13400","-400","6.66","53700","18500","12400","-400","35500","2300","1000","-"
"1871","20231020","2","620400","-28200","37100","-600","16.72","184300","-21700","12700","-500","436100","-6500","24400","-100"
"1873","20231020","1","431200","1300","1672200","83800","0.26","269300","-1200","-","-","161900","2500","1672200","83800"
"1878","20231020","2","23600","2900","29600","-1500","0.8","17200","2700","15500","-1500","6400","200","14100","-"
"1879","20231020","2","321700","-10300","18000","3000","17.87","61700","-19300","17400","3200","260000","9000","600","-200"
"1882","20231020","2","112700","500","14600","400","7.72","109600","300","13900","400","3100","200","700","-"
"1884","20231020","2","33900","-3400","19700","-1200","1.72","23400","-2800","19700","-1200","10500","-600","-","-"
"1885","20231020","2","46900","-400","5900","-1400","7.95","12600","-300","4800","-1400","34300","-100","1100","-"
"1887","20231020","2","391900","149900","15300","-600","25.61","197100","61000","14700","-1100","194800","88900","600","500"
"1888","20231020","2","41700","-1600","6500","-700","6.42","28600","-1600","6200","-600","13100","-","300","-100"
"1890","20231020","2","515600","-61100","16600","-300","31.06","144100","-15300","-","-","371500","-45800","16600","-300"
"1893","20231020","2","453200","3900","221500","45500","2.05","330500","4200","106100","41800","122700","-300","115400","3700"
"1897","20231020","1","3500","-","-","-","-","1100","-","-","-","2400","-","-","-"
"1898","20231020","2","1110000","-31300","107900","600","10.29","563500","-27800","98300","500","546500","-3500","9600","100"
"1899","20231020","2","70300","-3400","1600","-200","43.94","66900","-3400","1000","-200","3400","-","600","-"
"1904","20231020","2","27400","-","1200","-1200","22.83","3600","-1300","1200","-1200","23800","1300","-","-"
