"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"6588","20240222","2","65400","-2200","12700","-1000","5.15","40500","-1700","6100","-1000","24900","-500","6600","-"
"6590","20240222","2","1106200","372500","29800","-23000","37.12","839100","272000","20700","-23800","267100","100500","9100","800"
"6592","20240222","2","142400","-64900","40300","-17500","3.53","73300","-63200","32400","-16800","69100","-1700","7900","-700"
"6594","20240222","2","7045300","-192000","372600","-50700","18.91","4837500","-211700","322600","-50600","2207800","19700","50000","-100"
"6597","20240222","1","191500","-4600","-","-","-","80800","-800","-","-","110700","-3800","-","-"
"6599","20240222","1","35800","-300","-","-","-","14000","-100","-","-","21800","-200","-","-"
"6612","20240222","1","81900","1900","100","-","819","22900","1100","-","-","59000","800","100","-"
"6613","20240222","1","3525900","94500","8000","8000","440.74","1894300","75100","-","-","1631600","19400","8000","8000"
"6614","20240222","2","154100","-1500","21900","-2700","7.04","100900","-1500","21900","-2700","53200","-","-","-"
"6615","20240222","2","456300","-38400","31300","7500","14.58","206200","-35700","31300","7500","250100","-2700","-","-"
"6616","20240222","1","309900","-9300","6000","-","51.65","48400","-5900","-","-","261500","-3400","6000","-"
"6617","20240222","2","288200","9900","11300","600","25.5","157500","-1500","11300","600","130700","11400","-","-"
"6619","20240222","2","6984700","-55600","2060300","-64600","3.39","4567600","-89500","2060300","-64600","2417100","33900","-","-"
"6620","20240222","1","721400","26500","-","-","-","214200","6300","-","-","507200","20200","-","-"
"6622","20240222","2","32100","-800","12500","2200","2.57","12800","-1800","11200","1700","19300","1000","1300","500"
"6625","20240222","2","3871500","328700","305100","28000","12.69","2644300","209700","305100","28000","1227200","119000","-","-"
"6626","20240222","1","210100","-8700","-","-","-","55100","-8500","-","-","155000","-200","-","-"
"6627","20240222","1","356500","-25100","-","-100","-","247000","-10300","-","-","109500","-14800","-","-100"
"6629","20240222","2","832600","-30900","20300","1400","41.01","496600","-8200","20300","1400","336000","-22700","-","-"
"6630","20240222","2","468900","-3000","585200","24000","0.8","250400","4300","477300","2800","218500","-7300","107900","21200"
