"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20230714","2","29500","1100","2800","100","10.54","16100","1600","2700","100","13400","-500","100","-"
"1332","20230714","2","1596300","-51600","351300","34700","4.54","482900","-55300","310300","35000","1113400","3700","41000","-300"
"1333","20230714","2","801400","5300","51200","2500","15.65","233800","10000","10900","1200","567600","-4700","40300","1300"
"1375","20230714","1","235600","16600","13200","-100","17.85","123100","8000","-","-","112500","8600","13200","-100"
"1376","20230714","1","38800","10700","-","-","-","26800","10300","-","-","12000","400","-","-"
"1377","20230714","2","74300","10900","17700","-1000","4.2","59500","9800","7000","600","14800","1100","10700","-1600"
"1379","20230714","2","37700","-200","39900","500","0.94","33100","-300","4900","500","4600","100","35000","-"
"1380","20230714","1","5800","1800","-","-","-","1900","1300","-","-","3900","500","-","-"
"1381","20230714","1","4200","-100","-","-","-","3800","500","-","-","400","-600","-","-"
"1382","20230714","1","19000","300","-","-","-","7300","300","-","-","11700","-","-","-"
"1383","20230714","1","7100","300","-","-","-","4900","-200","-","-","2200","500","-","-"
"1384","20230714","1","153200","-5100","-","-","-","43300","-700","-","-","109900","-4400","-","-"
"1400","20230714","1","642800","5700","-","-","-","333300","-500","-","-","309500","6200","-","-"
"1401","20230714","1","74000","15000","-","-","-","16700","1900","-","-","57300","13100","-","-"
"1407","20230714","2","599200","2600","95500","-17800","6.27","429600","16100","92000","-5500","169600","-13500","3500","-12300"
"1414","20230714","2","81500","-5200","30900","200","2.64","57900","-4900","9100","200","23600","-300","21800","-"
"1417","20230714","2","83900","1800","26500","-","3.17","47600","-1300","15700","100","36300","3100","10800","-100"
"1418","20230714","2","856600","9000","256400","-27400","3.34","706100","29500","255800","-28000","150500","-20500","600","600"
"1419","20230714","2","635800","-41200","527000","-50900","1.21","331600","-222500","500200","-50400","304200","181300","26800","-500"
"1420","20230714","2","25500","2300","2500","-","10.2","18400","2500","2500","-","7100","-200","-","-"
"1429","20230714","2","325300","2600","25700","-6300","12.66","179400","3000","25700","-6300","145900","-400","-","-"
"1430","20230714","2","326500","82800","59900","-100","5.45","175300","35700","59900","-100","151200","47100","-","-"
"1431","20230714","2","51700","1500","126500","-2400","0.41","35500","1800","126500","-2400","16200","-300","-","-"
"1433","20230714","2","333300","-59900","163200","-9900","2.04","175700","9600","161200","-9900","157600","-69500","2000","-"
"1434","20230714","2","181700","-21200","1100","-300","165.18","71000","-4000","1100","-300","110700","-17200","-","-"
"1435","20230714","1","2198200","-","3000","-100","732.73","905200","1700","-","-","1293000","-1700","3000","-100"
"1436","20230714","1","110400","4300","-","-","-","41000","3500","-","-","69400","800","-","-"
"1438","20230714","1","47800","-100","-","-","-","20400","-200","-","-","27400","100","-","-"
"1439","20230714","1","74900","-1500","100","100","749","28700","200","-","-","46200","-1700","100","100"
"1443","20230714","1","918900","-10900","-","-","-","634000","-37600","-","-","284900","26700","-","-"
"1444","20230714","1","26700","-3400","-","-","-","10900","-2200","-","-","15800","-1200","-","-"
"1446","20230714","2","104200","300","41600","100","2.5","53300","-","41600","100","50900","300","-","-"
"1447","20230714","1","2237400","30300","-","-","-","483300","33700","-","-","1754100","-3400","-","-"
"1450","20230714","1","23100","-300","-","-","-","11400","-100","-","-","11700","-200","-","-"
"1451","20230714","1","39100","-300","-","-","-","27300","-400","-","-","11800","100","-","-"
"1491","20230714","1","1712600","3100","-","-","-","1524100","6500","-","-","188500","-3400","-","-"
"1514","20230714","2","11552800","506200","9500","-5000","1216.08","4269500","124900","-","-","7283300","381300","9500","-5000"
"1515","20230714","2","151900","-2200","11300","-700","13.44","52800","2200","9100","-100","99100","-4400","2200","-600"
"1518","20230714","2","1374100","19800","871800","-16000","1.58","1030700","15000","855800","-16000","343400","4800","16000","-"
"1605","20230714","2","4558400","-578800","1701600","503400","2.68","2720600","-322800","1565700","515200","1837800","-256000","135900","-11800"
