"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20230623","2","28500","-3300","3700","-400","7.7","15100","-3900","3600","-400","13400","600","100","-"
"1332","20230623","2","1862500","30300","304700","19600","6.11","748100","27200","264000","17000","1114400","3100","40700","2600"
"1333","20230623","2","792500","82500","46900","100","16.9","227500","74000","7400","-900","565000","8500","39500","1000"
"1375","20230623","1","216500","89400","13300","-900","16.28","119200","70700","-","-","97300","18700","13300","-900"
"1376","20230623","1","15700","2400","-","-","-","9600","1300","-","-","6100","1100","-","-"
"1377","20230623","2","71600","-1800","20700","-2100","3.46","54000","-4800","6900","-1600","17600","3000","13800","-500"
"1379","20230623","2","30500","-1000","41000","-1300","0.74","27300","2000","5900","-1300","3200","-3000","35100","-"
"1380","20230623","1","3300","200","-","-","-","600","-","-","-","2700","200","-","-"
"1381","20230623","1","4500","-1900","-","-","-","4000","-1200","-","-","500","-700","-","-"
"1382","20230623","1","20900","-800","-","-","-","8500","-100","-","-","12400","-700","-","-"
"1383","20230623","1","7800","-200","-","-","-","6400","-200","-","-","1400","-","-","-"
"1384","20230623","1","175000","4600","-","-","-","47400","1600","-","-","127600","3000","-","-"
"1400","20230623","1","594700","30900","-","-","-","334500","5100","-","-","260200","25800","-","-"
"1401","20230623","1","55100","3700","-","-","-","14600","1200","-","-","40500","2500","-","-"
"1407","20230623","2","580600","-22200","131400","36300","4.42","405100","-22200","125300","35800","175500","-","6100","500"
"1414","20230623","2","75400","6400","29500","6100","2.56","55600","5900","9400","500","19800","500","20100","5600"
"1417","20230623","2","108700","40200","25100","3200","4.33","76300","33500","14200","2800","32400","6700","10900","400"
"1418","20230623","2","873100","-41400","310600","-51700","2.81","696600","-37600","310600","-51700","176500","-3800","-","-"
"1419","20230623","2","736600","-22600","751900","-62500","0.98","609600","10500","722400","-60700","127000","-33100","29500","-1800"
"1420","20230623","2","20900","800","2500","-","8.36","13100","800","2500","-","7800","-","-","-"
"1429","20230623","2","377000","51700","35200","-500","10.71","241800","39600","35200","-500","135200","12100","-","-"
"1430","20230623","2","201000","-9000","60900","-3100","3.3","149400","-9500","60900","-3100","51600","500","-","-"
"1431","20230623","2","51000","-4800","158300","21000","0.32","32500","-1900","158300","21000","18500","-2900","-","-"
"1433","20230623","2","396400","-1700","194000","-16700","2.04","184100","-22900","192000","-16700","212300","21200","2000","-"
"1434","20230623","2","187400","-18300","2400","-800","78.08","56500","6000","2400","-800","130900","-24300","-","-"
"1435","20230623","1","2174700","4000","3000","-","724.9","877600","-32300","-","-","1297100","36300","3000","-"
"1436","20230623","1","107400","-5700","-","-","-","38600","-6700","-","-","68800","1000","-","-"
"1438","20230623","1","50500","-1100","-","-","-","22600","-1000","-","-","27900","-100","-","-"
"1439","20230623","1","73500","3600","-","-","-","27800","2200","-","-","45700","1400","-","-"
"1443","20230623","1","875900","500","-","-","-","601700","2000","-","-","274200","-1500","-","-"
"1444","20230623","1","34800","500","-","-","-","18800","-700","-","-","16000","1200","-","-"
"1446","20230623","2","89000","1700","40300","-","2.21","39000","2800","40300","-","50000","-1100","-","-"
"1447","20230623","1","2116300","-9500","-","-","-","370700","11400","-","-","1745600","-20900","-","-"
"1450","20230623","1","23400","-200","-","-","-","11800","600","-","-","11600","-800","-","-"
"1451","20230623","1","39000","500","-","-","-","27300","400","-","-","11700","100","-","-"
"1491","20230623","1","1751400","65200","-","-","-","1558700","66200","-","-","192700","-1000","-","-"
"1514","20230623","2","11061800","396800","9500","-","1164.4","4166300","327700","-","-","6895500","69100","9500","-"
"1515","20230623","2","160000","800","12000","-7100","13.33","54900","1100","8400","-1700","105100","-300","3600","-5400"
"1518","20230623","2","1513000","54700","997600","-58800","1.52","1207800","49200","973800","-59000","305200","5500","23800","200"
"1605","20230623","2","5406800","495400","1473200","-109300","3.67","3140800","477800","1293600","-97300","2266000","17600","179600","-12000"
"1662","20230623","2","477600","14400","59300","-1500","8.05","382100","10200","27900","-3000","95500","4200","31400","1500"
"1663","20230623","2","240400","30100","10300","-1200","23.34","110200","12200","9800","-1300","130200","17900","500","100"
"1711","20230623","1","624600","94200","-","-","-","349900","66500","-","-","274700","27700","-","-"
"1712","20230623","2","178000","37100","23300","-6800","7.64","113500","35600","23100","-6800","64500","1500","200","-"
"1716","20230623","2","80400","12500","3400","1900","23.65","27200","12100","3400","1900","53200","400","-","-"
"1717","20230623","1","236600","15700","100","-","2366","81400","6100","-","-","155200","9600","100","-"
"1718","20230623","1","38400","-1300","-","-","-","6000","-1100","-","-","32400","-200","-","-"
"1719","20230623","2","267200","94200","465900","158200","0.57","220600","82100","106800","-7900","46600","12100","359100","166100"
"1720","20230623","2","452200","-42200","52100","-1000","8.68","229700","-5400","15600","-1100","222500","-36800","36500","100"
"1721","20230623","2","79700","-4100","127200","27400","0.63","14300","-5000","39500","15700","65400","900","87700","11700"
"1723","20230623","1","15700","-1000","-","-","-","6600","-1100","-","-","9100","100","-","-"
"1724","20230623","1","202800","2500","-","-","-","91200","900","-","-","111600","1600","-","-"
"1726","20230623","1","150900","2700","1800","1200","83.83","49700","-2300","-","-","101200","5000","1800","1200"
"1730","20230623","1","87200","-4900","-","-","-","47600","-5300","-","-","39600","400","-","-"
"1736","20230623","1","14900","-","-","-","-","12900","600","-","-","2000","-600","-","-"
"1739","20230623","1","184000","-10700","-","-","-","145000","-8300","-","-","39000","-2400","-","-"
"1743","20230623","1","47500","-300","-","-","-","16500","-500","-","-","31000","200","-","-"
"1757","20230623","1","6576100","642900","-","-","-","6434200","642900","-","-","141900","-","-","-"
"1758","20230623","1","37800","1000","-","-","-","21900","-1700","-","-","15900","2700","-","-"
"1762","20230623","2","17100","3700","6100","-2600","2.8","12200","3100","4700","-2000","4900","600","1400","-600"
"1764","20230623","1","5400","-2100","-","-","-","5000","-2300","-","-","400","200","-","-"
"1766","20230623","2","77200","-1900","6300","-700","12.25","62500","-1200","5100","-700","14700","-700","1200","-"
"1768","20230623","2","9700","3500","30300","-","0.32","3800","1300","30300","-","5900","2200","-","-"
"1770","20230623","1","404400","-200","-","-","-","3400","-","-","-","401000","-200","-","-"
"1773","20230623","1","65000","13000","-","-","-","55000","8000","-","-","10000","5000","-","-"
"1775","20230623","1","24900","100","-","-","-","12400","-300","-","-","12500","400","-","-"
"1776","20230623","1","132800","3500","-","-","-","11100","1000","-","-","121700","2500","-","-"
"1780","20230623","2","16600","-1800","57700","1100","0.29","12400","-4200","53900","2900","4200","2400","3800","-1800"
"1783","20230623","1","3803100","-51900","-","-","-","3503000","-68400","-","-","300100","16500","-","-"
"1786","20230623","2","1888100","22000","108900","20900","17.34","1178600","-76300","58800","20800","709500","98300","50100","100"
"1787","20230623","1","2800","-300","-","-","-","1500","-100","-","-","1300","-200","-","-"
"1788","20230623","1","2400","-1000","-","-","-","2300","-300","-","-","100","-700","-","-"
"1789","20230623","2","110600","-1700","10500","900","10.53","68900","-3800","10500","900","41700","2100","-","-"
"1793","20230623","1","1700","-100","-","-","-","1700","-","-","-","-","-100","-","-"
"1795","20230623","1","1700","-100","-","-","-","1300","-200","-","-","400","100","-","-"
"1798","20230623","1","93300","-100","-","-","-","300","-100","-","-","93000","-","-","-"
"1799","20230623","2","45200","24700","800","400","56.5","21200","18300","800","400","24000","6400","-","-"
"1801","20230623","2","198100","89600","419800","134900","0.47","177600","86000","304100","119600","20500","3600","115700","15300"
"1802","20230623","2","658200","347700","505500","30900","1.3","426200","178800","348900","30900","232000","168900","156600","-"
"1803","20230623","2","1016400","159800","621200","-56100","1.64","844800","208400","309500","-55300","171600","-48600","311700","-800"
"1805","20230623","2","304600","-1000","11900","-2700","25.6","47200","-2100","11900","-2600","257400","1100","-","-100"
"1807","20230623","1","113200","500","-","-","-","3800","400","-","-","109400","100","-","-"
"1808","20230623","2","202300","-12800","335400","29000","0.6","139500","-5100","117600","28300","62800","-7700","217800","700"
"1810","20230623","2","44600","2200","4500","-600","9.91","25700","5500","4400","-600","18900","-3300","100","-"
"1811","20230623","2","90300","-200","1700","-","53.12","34000","-400","1700","-","56300","200","-","-"
"1812","20230623","2","786800","73700","253500","-4200","3.1","696500","72700","210400","-5300","90300","1000","43100","1100"
"1813","20230623","2","196300","-12100","4800","-22600","40.9","60200","-10500","2300","-22400","136100","-1600","2500","-200"
"1814","20230623","2","295400","-44000","4100","-500","72.05","87400","-24000","4100","-400","208000","-20000","-","-100"
"1815","20230623","2","127000","-20500","17000","400","7.47","54300","-19500","11700","400","72700","-1000","5300","-"
"1820","20230623","2","246900","5900","51700","3000","4.78","143600","16600","20100","2700","103300","-10700","31600","300"
"1821","20230623","2","2248600","-16000","287300","-7500","7.83","1252000","-56200","76200","-15400","996600","40200","211100","7900"
"1822","20230623","2","10900","-2400","17100","-400","0.64","5500","-2300","10100","-400","5400","-100","7000","-"
"1826","20230623","2","1330700","-2900","1500","-","887.13","1194400","-1800","1500","-","136300","-1100","-","-"
"1827","20230623","2","750300","-10300","6500","1000","115.43","490100","-32600","6500","1000","260200","22300","-","-"
"1828","20230623","1","150700","5200","-","-","-","119100","2900","-","-","31600","2300","-","-"
"1833","20230623","2","201500","-5700","29900","4500","6.74","44500","-3400","19800","-1500","157000","-2300","10100","6000"
"1835","20230623","2","66100","-700","4600","500","14.37","58900","3100","1600","600","7200","-3800","3000","-100"
"1840","20230623","2","661000","19600","-","-","-","483800","3200","-","-","177200","16400","-","-"
"1841","20230623","1","34100","-5000","-","-","-","7000","-4300","-","-","27100","-700","-","-"
"1844","20230623","1","345200","-101200","-","-","-","267800","-1500","-","-","77400","-99700","-","-"
"1847","20230623","1","127700","-6700","400","-","319.25","54300","-5700","-","-","73400","-1000","400","-"
"1848","20230623","2","34200","-1300","300","-","114","15400","-1400","300","-","18800","100","-","-"
"1850","20230623","1","784000","-24600","-","-","-","493400","-27200","-","-","290600","2600","-","-"
"1852","20230623","2","179900","-15400","24400","-1800","7.37","110200","1700","17000","-1800","69700","-17100","7400","-"
"1853","20230623","1","395500","45500","-","-","-","261400","30900","-","-","134100","14600","-","-"
"1860","20230623","2","117300","-14500","396500","29100","0.3","101900","-13500","207900","-3600","15400","-1000","188600","32700"
"1861","20230623","2","250400","26500","40000","-","6.26","105200","300","14200","-","145200","26200","25800","-"
"1866","20230623","2","11900","-200","4400","300","2.7","10800","-100","4400","300","1100","-100","-","-"
"1867","20230623","2","11000","-600","1100","-400","10","6400","-","900","-400","4600","-600","200","-"
"1870","20230623","2","88400","-41600","24900","500","3.55","59600","-35600","23200","-100","28800","-6000","1700","600"
"1871","20230623","2","456600","67400","71600","8100","6.38","171900","11400","14000","4100","284700","56000","57600","4000"
"1873","20230623","1","403900","-3700","252400","-","1.6","251200","31000","-","-","152700","-34700","252400","-"
"1878","20230623","2","28800","-900","29900","2200","0.96","21800","200","14600","2200","7000","-1100","15300","-"
"1879","20230623","2","340600","5400","25800","5000","13.2","70900","13700","25000","5000","269700","-8300","800","-"
