"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20231215","2","27500","-3200","2400","-300","11.46","10700","400","2000","-300","16800","-3600","400","-"
"1332","20231215","2","1361900","-143900","328300","51900","4.15","607300","46700","278700","54000","754600","-190600","49600","-2100"
"1333","20231215","2","580200","-70800","86600","-6100","6.7","206500","-21700","37300","-6100","373700","-49100","49300","-"
"1375","20231215","1","176100","200","3700","200","47.59","58800","-6800","-","-","117300","7000","3700","200"
"1376","20231215","1","33400","-400","-","-","-","21900","-500","-","-","11500","100","-","-"
"1377","20231215","2","52000","-500","35500","-100","1.46","35300","-2100","5400","-","16700","1600","30100","-100"
"1379","20231215","2","57200","-1300","9400","1800","6.09","45400","-","7500","2000","11800","-1300","1900","-200"
"1380","20231215","1","6100","-1200","-","-","-","2100","-1500","-","-","4000","300","-","-"
"1381","20231215","1","6000","200","-","-","-","4500","-","-","-","1500","200","-","-"
"1382","20231215","1","97000","10500","900","900","107.78","79100","12900","-","-","17900","-2400","900","900"
"1383","20231215","1","16700","-2300","-","-","-","14600","-2200","-","-","2100","-100","-","-"
"1384","20231215","1","177700","9100","-","-","-","50700","-3500","-","-","127000","12600","-","-"
"1400","20231215","3","118900","-45100","-","-","-","100700","-44800","-","-","18200","-300","-","-"
"1401","20231215","1","110800","-300","-","-","-","52100","-200","-","-","58700","-100","-","-"
"1407","20231215","2","249500","-1200","87400","13300","2.85","143200","-100","87000","13100","106300","-1100","400","200"
"1414","20231215","2","41700","-3200","27500","-300","1.52","29200","-4400","7800","-200","12500","1200","19700","-100"
"1417","20231215","2","140900","-1200","27200","2100","5.18","105800","-4300","18000","2200","35100","3100","9200","-100"
"1418","20231215","2","715400","-13500","69200","-32000","10.34","545600","-6000","69200","-32000","169800","-7500","-","-"
"1419","20231215","2","131200","-68200","398900","-33900","0.33","67500","-51800","211200","-33900","63700","-16400","187700","-"
"1420","20231215","2","32300","-1400","3200","-500","10.09","18300","-1200","3200","-500","14000","-200","-","-"
"1429","20231215","2","664900","23900","6900","300","96.36","344900","24200","6900","300","320000","-300","-","-"
"1430","20231215","2","80500","-2600","4300","-59800","18.72","34500","-2400","4300","-59600","46000","-200","-","-200"
"1431","20231215","2","58800","5400","23400","3700","2.51","35000","7400","23400","3700","23800","-2000","-","-"
"1433","20231215","2","198800","-12300","117800","-1700","1.69","109000","-8300","115800","-1700","89800","-4000","2000","-"
"1434","20231215","2","255300","-13200","22900","-3500","11.15","71500","-7400","22900","-3500","183800","-5800","-","-"
"1435","20231215","1","2202800","19200","1000","-","2202.8","763100","-16400","-","-","1439700","35600","1000","-"
"1436","20231215","1","92700","-2900","-","-","-","28600","-100","-","-","64100","-2800","-","-"
"1438","20231215","1","45200","100","-","-","-","1900","200","-","-","43300","-100","-","-"
"1439","20231215","1","41300","-2700","-","-","-","5800","-1700","-","-","35500","-1000","-","-"
"1443","20231215","1","780800","10000","-","-","-","499000","7600","-","-","281800","2400","-","-"
"1444","20231215","1","31400","1000","-","-","-","14900","-1100","-","-","16500","2100","-","-"
"1446","20231215","2","45000","-600","39100","700","1.15","18700","-500","39100","700","26300","-100","-","-"
"1447","20231215","1","2070300","-64900","-","-","-","426500","-126400","-","-","1643800","61500","-","-"
"1450","20231215","1","21100","-300","-","-","-","8100","-700","-","-","13000","400","-","-"
"1451","20231215","1","57300","300","-","-","-","39200","-200","-","-","18100","500","-","-"
"1491","20231215","1","1448400","-20100","-","-","-","1271900","-25100","-","-","176500","5000","-","-"
"1514","20231215","2","3040300","-327500","4500","-30800","675.62","2027900","-150800","-","-","1012400","-176700","4500","-30800"
"1515","20231215","2","57700","-700","11400","200","5.06","25800","200","9800","800","31900","-900","1600","-600"
"1518","20231215","2","1031100","19800","597500","-22000","1.73","752400","17800","584700","-22000","278700","2000","12800","-"
"1605","20231215","2","9634300","212400","849100","-147700","11.35","6093700","250400","704600","-111900","3540600","-38000","144500","-35800"
"1662","20231215","2","392500","3300","62700","1400","6.26","329200","-400","53200","1900","63300","3700","9500","-500"
"1663","20231215","2","445000","-14200","7500","-4400","59.33","240300","-19600","7300","-3300","204700","5400","200","-1100"
"1711","20231215","1","720000","140400","-","-","-","401700","30600","-","-","318300","109800","-","-"
"1712","20231215","2","438900","-57500","19000","13100","23.1","322300","-16600","19000","13100","116600","-40900","-","-"
"1716","20231215","2","167700","100","2200","-100","76.23","113200","-2100","2200","-100","54500","2200","-","-"
"1717","20231215","1","209500","10000","-","-","-","70300","1000","-","-","139200","9000","-","-"
"1718","20231215","1","35000","-1100","-","-","-","2800","-600","-","-","32200","-500","-","-"
"1719","20231215","2","542000","53500","97800","-5200","5.54","384400","45000","79400","-8300","157600","8500","18400","3100"
"1720","20231215","2","377900","-10300","21500","-30700","17.58","216800","-5000","17700","-1700","161100","-5300","3800","-29000"
"1721","20231215","2","30000","-200","47200","-6400","0.64","21600","800","11700","-6200","8400","-1000","35500","-200"
"1723","20231215","1","15500","-1600","-","-","-","4400","-1700","-","-","11100","100","-","-"
"1724","20231215","1","207400","5900","-","-","-","81700","5800","-","-","125700","100","-","-"
"1726","20231215","1","343900","1400","8000","-","42.99","106300","-1200","-","-","237600","2600","8000","-"
"1730","20231215","1","219900","79600","22300","18800","9.86","142600","93200","-","-","77300","-13600","22300","18800"
"1736","20231215","1","6100","-","-","-","-","4400","200","-","-","1700","-200","-","-"
"1739","20231215","1","305200","-1900","-","-","-","181000","-1700","-","-","124200","-200","-","-"
