"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"8918","20230630","1","12191000","-39000","5000","5000","2438.2","4886300","-162000","-","-","7304700","123000","5000","5000"
"8919","20230630","2","180600","900","400000","600","0.45","128700","-1200","17100","-300","51900","2100","382900","900"
"8920","20230630","2","281800","-17200","28200","300","9.99","157900","-19900","15600","100","123900","2700","12600","200"
"8923","20230630","2","55900","-5100","21800","200","2.56","31200","-200","16700","300","24700","-4900","5100","-100"
"8925","20230630","2","249000","66200","-","-","-","210600","68000","-","-","38400","-1800","-","-"
"8927","20230630","2","1151400","-22800","18900","-100","60.92","527200","-5300","18900","-100","624200","-17500","-","-"
"8928","20230630","2","23500","-700","40600","-1700","0.58","17600","-1600","37700","6800","5900","900","2900","-8500"
"8929","20230630","1","325700","17500","-","-","-","210200","12500","-","-","115500","5000","-","-"
"8931","20230630","2","439000","7600","5600","-","78.39","174800","1000","5600","-","264200","6600","-","-"
"8934","20230630","2","406500","5300","14700","100","27.65","178500","-2200","11400","100","228000","7500","3300","-"
"8935","20230630","2","122400","-1700","5500","-700","22.25","104100","-2600","5400","-700","18300","900","100","-"
"8938","20230630","1","1601500","111300","-","-","-","1060600","93500","-","-","540900","17800","-","-"
"8940","20230630","2","197000","9300","23200","-2300","8.49","50900","6900","23200","-2300","146100","2400","-","-"
"8944","20230630","1","563600","-121700","-","-","-","198800","11900","-","-","364800","-133600","-","-"
"8945","20230630","1","10200","-4400","1100","-16100","9.27","2800","-4000","-","-","7400","-400","1100","-16100"
"8946","20230630","1","2631200","-3000","-","-","-","1894800","-3200","-","-","736400","200","-","-"
"8995","20230630","1","7700","-300","-","-","-","1700","-1500","-","-","6000","1200","-","-"
"8996","20230630","1","69500","-13600","-","-","-","22100","100","-","-","47400","-13700","-","-"
"8999","20230630","2","146300","-19600","11200","1400","13.06","82000","-19900","11100","1300","64300","300","100","100"
"9001","20230630","2","59800","4900","143400","3100","0.42","52100","3400","87900","3500","7700","1500","55500","-400"
"9003","20230630","2","73700","7700","64200","7600","1.15","59100","13500","36300","-400","14600","-5800","27900","8000"
"9005","20230630","2","884100","134200","164200","-19800","5.38","631200","86800","137300","-23700","252900","47400","26900","3900"
"9006","20230630","2","1244000","86400","173100","24400","7.19","777300","84300","31300","5300","466700","2100","141800","19100"
"9007","20230630","2","729600","86500","179600","-13600","4.06","394300","49400","84400","2100","335300","37100","95200","-15700"
"9008","20230630","2","342600","119500","44000","3700","7.79","235300","80200","8500","1600","107300","39300","35500","2100"
"9009","20230630","2","82900","6700","289100","7700","0.29","64300","4000","210900","7200","18600","2700","78200","500"
"9010","20230630","2","47900","-7400","85900","11300","0.56","39900","-7900","68600","9900","8000","500","17300","1400"
