"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20231027","2","24600","-1400","2400","300","10.25","11700","-1300","2200","200","12900","-100","200","100"
"1332","20231027","2","836700","-26200","422300","29400","1.98","419100","-17900","380700","28500","417600","-8300","41600","900"
"1333","20231027","2","686200","34200","59900","6800","11.46","217800","17400","10400","1500","468400","16800","49500","5300"
"1375","20231027","1","230200","-1900","3100","-300","74.26","107000","-2700","-","-","123200","800","3100","-300"
"1376","20231027","1","39700","-800","-","-100","-","24400","-400","-","-","15300","-400","-","-100"
"1377","20231027","2","50400","6500","30600","4600","1.65","36800","5700","9900","4200","13600","800","20700","400"
"1379","20231027","2","37900","-4800","20000","1900","1.9","31900","-4200","7800","1700","6000","-600","12200","200"
"1380","20231027","1","4300","-1300","-","-","-","1200","-300","-","-","3100","-1000","-","-"
"1381","20231027","1","5500","-700","-","-","-","4100","-","-","-","1400","-700","-","-"
"1382","20231027","1","71600","-6600","-","-","-","57700","-3800","-","-","13900","-2800","-","-"
"1383","20231027","1","9300","-900","-","-","-","7300","-900","-","-","2000","-","-","-"
"1384","20231027","1","179600","-7200","-","-","-","53700","-8500","-","-","125900","1300","-","-"
"1400","20231027","1","571600","12100","-","-","-","248700","23500","-","-","322900","-11400","-","-"
"1401","20231027","1","100600","200","-","-","-","30300","200","-","-","70300","-","-","-"
"1407","20231027","2","238400","-14300","97800","-12600","2.44","128900","-1800","96900","-11600","109500","-12500","900","-1000"
"1414","20231027","2","58600","-3100","24800","3100","2.36","45400","-1200","8900","2200","13200","-1900","15900","900"
"1417","20231027","2","79800","-200","15100","2100","5.28","50900","-5000","4800","1400","28900","4800","10300","700"
"1418","20231027","2","338400","-40800","25900","7100","13.07","202000","-37800","25900","7100","136400","-3000","-","-"
"1419","20231027","2","356100","-89000","297400","53200","1.2","235800","-73200","165800","17900","120300","-15800","131600","35300"
"1420","20231027","2","28800","-500","3000","500","9.6","17000","-500","3000","500","11800","-","-","-"
"1429","20231027","2","556200","-700","13200","-1900","42.14","232600","-16800","13200","-1900","323600","16100","-","-"
"1430","20231027","2","124900","-5500","50600","-","2.47","94000","-3300","50600","-","30900","-2200","-","-"
"1431","20231027","2","52200","4900","115600","-400","0.45","35200","4500","115600","-400","17000","400","-","-"
"1433","20231027","2","229900","-3000","115800","-3400","1.99","129900","-","113800","-3400","100000","-3000","2000","-"
"1434","20231027","2","317400","-31800","85800","6400","3.7","200400","-9500","85800","6400","117000","-22300","-","-"
"1435","20231027","1","1992900","-1100","1000","-","1992.9","688700","1100","-","-","1304200","-2200","1000","-"
"1436","20231027","1","94600","-800","-","-","-","32900","-500","-","-","61700","-300","-","-"
"1438","20231027","1","45100","300","-","-","-","16800","-500","-","-","28300","800","-","-"
"1439","20231027","1","49600","400","-","-","-","8100","100","-","-","41500","300","-","-"
"1443","20231027","1","808000","-13100","-","-","-","507000","-8900","-","-","301000","-4200","-","-"
"1444","20231027","1","32100","-600","-","-","-","14500","-800","-","-","17600","200","-","-"
"1446","20231027","2","40900","-1200","41200","-3500","0.99","16400","-800","41200","-3500","24500","-400","-","-"
"1447","20231027","1","2017700","-12300","-","-","-","473500","-7100","-","-","1544200","-5200","-","-"
"1450","20231027","1","20600","-300","-","-","-","8100","-300","-","-","12500","-","-","-"
"1451","20231027","1","45300","300","-","-","-","30800","-","-","-","14500","300","-","-"
"1491","20231027","1","1584700","30400","-","-","-","1411200","31900","-","-","173500","-1500","-","-"
"1514","20231027","2","11280800","-316000","9500","-","1187.45","2461700","-176600","-","-","8819100","-139400","9500","-"
"1515","20231027","2","68500","-7000","7900","-900","8.67","21300","-3800","6200","-400","47200","-3200","1700","-500"
"1518","20231027","2","1281800","-85000","687600","74000","1.86","981400","-64300","674100","74200","300400","-20700","13500","-200"
"1605","20231027","2","8000800","-691800","1450000","1700","5.52","5345300","-654000","1224900","-8800","2655500","-37800","225100","10500"
"1662","20231027","2","559400","-28200","29800","-9400","18.77","458000","-12100","22400","-7000","101400","-16100","7400","-2400"
"1663","20231027","2","350400","11100","9800","-5000","35.76","177000","5300","9300","-5000","173400","5800","500","-"
"1711","20231027","1","553600","-8300","-","-","-","345600","-7900","-","-","208000","-400","-","-"
