id,sec-code,filer-name,description
S100KGR4,82270,株式会社しまむら,四半期報告書－第68期第3四半期(令和2年8月21日－令和2年11月20日)
S100KGJJ,27780,パレモ・ホールディングス株式会社,四半期報告書－第36期第3四半期(令和2年8月21日－令和2年11月20日)
S100KH05,61910,株式会社エアトリ,有価証券報告書－第14期(令和1年10月1日－令和2年9月30日)
S100K7TQ,65520,株式会社ＧａｍｅＷｉｔｈ,四半期報告書－第8期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHJO,61830,株式会社ベルシステム２４ホールディングス,四半期報告書－第7期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHUT,27910,大黒天物産株式会社,四半期報告書－第35期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHD0,30500,ＤＣＭホールディングス株式会社,四半期報告書－第15期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHJ2,29180,わらべや日洋ホールディングス株式会社,四半期報告書－第57期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHHE,23030,株式会社ドーン,四半期報告書－第30期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHLG,81680,株式会社ケーヨー,四半期報告書－第83期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHER,94140,日本ＢＳ放送株式会社,四半期報告書－第23期第1四半期(令和2年9月1日－令和2年11月30日)
S100KHUU,89180,株式会社ランド,四半期報告書－第25期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHTN,47140,株式会社　リソー教育,四半期報告書－第36期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHRA,96510,日本プロセス株式会社,四半期報告書－第54期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHPP,81840,株式会社島忠,四半期報告書－第62期第1四半期(令和2年9月1日－令和2年11月30日)
S100KHR4,19970,暁飯島工業株式会社,四半期報告書－第68期第1四半期(令和2年9月1日－令和2年11月30日)
S100KDCQ,60930,株式会社エスクロー・エージェント・ジャパン,四半期報告書－第14期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHU4,31410,ウエルシアホールディングス株式会社,四半期報告書－第13期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHVA,81670,株式会社リテールパートナーズ,四半期報告書－第68期第3四半期(令和2年9月1日－令和2年11月30日)
S100KI1C,21640,株式会社地域新聞社,四半期報告書－第37期第1四半期(令和2年9月1日－令和2年11月30日)
S100KHX0,63120,フロイント産業株式会社,四半期報告書－第57期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHPF,59320,三協立山株式会社,四半期報告書－第76期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHSQ,27060,株式会社ブロッコリー,四半期報告書－第27期第3四半期(令和2年9月1日－令和2年11月30日)
S100KI1Z,38150,株式会社メディア工房,四半期報告書－第24期第1四半期(令和2年9月1日－令和2年11月30日)
S100KHNC,97930,株式会社ダイセキ,四半期報告書－第63期第3四半期(令和2年9月1日－令和2年11月30日)
S100KI4J,32800,株式会社エストラスト,四半期報告書－第23期第3四半期(令和2年9月1日－令和2年11月30日)
S100KI3J,14300,ファーストコーポレーション株式会社,四半期報告書－第10期第2四半期(令和2年9月1日－令和2年11月30日)
S100KHZJ,99460,ミニストップ株式会社,四半期報告書－第42期第3四半期(令和2年9月1日－令和2年11月30日)
S100KI2U,17120,株式会社ダイセキ環境ソリューション,四半期報告書－第25期第3四半期(令和2年9月1日－令和2年11月30日)
S100KH77,76240,株式会社ＮａＩＴＯ,四半期報告書－第70期第3四半期(令和2年9月1日－令和2年11月30日)
S100KHRZ,79750,株式会社リヒトラブ,四半期報告書－第73期第3四半期(令和2年9月1日－令和2年11月30日)
