id,sec-code,filer-name,description
S100PW3K,93420,株式会社スマサポ,有価証券報告書－第11期(2021/10/01－2022/09/30)
S100PWRE,30500,ＤＣＭホールディングス株式会社,四半期報告書－第17期第3四半期(2022/09/01－2022/11/30)
S100PX57,81680,株式会社ケーヨー,四半期報告書－第85期第3四半期(2022/09/01－2022/11/30)
S100PWN2,60930,株式会社エスクロー・エージェント・ジャパン,四半期報告書－第16期第3四半期(2022/09/01－2022/11/30)
S100PX75,79750,株式会社リヒトラブ,四半期報告書－第75期第3四半期(2022/09/01－2022/11/30)
S100PX3S,92440,株式会社デジタリフト,訂正有価証券報告書－第10期(2021/10/01－2022/09/30)
S100PX0O,96510,日本プロセス株式会社,四半期報告書－第56期第2四半期(2022/09/01－2022/11/30)
S100PX3Q,87890,フィンテック　グローバル株式会社,訂正有価証券報告書－第24期(2017/10/01－2018/09/30)
S100PX6D,87890,フィンテック　グローバル株式会社,訂正有価証券報告書－第25期(2018/10/01－2019/09/30)
S100PX6E,87890,フィンテック　グローバル株式会社,訂正有価証券報告書－第26期(2019/10/01－2020/09/30)
S100PVYD,87890,フィンテック　グローバル株式会社,訂正有価証券報告書－第27期(2020/10/01－2021/09/30)
S100PXEP,27470,北雄ラッキー株式会社,四半期報告書－第53期第3四半期(2022/09/01－2022/11/30)
S100PXEI,14300,ファーストコーポレーション株式会社,四半期報告書－第12期第2四半期(2022/09/01－2022/11/30)
S100PXG7,47160,日本オラクル株式会社,四半期報告書－第38期第2四半期(2022/09/01－2022/11/30)
S100PXIH,32360,株式会社プロパスト,四半期報告書－第37期第2四半期(2022/09/01－2022/11/30)
S100PXDZ,31410,ウエルシアホールディングス株式会社,四半期報告書－第15期第3四半期(2022/09/01－2022/11/30)
S100PXB9,81670,株式会社リテールパートナーズ,四半期報告書－第70期第3四半期(2022/09/01－2022/11/30)
S100PXKU,40760,株式会社シイエヌエス,訂正四半期報告書－第37期第2四半期(2021/09/01－2021/11/30)
S100PXJL,,ＪＡ三井リース株式会社,訂正四半期報告書－第15期第2四半期(2022/07/01－2022/09/30)
S100PXJV,81660,株式会社タカキュー,四半期報告書－第74期第3四半期(2022/09/01－2022/11/30)
S100PXKM,26680,タビオ株式会社,四半期報告書－第46期第3四半期(2022/09/01－2022/11/30)
S100PXB0,23050,株式会社スタジオアリス,四半期報告書－第49期第3四半期(2022/09/01－2022/11/30)
S100PXMK,29180,わらべや日洋ホールディングス株式会社,四半期報告書－第59期第3四半期(2022/09/01－2022/11/30)
S100PX06,94140,日本ＢＳ放送株式会社,四半期報告書－第25期第1四半期(2022/09/01－2022/11/30)
S100PX9J,62640,株式会社マルマエ,訂正有価証券報告書－第35期(2021/09/01－2022/08/31)
S100PXRE,62640,株式会社マルマエ,訂正有価証券報告書－第34期(2020/09/01－2021/08/31)
S100PXR3,47450,株式会社東京個別指導学院,四半期報告書－第40期第3四半期(2022/09/01－2022/11/30)
S100PXRL,82600,株式会社井筒屋,訂正有価証券報告書－第127期(2021/03/01－2022/02/28)
S100PXHD,47140,株式会社　リソー教育,四半期報告書－第38期第3四半期(2022/09/01－2022/11/30)
S100PXTE,21640,株式会社地域新聞社,四半期報告書－第39期第1四半期(2022/09/01－2022/11/30)
S100PXQ2,65060,株式会社安川電機,四半期報告書－第107期第3四半期(2022/09/01－2022/11/30)
S100PXO3,65520,株式会社ＧａｍｅＷｉｔｈ,四半期報告書－第10期第2四半期(2022/09/01－2022/11/30)
S100PXJ4,14190,タマホーム株式会社,四半期報告書－第25期第2四半期(2022/09/01－2022/11/30)
S100PXUG,41960,株式会社ネオマーケティング,訂正有価証券報告書－第22期(2020/10/01－2021/09/30)
S100PVYE,44940,バリオセキュア株式会社,四半期報告書－第8期第3四半期(2022/09/01－2022/11/30)
S100PXRS,61420,富士精工株式会社,四半期報告書－第65期第3四半期(2022/09/01－2022/11/30)
S100PXB5,82730,株式会社イズミ,四半期報告書－第62期第3四半期(2022/09/01－2022/11/30)
S100PWWB,29990,ホームポジション株式会社,四半期報告書－第34期第1四半期(2022/09/01－2022/11/30)
S100PXSG,32240,株式会社ゼネラル・オイスター,訂正有価証券報告書－第22期(2021/04/01－2022/03/31)
S100PXLZ,97930,株式会社ダイセキ,四半期報告書－第65期第3四半期(2022/09/01－2022/11/30)
S100PXFB,27260,株式会社パルグループホールディングス,四半期報告書－第51期第3四半期(2022/09/01－2022/11/30)
S100PXIK,26700,株式会社エービーシー・マート,四半期報告書－第38期第3四半期(2022/09/01－2022/11/30)
S100PXXH,32220,ユナイテッド・スーパーマーケット・ホールディングス株式会社,四半期報告書－第8期第3四半期(2022/09/01－2022/11/30)
S100PXQ8,64960,株式会社中北製作所,四半期報告書－第97期第2四半期(2022/09/01－2022/11/30)
S100PXXZ,32800,株式会社エストラスト,四半期報告書－第25期第3四半期(2022/09/01－2022/11/30)
S100PWWP,47630,株式会社クリーク・アンド・リバー社,四半期報告書－第33期第3四半期(2022/09/01－2022/11/30)
S100PXOD,17120,株式会社ダイセキ環境ソリューション,四半期報告書－第27期第3四半期(2022/09/01－2022/11/30)
S100PXLO,74530,株式会社　良品計画,四半期報告書－第45期第1四半期(2022/09/01－2022/11/30)
S100PXLY,46680,株式会社明光ネットワークジャパン,四半期報告書－第39期第1四半期(2022/09/01－2022/11/30)
S100PXG0,82330,株式会社髙島屋,四半期報告書－第157期第3四半期(2022/09/01－2022/11/30)
