"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"25935","伊藤園第1種優先株式","東証PR","優先株","20231121","1802","4","0.22","1798","1800","1802","1798","11200","20163","-","1398","2198"
"9282","いちごグリーンインフラ投資法人","東証","インフラファンド","20231121","71200","0","0","71200","70900","71300","70900","33","2346","-","56200","86200"
"9284","カナディアン・ソーラー・インフラ投資法人","東証","インフラファンド","20231121","119100","400","0.34","118700","118800","119100","118800","327","38896","-","88700","148700"
"9285","東京インフラ・エネルギー投資法人","東証","インフラファンド","20231121","91600","0","0","91600","91500","91600","91500","106","9701","-","76600","106600"
"9286","エネクス・インフラ投資法人","東証","インフラファンド","20231121","90800","100","0.11","90700","90800","90900","90700","1320","119817","-","75700","105700"
"9287","ジャパン・インフラファンド投資法人","東証","インフラファンド","20231121","90100","-200","-0.22","90300","90200","90300","90000","2097","188956","-","75300","105300"
"94345","ソフトバンク第1回社債型種類株式","東証PR","優先株","20231121","4028","-2","-0.05","4030","4030","4030","4028","5500","22155","-","3330","4730"
