"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"25935","伊藤園第1種優先株式","東証PR","優先株","20240301","1900","-13","-0.68","1913","1918","1919","1891","25800","49241","-","1513","2313"
"9282","いちごグリーンインフラ投資法人","東証","インフラファンド","20240301","72700","0","0","72700","72600","72900","72600","50","3634","-","57700","87700"
"9284","カナディアン・ソーラー・インフラ投資法人","東証","インフラファンド","20240301","109800","-100","-0.09","109900","109800","110000","109700","1443","158529","-","79900","139900"
"9285","東京インフラ・エネルギー投資法人","東証","インフラファンド","20240301","85600","0","0","85600","85500","85700","85300","222","18985","-","70600","100600"
"9286","エネクス・インフラ投資法人","東証","インフラファンド","20240301","84300","100","0.12","84200","84100","84300","83800","2210","185512","-","69200","99200"
"9287","ジャパン・インフラファンド投資法人","東証","インフラファンド","20240301","84400","-200","-0.24","84600","84300","84700","84100","1335","112590","-","69600","99600"
"94345","ソフトバンク第1回社債型種類株式","東証PR","優先株","20240301","3988","-2","-0.05","3990","3994","3994","3985","10000","39870","-","3290","4690"
