"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"2411","ゲンダイエージェンシー","202203","20220415","7426","296","313","247","6254","4476","100","937","71.6","5.37","3.93","12799700"
"2412","ベネフィット・ワン","202203","20220510","38362","12770","12826","8949","58047","24912","1527","9610","42.9","39.97","19","159190900"
"2413","エムスリー","202203","20220427","208159","95141","96187","63845","345981","257841","29129","-","74.5","27.9","20.62","678951800"
"2415","ヒューマンホールディングス","202203","20220513","86292","2474","2711","1646","46320","13625","1299","10843","29.4","12.62","3.68","10987200"
"2418","ツカダ・グローバルホールディング","202212","20230214","51699","2976","4758","1498","87472","22867","472","47495","26.1","6.92","1.68","48960000"
"2424","ブラス","202207","20220913","11415","874","1129","734","11764","2983","100","5253","25.4","26.82","6.26","5709300"
"2425","ケアサービス","202203","20220513","8965","306","327","192","3239","2018","205","74","62.3","9.91","5.95","4200000"
"2427","アウトソーシング","202212","20230214","689777","21987","17030","10207","399403","79559","25245","130598","19.9","14.03","2.72","125951200"
"2428","ウェルネット","202206","20220812","8950","735","754","532","23642","7355","667","1900","31.1","7.36","2.37","19400000"
"2429","ワールドホールディングス","202212","20230214","183640","8929","8933","5341","123591","35409","1314","55947","28.7","15.96","4.84","17651000"
"2432","ディー・エヌ・エー","202203","20220510","130868","11462","29419","30532","340570","240627","10397","20146","70.7","13.15","9.15","122145545"
