"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"4011","ヘッドウォータース","202212","20230214","1574","110","106","75","1169","875","362","-","74.9","8.57","6.42","936200"
"4012","アクシス","202212","20230209","5854","576","586","390","3487","2543","86","-","72.9","16.59","11.85","4162400"
"4013","勤次郎","202212","20230209","3551","444","437","304","12653","8755","4099","2799","69.2","3.45","2.71","10420000"
"4014","カラダノート","202207","20220914","1306","-205","-202","-271","1375","628","299","500","45.7","-33.98","-21.58","6326400"
"4015","アララ","202208","20221014","1165","-160","-1506","-1834","3856","1406","694","1921","36.5","-130.44","-47.56","10183263"
"4016","MITホールディングス","202211","20230113","4357","120","120","45","1792","516","291","822","28.8","8.26","2.69","2109400"
"4017","クリーマ","202202","20220414","2294","322","363","230","3889","1320","536","557","33.9","19.16","6.07","6721100"
"4019","スタメン","202212","20230214","1300","131","132","99","1533","1017","610","15","66.3","9.73","6.46","8516000"
"4020","ビートレンド","202212","20230214","1088","147","146","100","941","789","314","-","83.8","13.6","11.33","2192600"
"4021","日産化学","202203","20220513","207972","50959","53690","38776","279687","205912","18942","22715","73.6","19.16","14.22","141300000"
"4022","ラサ工業","202203","20220513","35411","3475","3562","2538","41924","20206","8443","11143","48.2","13.41","6.44","7944203"
"4023","クレハ","202203","20220512","168341","20142","20398","14164","282639","199219","18169","26178","70.5","7.4","5.25","20805407"
"4025","多木化学","202212","20230213","35846","2751","3144","2056","50323","31949","2147","824","63.5","6.72","4.27","9458768"
"4026","神島化学工業","202204","20220610","21787","2078","2084","1365","24697","9306","1320","4840","37.7","15.34","6.3","9240000"
"4027","テイカ","202203","20220511","46362","3651","4156","2845","72128","50896","9855","5005","70.6","5.65","4.03","25714414"
"4028","石原産業","202203","20220511","110955","11557","13272","11690","185758","91869","43420","45915","49.5","13.64","6.39","40383943"
"4031","片倉コープアグリ","202203","20220516","38960","1123","1207","1022","43066","22969","4214","6745","53.3","4.52","2.45","10161686"
"4041","日本曹達","202203","20220510","152536","11930","16512","12683","245585","155944","29166","38986","63.5","8.41","5.36","28747667"
"4042","東ソー","202203","20220512","918580","144045","160467","107938","1087667","708917","55173","91905","65.2","16.3","10.43","325080956"
"4043","トクヤマ","202203","20220428","293830","24539","25855","28000","433210","224506","10000","104237","51.8","13.24","6.83","72088327"
"4044","セントラル硝子","202203","20220511","206184","7262","11936","-39844","290696","126086","18168","44847","43.4","-27.32","-13.84","42975995"
"4045","東亞合成","202212","20230210","160825","14382","16446","12494","265135","205970","20886","11065","77.7","6.13","4.77","122100000"
"4046","大阪ソーダ","202203","20220512","88084","12401","13435","9442","129159","83873","15871","15905","64.9","11.72","7.6","26732017"
"4047","関東電化工業","202203","20220513","62286","11164","11145","7762","109902","58254","2877","30252","53","14.21","7.68","57546050"
"4051","GMOフィナンシャルゲート","202209","20221114","10295","740","745","472","6638","4503","1617","-","67.8","10.83","6.85","8305340"
"4052","フィーチャ","202206","20220812","382","25","26","29","599","568","285","-","94.8","5.4","5.07","5555852"
"4053","Sun_Asterisk","202212","20230208","10745","902","1144","823","9675","7736","1713","279","80","11.49","9.11","38009700"
"4054","日本情報クリエイト","202206","20220815","3053","500","538","283","5035","3140","722","245","62.4","9.01","5.62","14298440"
"4055","ティアンドエス","202211","20230113","3256","617","626","440","2281","1733","340","-","76","27.26","20.62","7633200"
"4056","ニューラルポケット","202212","20230210","2878","-251","-247","-879","3863","452","79","2853","11.7","-99.83","-27.98","14451199"
"4057","インターファクトリー","202205","20220713","2283","36","34","20","1499","1008","393","150","67.2","2.04","1.36","4100900"
"4058","トヨクモ","202212","20230213","1937","639","638","427","2610","1634","380","-","62.6","27.62","17.74","10162000"
"4059","まぐまぐ","202209","20221111","572","9","9","4","1538","1373","319","-","89.3","0.29","0.26","2814800"
"4060","rakumo","202212","20230210","1096","232","225","184","1776","1152","390","50","64.9","17.53","11.18","5750000"
"4061","デンカ","202203","20220511","384849","40123","36474","26012","557646","288473","36998","137031","51.7","9.36","4.8","88555840"
"4062","イビデン","202203","20220427","401138","70821","74394","41232","664332","364576","64152","170030","54.9","12.12","6.64","140860557"
"4063","信越化学工業","202203","20220427","2074428","676322","694434","500117","4053412","3326565","119419","30401","82.1","16.29","13.45","2024122965"
"4064","日本カーバイド工業","202203","20220513","47003","3192","4055","1930","64546","30318","7780","13969","47","6.74","3.01","9406826"
"4068","ベイシス","202206","20220812","6264","490","485","324","3027","1669","331","545","55.1","22.3","11.37","1856870"
"4069","BlueMeme","202203","20220513","1929","363","348","253","2956","2354","962","94","79.6","17.59","11.65","3551546"
"4071","プラスアルファ・コンサルティング","202209","20221114","7910","2663","2671","1796","7944","6454","88","-","81.2","31.65","25.51","41451520"
"4072","電算システムホールディングス","202212","20230210","53479","3414","3587","2348","72170","19456","2482","1485","27","12.74","3.8","10790199"
"4073","ジィ・シィ企画","202206","20220815","1588","-55","-82","-91","1514","1138","431","63","75.2","-9.48","-6.39","2493760"
"4074","ラキール","202212","20230214","6880","772","731","467","5787","3255","1014","1183","56.2","15.43","8.32","7628500"
"4075","ブレインズテクノロジー","202207","20220909","934","174","173","141","1713","1348","580","80","78.7","11.04","8.41","5505500"
"4076","シイエヌエス","202205","20220714","5419","533","594","409","4151","3038","478","-","73.2","16.26","11.22","2906000"
"4078","堺化学工業","202203","20220513","80135","7494","8840","6747","123919","78854","21838","16958","63.6","8.73","5.46","17000000"
"4080","田中化学研究所","202203","20220512","40531","825","769","731","39018","13360","9155","14600","34.2","5.63","2.01","32533000"
"4082","第一稀元素化学工業","202203","20220513","29365","3768","6000","1849","58043","31196","787","21940","53.7","6.02","3.24","24400000"
"4088","エア・ウォーター","202203","20220512","888668","65174","64230","43214","1022031","395132","55855","346500","38.7","11.48","4.43","229755057"
"4091","日本酸素ホールディングス","202203","20220511","957169","101183","91611","64103","1977026","628714","37344","890344","31.8","11.23","3.36","433092837"
"4092","日本化学工業","202203","20220512","37275","3921","3864","3735","70431","41867","5757","15919","59.4","9.23","5.31","8922775"
"4093","東邦アセチレン","202203","20220513","31285","1228","1354","823","30271","15826","2261","3407","52.3","5.3","2.75","7004000"
"4094","日本化学産業","202203","20220513","23716","4223","4510","3236","49487","41973","1034","373","84.8","7.94","6.75","20680000"
"4095","日本パーカライジング","202203","20220512","117752","13370","17003","9046","228982","160294","4560","1310","70","5.8","4.03","132604524"
"4097","高圧ガス工業","202203","20220513","82483","4720","5403","4149","98400","65286","2885","5949","66.3","6.48","4.35","55577526"
"4098","チタン工業","202203","20220513","8149","373","287","265","16372","6335","3443","7120","38.7","4.28","1.65","3027626"
"4099","四国化成ホールディングス","202212","20230127","46566","6462","7270","4997","117176","81324","6867","20147","69.4","-","-","52973563"
"4100","戸田工業","202203","20220513","35332","2519","4184","3116","51292","12427","7477","24661","24.2","30.31","6.7","6099192"
"4102","丸尾カルシウム","202203","20220512","11567","138","292","190","15637","8852","876","1976","56.6","2.08","1.18","2355200"
"4107","伊勢化学工業","202212","20230203","25564","3756","3657","2562","36146","29220","3599","600","80.8","9.09","7.37","5135135"
"4109","ステラケミファ","202203","20220510","37296","4583","5707","5364","56598","42171","4829","5417","74.5","13.68","9.79","13213248"
"4112","保土谷化学工業","202203","20220516","41879","6421","6914","3251","66448","41416","11196","6365","62.3","8.12","5.04","8413726"
"4113","田岡化学工業","202203","20220511","32374","2708","2798","2063","32417","16749","1572","808","51.7","12.9","6.83","14440000"
"4114","日本触媒","202203","20220512","369293","29062","33675","23720","518151","343882","25038","52193","66.4","7.17","4.79","40800000"
"4116","大日精化工業","202203","20220513","121933","7446","8315","6166","196709","108448","10039","32260","55.1","5.86","3.13","18613110"
"4118","カネカ","202203","20220512","691530","43562","40816","26487","726959","387150","33046","128619","53.3","7.12","3.8","68000000"
"4119","日本ピグメント","202203","20220513","27567","1284","1461","885","32771","13984","1481","8347","42.7","6.58","2.72","1575899"
"4120","スガイ化学工業","202203","20220511","6232","560","590","404","11205","6373","2510","2380","56.9","6.53","3.54","1373000"
"4124","大阪油化工業","202209","20221110","1180","137","140","88","2058","1813","346","-","88.1","4.95","4.31","1073500"
"4125","三和油化工業","202203","20220513","15537","1629","1629","1259","21382","9769","1588","7277","45.7","16.35","6.54","4318000"
"4151","協和キリン","202212","20230207","398371","65341","67572","53573","939881","762826","26745","-","81.2","7.14","5.76","540000000"
"4165","プレイド","202209","20221108","7295","-882","-983","-930","7091","4054","2690","1839","57.2","-20.86","-13.22","39193574"
"4166","かっこ","202212","20230213","1076","176","154","100","1534","1373","365","1","89.5","7.57","6.78","2633870"
"4167","ココペリ","202203","20220516","1642","358","356","281","2149","1859","808","-","86.5","16.48","14.43","7911230"
"4168","ヤプリ","202212","20230213","4142","-818","-824","-941","2843","1342","2561","918","47.2","-52.39","-32.24","12650900"
"4169","ENECHANGE","202212","20230210","3734","-1121","-1156","-1315","6769","3542","3061","1952","52.3","-31.51","-19.17","30119144"
"4170","Kaizen_Platform","202212","20230214","2667","-102","-127","-285","5236","3182","1755","1336","60.8","-8.82","-5.94","16813651"
"4171","グローバルインフォメーション","202212","20230210","2984","626","648","438","2751","2050","162","-","74.5","22.9","16.59","2947500"
"4172","東和ハイシステム","202209","20221111","2215","416","475","316","4045","3589","343","-","88.7","8.91","7.84","2228000"
"4173","WACUL","202202","20220412","1086","185","184","226","1251","801","529","231","64","35.73","23.04","7091950"
"4174","アピリッツ","202301","20230317","7323","462","445","210","4198","2116","619","607","50.4","10.4","5.99","4133700"
"4175","coly","202301","20230316","5537","-207","-206","-320","7243","6597","1910","-","91.1","-4.74","-4.27","5502900"
"4176","ココナラ","202208","20221014","3837","-515","-511","-494","4327","1988","1221","-","45.9","-24.85","-11.42","23794500"
"4177","i-plug","202203","20220513","3041","367","370","253","3321","1430","644","623","43.1","19.57","8.18","3937551"
"4178","Sharing_Innovations","202212","20230214","5189","168","173","96","2028","1412","436","-","69.6","6.6","4.65","3793300"
"4179","ジーネクスト","202203","20220513","495","-383","-388","-421","808","441","647","247","54.6","-70.88","-41.27","4192883"
"4180","Appier_Group","202212","20230213","19427","50","110","21","35938","26201","7535","2149","72.9","0.09","0.06","101566785"
"4182","三菱瓦斯化学","202203","20220512","705656","55360","74152","48295","928651","568766","41970","105546","61.2","8.84","5.47","222239199"
"4183","三井化学","202203","20220513","1612688","147310","141274","109990","1934965","712654","125414","666086","36.8","16.66","6.3","200763815"
"4185","JSR","202203","20220425","340997","43760","45521","37303","809371","376011","23370","117907","46.5","10.51","5.03","208400000"
"4186","東京応化工業","202212","20230213","175434","30181","30966","19693","238075","169747","14640","10222","71.3","12.1","8.65","42600000"
"4187","大阪有機化学工業","202211","20230112","32236","5934","6365","4725","52836","40826","3600","3581","77.3","11.89","9.2","22410038"
"4188","三菱ケミカルグループ","202203","20220513","3976948","303194","290370","177162","5573871","1458077","50000","2159969","26.2","13.15","3.26","1506288107"
"4189","KHネオケム","202212","20230207","114880","12456","12709","8073","131247","59348","8855","20869","45.2","14.13","6.37","37149400"
"4192","スパイダープラス","202212","20230213","2479","-1142","-1161","-1036","4794","3684","2394","442","76.8","-24.95","-20.27","34426600"
"4193","ファブリカコミュニケーションズ","202203","20220512","5858","923","939","574","3762","2395","617","385","63.7","35.85","19.04","5165400"
"4194","ビジョナル","202207","20220914","43954","8320","8751","5858","45762","28723","6226","645","62.8","22.86","14.49","38626900"
"4196","ネオマーケティング","202209","20221114","2251","280","280","-280","1359","522","83","466","38.4","-42.46","-19.59","2513600"
"4198","テンダ","202205","20220715","3509","373","359","240","3004","2078","305","376","69.2","15.58","9.84","2169500"
"4199","ワンダープラネット","202208","20221012","3422","-1272","-1291","-1887","2999","427","354","1193","14.2","-135.17","-56.24","2557912"
"4200","HCSホールディングス","202203","20220513","4779","414","471","347","4731","3603","189","324","76.2","11.36","7.89","2647500"
"4202","ダイセル","202203","20220511","467937","50697","57291","31254","698836","272018","36275","280502","38.9","12.26","4.67","302942682"
"4203","住友ベークライト","202203","20220516","263114","24887","25880","18299","370836","229784","37143","58622","62","8.51","5.11","49590478"
"4204","積水化学工業","202203","20220427","1157945","88879","97001","37067","1198921","674637","100002","102386","56.3","5.53","3.16","456507285"
"4205","日本ゼオン","202203","20220427","361730","44432","49468","33413","484660","318624","24211","18960","65.7","10.89","7.16","229513656"
"4206","アイカ工業","202203","20220509","214514","20348","21840","13117","240388","145222","9891","16635","60.4","9.37","5.86","67590664"
"4208","UBE","202203","20220512","655265","44038","41549","24500","837954","369142","58435","236176","44.1","6.73","3.05","106200107"
"4212","積水樹脂","202203","20220428","65903","10883","11397","7662","135606","106818","12334","1000","78.8","7.16","5.59","43313598"
"4215","タキロンシーアイ","202203","20220510","141936","8651","9084","6660","147061","90244","15189","3914","61.4","7.57","4.6","97553655"
"4216","旭有機材","202203","20220513","64732","6575","7012","4773","74925","51363","5000","2770","68.6","9.74","6.69","19800400"
"4218","ニチバン","202203","20220513","43134","2450","2561","1809","64427","38961","5451","2000","60.5","4.7","2.88","20738006"
"4220","リケンテクノス","202203","20220502","109923","6292","6889","3941","102641","57762","8514","9823","56.3","7.07","3.98","64113819"
"4221","大倉工業","202212","20230210","77260","3771","4275","3788","90234","55571","8619","2375","61.6","7.01","4.3","12414870"
"4222","児玉化学工業","202203","20220513","14884","677","579","417","12885","3652","100","4469","28.3","12.13","3.19","7859191"
"4224","ロンシール工業","202203","20220513","18129","1280","1370","965","24751","17957","5007","180","72.6","5.49","3.97","4625309"
"4228","積水化成品工業","202203","20220428","117567","1463","1401","-5917","143308","57525","16533","37115","40.1","-9.28","-3.92","46988109"
"4229","群栄化学工業","202203","20220513","29406","2489","2815","1929","54680","43419","5000","-","79.4","4.51","3.62","8998308"
"4231","タイガースポリマー","202203","20220511","40878","1280","1797","831","47635","32023","4149","2900","67.2","2.67","1.82","20111598"
"4234","サンエー化研","202203","20220516","28674","741","973","1515","35946","19969","2176","5059","55.6","7.82","4.21","11320000"
"4235","ウルトラファブリックス・ホールディングス","202212","20230214","19595","3197","2865","2051","34861","13224","2265","16302","37.9","16.21","6.19","16827200"
"4237","フジプレアム","202203","20220516","19235","704","713","443","17506","8866","2000","5670","50.6","5.07","2.75","29786400"
"4238","ミライアル","202301","20230308","14265","2457","2532","1570","26574","21154","1111","-","79.6","7.62","6.15","10120000"
"4240","クラスターテクノロジー","202203","20220513","905","100","102","114","1635","1434","1240","-","87.7","8.28","7.34","5692800"
"4241","アテクト","202203","20220511","3086","324","348","169","5791","1893","822","3035","32.7","9.39","2.93","4436800"
"4242","タカギセイコー","202203","20220513","47332","2650","2671","1006","38343","9770","2139","8881","25.5","11.54","2.73","2806872"
"4243","ニックス","202209","20221110","4465","200","258","214","5928","4018","468","460","67.8","5.54","3.67","2323000"
"4245","ダイキアクシス","202212","20230214","39478","826","1172","574","31905","9520","2556","13876","29.8","6.25","1.79","13672100"
"4246","ダイキョーニシカワ","202203","20220512","116669","-2632","-985","-2085","156162","74232","5426","40452","47.5","-2.75","-1.32","73896400"
"4247","ポバール興業","202203","20220513","3475","370","380","279","6517","5339","179","20","81.9","5.32","4.38","2634800"
"4248","竹本容器","202212","20230206","14885","836","908","368","18618","11236","803","3649","60.4","3.32","1.96","12529200"
"4249","森六ホールディングス","202203","20220513","128842","2846","2965","4259","137125","70690","1640","26053","51.6","6.11","3.15","16960000"
"4251","恵和","202212","20230214","21102","5569","6202","4860","29332","18907","3871","4642","64.5","29.41","16.73","19257428"
"4255","THECOO","202212","20230210","4279","-212","-210","-488","3004","1187","758","40","39.5","-33.87","-15.68","2073555"
"4256","サインド","202203","20220513","1089","298","274","182","3171","2924","1197","-","92.2","11.12","9.68","5800000"
"4258","網屋","202212","20230214","2986","263","301","229","2795","1420","56","54","50.8","16.04","8.11","4153600"
"4259","エクサウィザーズ","202203","20220511","4810","-201","-97","-137","7865","6590","2274","345","83.8","-3.05","-2.37","83291400"
"4260","ハイブリッドテクノロジーズ","202209","20221114","2408","287","310","249","2965","2125","893","20","71.7","18.48","11.56","11133848"
"4261","アジアクエスト","202212","20230213","2612","367","367","232","2151","1193","409","458","55.5","22.05","11.25","1468800"
"4262","ニフティライフスタイル","202203","20220506","2756","935","913","603","4967","4390","1250","-","88.4","20.52","17.06","6250000"
"4263","サスメド","202206","20220812","316","-229","-217","-233","4943","4850","1853","-","98.1","-7.25","-7.04","16438400"
"4264","セキュア","202212","20230214","3384","-169","-183","-227","1993","842","536","602","42.2","-24.88","-11.42","4720020"
"4265","Institution_for_a_Global_Society","202203","20220511","720","39","21","44","1234","1141","388","-","92.5","5.57","5.11","4489300"
"4267","ライトワークス","202301","20230317","2640","203","200","138","1686","827","142","105","49.1","23.31","10.18","4943600"
"4268","エッジテクノロジー","202204","20220610","2162","210","200","137","858","431","95","67","50.2","49.55","21.32","10656890"
"4270","BeeX","202202","20220414","4354","274","260","190","2591","1273","286","400","49.1","18.98","8.39","2224600"
"4272","日本化薬","202203","20220512","184805","21050","23154","17181","315459","245480","14932","16650","77.8","7.26","5.63","170503570"
"4274","細谷火工","202203","20220512","1794","181","187","126","4219","2793","201","758","66.2","4.57","3.03","4032000"
"4275","カーリットホールディングス","202203","20220513","33894","2506","2742","2336","50078","30903","2099","3067","61.7","7.8","4.62","24050000"
"4284","ソルクシーズ","202212","20230210","13986","1029","1056","564","11455","7012","1494","1171","61.2","8.18","4.96","26820594"
"4286","CLホールディングス","202212","20230214","32055","776","778","364","21322","7919","350","2667","37.1","4.56","2.06","10840000"
"4287","ジャストプランニング","202301","20230314","2007","392","402","206","3736","3386","410","-","90.6","6.17","5.64","12736338"
"4288","アズジェント","202203","20220513","3167","23","78","76","2525","1354","771","200","53.6","5.34","3.22","3815734"
"4290","プレステージ・インターナショナル","202203","20220513","46744","6842","7151","4357","54028","34310","1519","1250","63.5","13.36","8.65","128543900"
"4293","セプテーニ・ホールディングス","202209","20221110","28819","5439","8240","5733","88731","62706","18428","-","70.7","14.13","8.77","211079654"
"4295","フェイス","202203","20220513","15311","-92","136","-333","25291","17117","3218","719","67.7","-1.92","-1.28","13831091"
"4298","プロトコーポレーション","202203","20220513","57446","6422","6622","5880","54525","40362","1849","3004","74","15.42","11.32","41925300"
"4299","ハイマックス","202203","20220513","16681","1716","1719","1213","12257","9510","689","-","77.6","13.38","10.33","12412992"
"4301","アミューズ","202203","20220516","38744","2879","2800","1564","49313","35155","1587","122","71.3","4.51","3.2","18623520"
"4304","Eストアー","202203","20220513","5746","1051","1078","677","8211","2679","768","1901","32.6","26.96","8.05","5636636"
"4307","野村総合研究所","202203","20220427","611634","106218","104671","71445","789655","339360","22414","208216","43","21.33","9.88","593652242"
"4308","Jストリーム","202203","20220427","12409","2054","2052","1309","12440","10009","2182","1","80.5","13.87","10.79","28057400"
"4310","ドリームインキュベータ","202203","20220513","35566","-168","44","7","33574","9779","5014","3143","29.1","0.07","0.02","10465100"
"4312","サイバネットシステム","202212","20230209","19936","1757","1693","999","24155","14573","995","-","60.3","6.66","4.21","32076000"
"4316","ビーマップ","202203","20220513","1021","-144","-148","-155","941","612","930","-","65","-21.91","-13.75","3235000"
"4317","レイ","202202","20220414","11051","730","837","544","9794","5597","471","1545","57.1","10.14","5.9","14328976"
"4318","クイック","202203","20220428","23590","3345","3423","2248","18002","12098","351","141","67.2","19.73","13.58","19098576"
"4319","TAC","202203","20220513","20471","413","442","444","21384","6166","940","5095","28.8","7.42","2.12","18504000"
"4320","CEホールディングス","202209","20221111","13702","1031","1044","588","10905","5625","1198","1889","51.6","10.99","5.77","15347600"
"4323","日本システム技術","202203","20220513","21399","2000","2052","1330","15539","9160","1535","8","58.9","16.65","9.37","12418460"
"4324","電通グループ","202212","20230214","1243883","117617","100908","59847","3741427","880267","74609","532429","23.5","6.94","1.6","270165354"
"4326","インテージホールディングス","202206","20220805","60232","4649","4952","3418","45633","30467","2378","622","66.8","11.31","7.51","40426000"
"4327","日本エス・エイチ・エル","202209","20221031","3463","1555","1556","1066","7028","5808","656","-","82.6","18.52","15.62","6141158"
"4331","テイクアンドギヴ・ニーズ","202203","20220513","39482","2089","1548","1877","54032","11843","2000","28329","21.9","19.68","3.66","13059330"
"4333","東邦システムサイエンス","202203","20220513","14211","1327","1337","942","12131","8122","526","-","67","12","8.01","13865992"
"4334","ユークス","202301","20230310","4299","948","1092","883","4759","4014","412","-","84.3","23.7","19.86","11096000"
"4335","アイ・ピー・エス","202206","20220810","2728","241","241","177","1901","1163","255","-","61.2","15.69","9.29","2466000"
"4337","ぴあ","202203","20220512","25829","-833","-845","-1122","64598","2807","5942","25040","4.3","-48.15","-1.91","15358813"
"4341","西菱電機","202203","20220513","17222","276","303","198","10941","5560","523","200","50.8","3.6","1.78","3500000"
"4343","イオンファンタジー","202202","20220408","60170","-3408","-3385","-4507","51235","11693","1806","24017","22.8","-31.75","-8.57","19768825"
"4344","ソースネクスト","202203","20220512","10307","-2259","-2128","-3502","19981","9583","3695","7940","48","-32.13","-17.37","136349600"
"4345","シーティーエス","202203","20220428","10542","2628","2535","1731","14361","9743","425","-","67.8","18.68","12.6","43400000"
"4346","ネクシィーズグループ","202209","20221114","19214","382","377","185","13615","1195","1210","5913","8.8","12.34","1.31","13471240"
"4347","ブロードメディア","202203","20220427","12339","876","935","1011","8940","3467","600","727","38.8","32.53","12.69","7914732"
"4348","インフォコム","202203","20220427","64586","10098","10196","6912","57531","44186","1590","-","76.8","16.13","12.13","57600000"
"4350","メディカルシステムネットワーク","202203","20220506","106685","3852","4313","2394","62941","13269","2128","28663","21.1","19.6","3.76","30642600"
"4351","山田債権回収管理総合事務所","202212","20230208","2388","54","85","76","5174","3183","1084","750","61.5","2.39","1.34","4268000"
"4355","ロングライフホールディング","202210","20221214","12599","18","8","-132","15927","97","100","7740","0.6","-10.34","-0.78","11190400"
"4356","応用技術","202212","20230208","7075","956","1028","736","5742","4409","600","-","76.8","18.43","13.72","5716800"
"4360","マナック・ケミカル・パートナーズ","202203","20220513","10703","740","881","712","13585","10293","300","291","75.8","6.92","5.24","8625000"
"4361","川口化学工業","202211","20230113","8368","293","302","218","8321","2411","610","3025","29","9.35","2.69","1220000"
"4362","日本精化","202203","20220428","33448","4881","5127","3472","54807","43732","5933","-","79.8","8.09","6.43","25372447"
"4365","松本油脂製薬","202203","20220513","37248","5758","7738","5491","76207","63237","6090","-","83","9.04","7.58","4512651"
"4366","ダイトーケミックス","202203","20220510","16134","1763","1751","1583","21535","14284","2901","3967","66.3","11.71","7.84","11200000"
"4367","広栄化学","202203","20220512","17296","508","802","940","34706","21934","2343","5250","63.2","4.27","2.82","4900000"
"4368","扶桑化学工業","202203","20220509","55760","15034","15509","10890","92009","75303","4334","-","81.8","15.4","12.96","35511000"
"4369","トリケミカル研究所","202301","20230315","13803","3504","6186","4832","32115","25876","3278","2698","80.6","20.48","16","32498640"
"4370","モビルス","202208","20221014","1569","181","173","126","2649","2188","428","100","82.6","7.05","5.69","5958794"
"4371","コアコンセプト・テクノロジー","202212","20230213","12113","1120","1139","836","5114","2845","533","171","55.6","34.8","18.81","17167200"
"4372","ユミルリンク","202212","20230210","2181","520","520","359","2376","1936","273","-","81.5","19.77","16.05","3892600"
"4373","シンプレクス・ホールディングス","202203","20220428","30579","6362","6191","4204","66934","37294","814","19087","55.7","12.23","6.54","57041050"
"4374","ROBOT_PAYMENT","202212","20230214","1731","-58","-59","-29","4641","554","222","38","11.9","-5.07","-0.61","3761566"
"4375","セーフィー","202212","20230213","9252","-1283","-1298","-1434","12725","11236","5476","125","88.3","-12.76","-11.27","53963476"
"4376","くふうカンパニー","202209","20221114","18625","1558","1479","452","21329","10184","13","5863","47.7","4.44","2.12","58299259"
"4377","ワンキャリア","202212","20230214","2839","619","622","446","3316","2295","10","170","69.2","21.53","14.72","5760600"
"4378","CINC","202210","20221209","1805","292","291","201","2025","1497","475","151","73.9","14.4","10.27","3366010"
"4379","Photosynth","202212","20230213","1994","-609","-600","-578","3471","2101","49","373","60.5","-24.38","-14.86","15498500"
"4380","Mマート","202301","20230317","986","349","350","235","1901","1294","318","-","68.1","19.57","13.36","4890800"
"4381","ビープラッツ","202203","20220513","808","18","14","10","964","435","519","422","45.1","2.4","1.05","2394715"
"4382","HEROZ","202204","20220610","1482","34","87","49","6635","6440","10","-","97.1","0.76","0.74","15027382"
"4384","ラクスル","202207","20220914","33980","462","-167","1021","28633","8382","2694","13935","29.3","12.18","3.57","58377720"
"4385","メルカリ","202206","20220808","147049","-3715","-3896","-7569","339862","36758","44628","131351","10.8","-19.97","-2.51","161508084"
"4386","SIGグループ","202203","20220512","4916","378","391","274","3160","1689","507","629","53.4","16.22","8.67","5929980"
"4387","ZUU","202203","20220513","3376","-244","-242","-230","2006","1103","879","19","55","-19.04","-11.33","4749860"
"4388","エーアイ","202203","20220513","756","112","109","83","1354","1279","151","-","94.5","6.61","6.13","5168000"
"4389","プロパティデータバンク","202203","20220428","2249","649","652","448","3192","2497","332","-","78.2","19.46","15.14","5932500"
"4390","IPS","202203","20220513","10728","2456","2897","1888","18420","7310","1084","3048","39.7","29.93","12.51","12440800"
"4391","ロジザード","202206","20220812","1787","352","352","237","1830","1537","301","-","84","16.73","13.97","3275000"
"4392","FIG","202212","20230209","12914","932","964","685","21463","9577","2030","8553","44.6","7.48","3.39","31300315"
"4393","バンク・オブ・イノベーション","202209","20221114","2428","-1008","-1015","-838","2039","382","560","1279","18.7","-151.81","-37.18","4003000"
"4394","エクスモーション","202211","20230113","1048","184","186","134","1711","1589","449","-","92.9","8.69","8.08","2971300"
"4395","アクリート","202212","20230214","6190","1172","1176","851","4921","1653","361","1344","33.6","52.05","22.9","5971500"
"4396","システムサポート","202206","20220810","16198","1196","1190","785","7815","3421","723","1148","43.8","24.48","10.84","10380000"
"4397","チームスピリット","202208","20221013","3261","-118","-126","-90","3364","1534","813","-","45.6","-5.79","-2.75","16408100"
"4398","ブロードバンドセキュリティ","202206","20220812","5216","509","497","352","3148","1237","293","368","39.3","31.5","11.87","4567474"
"4401","ADEKA","202203","20220513","363034","34927","35770","23744","475304","249969","23048","55062","52.6","9.93","5.2","103768142"
"4403","日油","202203","20220511","192642","35595","37624","26690","289630","220929","17742","5407","76.3","12.6","9.51","82841376"
"4404","ミヨシ油脂","202212","20230213","52743","-1604","-1333","-268","58669","24522","9015","12330","41.8","-1.08","-0.48","10306895"
"4406","新日本理化","202203","20220512","32358","1202","1589","811","40086","15937","5660","9955","39.8","5.21","2.13","37286906"
"4409","東邦化学工業","202203","20220513","49887","1345","1933","1395","66489","16816","1755","26643","25.3","8.76","2.23","21350000"
"4410","ハリマ化成グループ","202203","20220428","76093","3250","3433","1746","78905","36741","10012","20697","46.6","4.9","2.35","26080396"
"4412","サイエンスアーツ","202208","20221014","659","11","9","9","801","570","50","-","71.2","2.24","1.56","6715200"
"4413","ボードルア","202202","20220412","3922","679","688","542","3901","2905","592","325","74.5","25.92","17.2","7920500"
"4414","フレクト","202203","20220512","3642","256","240","266","2692","1291","683","691","48","34.68","12.69","2975360"
"4415","ブロードエンタープライズ","202212","20230214","2992","289","125","77","5640","514","751","1721","9.1","5.84","1.53","2920300"
"4416","True_Data","202203","20220513","1313","22","22","15","1297","925","1346","93","71.3","2.05","1.37","4710200"
"4417","グローバルセキュリティエキスパート","202203","20220513","4391","439","414","261","3482","1565","485","277","44.9","20.82","8.9","7111200"
"4418","JDSC","202206","20220812","1413","-54","-79","-82","3729","3587","100","-","96.2","-2.47","-2.37","13231700"
"4419","Finatextホールディングス","202203","20220513","2724","-542","-588","-669","15854","8587","1847","137","54.2","-9.33","-4.69","49381156"
