"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230324","1955.32","-2","-0.1","1957.32","375667131475275","-383539810247","376050671285522","17400052407377","19212517528149","2159","156496428345"
"0002","大型","20230324","1864.75","-1.99","-0.11","1866.74","236672506235337","-252661254856","236925167490194","236672506235337","12691933671577","100","78698057073"
"0003","中型","20230324","2191.37","-2.9","-0.13","2194.27","104743701386430","-138353659978","104882055046408","26317512911163","4779819616450","398","50696754228"
"0004","小型","20230324","3521.83","0.77","0.02","3521.06","34250923853507","7475104588","34243448748919","2062066457165","972531435045","1661","27101617045"
"0028","TOPIX Core30","20230324","962.1","0.37","0.04","961.73","141376651435833","54344105411","141322307330422","471255504786109","146945764951332","30","38856025871"
"0029","TOPIX Large70","20230324","1960.34","-6.31","-0.32","1966.65","95295854799505","-307005360267","95602860159772","136136935427864","48611982141852","70","39842031202"
"002A","TOPIX 100","20230324","1293.52","-1.38","-0.11","1294.9","236672506235337","-252661254856","236925167490194","236672506235337","182967259298811","100","78698057073"
"002B","TOPIX Mid400","20230324","2082.55","-2.75","-0.13","2085.3","104743701386430","-138353659978","104882055046408","26317512911163","50295922107288","398","50696754228"
"002C","TOPIX 500","20230324","1516.99","-1.73","-0.11","1518.72","341416207621768","-391014914834","341807222536602","68557471409994","225062341307281","498","129394811301"
"002D","TOPIX Small","20230324","2385.58","0.53","0.02","2385.05","34250923853507","7475104588","34243448748919","2062066457165","14357508100731","1661","27101617045"
"002E","TOPIX 1000","20230324","1846.24","-1.91","-0.1","1848.15","364077072296275","-377003554931","364454075851206","36553922921313","197199553858916","996","144465921841"
"002F","TOPIX Small500","20230324","1050.18","0.65","0.06","1049.53","22660864674507","14011359903","22646853314604","4550374432632","21578060416237","498","15071110540"
"0040","水産・農林業","20230324","468.47","1.14","0.24","467.33","334425421716","812174148","333613247569","4180317771454","71386663524","8","284499648"
"0041","鉱業","20230324","404.39","-5.22","-1.27","409.61","1118168045986","-14444061216","1132612107202","18636134099774","276509255750","6","765476235"
"0042","建設業","20230324","1183.52","-0.47","-0.04","1183.99","7468672458260","-2937124710","7471609582970","7779867144021","631055453179","96","4562150882"
"0043","食料品","20230324","1830.82","3.57","0.2","1827.25","13344195619021","26058357346","13318137261675","15699053669437","728863687347","85","4254794668"
"0044","繊維製品","20230324","632.88","1.2","0.19","631.68","1780694582695","3383408544","1777311174151","4565883545372","281363170727","39","1674869980"
"0045","パルプ・紙","20230324","443.77","1.26","0.28","442.51","672734107164","1913720344","670820386820","5606117559699","151596011460","12","942801682"
"0046","化学","20230324","2111.2","5.09","0.24","2106.11","23663772284713","57037389402","23606734895311","15989035327509","11208681109414","148","9112687373"
"0047","医薬品","20230324","3343.69","10.91","0.33","3332.78","20831731111714","67999814430","20763731297284","59519231747755","6230161884824","35","6133244112"
"0048","石油・石炭製品","20230324","1086.8","3.31","0.31","1083.49","1825846499860","5564501876","1820281997984","20287183331777","168001590012","9","2804227317"
"0049","ゴム製品","20230324","3597.5","-9.57","-0.27","3607.07","2869447880714","-7626115524","2877073996238","26085889824676","79762165918","11","816459034"
"004A","ガラス・土石製品","20230324","1116.54","-1.6","-0.14","1118.14","2735316622599","-3916469106","2739233091705","8547864445621","244980429869","32","1052494264"
"004B","鉄鋼","20230324","604.99","-3.4","-0.56","608.39","3462182013913","-19480869823","3481662883736","11168329077139","572274951614","31","1671198575"
"004C","非鉄金属","20230324","1064.59","-5.67","-0.53","1070.26","2764290024511","-14730710178","2779020734689","12018652280483","259657500651","23","1357371189"
"004D","金属製品","20230324","1177.67","-3.42","-0.29","1181.09","2165778310966","-6290671798","2172068982764","5156615026109","183903065681","42","1250634581"
"004E","機械","20230324","2237.62","-4.88","-0.22","2242.5","20180810653686","-44077047640","20224887701326","14312631669281","901888254289","141","5749203210"
"004F","電気機器","20230324","3492.38","5.77","0.17","3486.61","67762627488673","111939704263","67650687784409","42887738916881","1940298512427","158","14178000125"
"0050","輸送用機器","20230324","3073.3","-8.45","-0.27","3081.75","27338089018311","-75146702703","27413235721014","47961559681247","889535905680","57","14311078112"
"0051","精密機器","20230324","9300.02","-4.92","-0.05","9304.94","9620977926038","-5086908849","9626064834887","29154478563753","103451143236","33","2719045477"
"0052","その他製品","20230324","3485.36","-4.45","-0.13","3489.81","8474768907471","-10838509105","8485607416576","16617193936217","243153675061","51","2260504249"
"0053","電気・ガス業","20230324","354.52","2.21","0.63","352.31","4595780828021","28638512549","4567142315472","20889912854642","1296332343471","22","4333838099"
"0054","陸運業","20230324","1839.48","0.08","0","1839.4","11134473929314","471797641","11134002131673","26510652212653","605305029428","42","3327690353"
"0055","海運業","20230324","1186.55","10.64","0.9","1175.91","2498668649114","22414082146","2476254566968","31233358113925","210581864173","8","792927774"
"0056","空運業","20230324","215.44","0.57","0.27","214.87","1835703343003","4818146624","1830885196379","61190111433442","852090106403","3","693384680"
"0057","倉庫・運輸関連業","20230324","2149.15","-10.84","-0.5","2159.99","544657318347","-2747906476","547405224822","2475715083394","25342949632","22","268584974"
"0058","情報・通信業","20230324","4726.33","-7.82","-0.17","4734.15","32986267363159","-54594778420","33040862141578","13918256271375","697925372661","237","13326021067"
"0059","卸売業","20230324","2357.08","-13.68","-0.58","2370.76","22727118616557","-131819550832","22858938167389","12986924923747","9642045490297","175","7910949700"
"005A","小売業","20230324","1397.85","1.3","0.09","1396.55","17076416424881","15902295892","17060514128990","8668231687757","12216161133693","197","6643492370"
"005B","銀行業","20230324","184.33","-1.43","-0.77","185.76","22413037707891","-174186770041","22587224477932","28370933807457","121591277538113","79","19531006964"
"005C","証券、商品先物取引業","20230324","360.16","-2.48","-0.68","362.64","2819532330602","-19431453728","2838963784330","12258836220009","7828565568527","23","4397568650"
