"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230810","2303.51","20.94","0.92","2282.57","438015574582011","3980871044359","434034703537652","20297292612697","19015152071773","2158","199092337052"
"0002","大型","20230810","2212.09","17.9","0.82","2194.19","277746919464341","2247692199753","275499227264588","277746919464341","12555868791070","100","121292766745"
"0003","中型","20230810","2581.91","30.26","1.19","2551.65","122445642765579","1434932731796","121010710033783","30765236875774","4742444207612","398","51401981863"
"0004","小型","20230810","3947.64","31.13","0.79","3916.51","37823012352091","298246112810","37524766239281","2278494720006","958116583587","1660","26397588444"
"0028","TOPIX Core30","20230810","1143.69","8.28","0.73","1135.41","166662703362661","1206196739498","165456506623163","555542344542203","145724194121760","30","81343371746"
"0029","TOPIX Large70","20230810","2318.57","21.74","0.95","2296.83","111084216101680","1041495460255","110042720641424","158691737288114","47910621253685","70","39949394999"
"002A","TOPIX 100","20230810","1534.46","12.41","0.82","1522.05","277746919464341","2247692199753","275499227264588","277746919464341","181005744299027","100","121292766745"
"002B","TOPIX Mid400","20230810","2453.69","28.75","1.19","2424.94","122445642765579","1434932731796","121010710033783","30765236875774","49902637255041","398","51401981863"
"002C","TOPIX 500","20230810","1795.8","16.52","0.93","1779.28","400192562229919","3682624931549","396509937298371","80359952255004","222849068832298","498","172694748609"
"002D","TOPIX Small","20230810","2674.01","21.09","0.79","2652.92","37823012352091","298246112810","37524766239281","2278494720006","14144701255495","1660","26397588444"
"002E","TOPIX 1000","20230810","2178.6","20.09","0.93","2158.51","425165623449248","3921265846907","421244357602341","42816276278877","195155230373328","993","187533500280"
"002F","TOPIX Small500","20230810","1179.37","11.27","0.96","1168.1","24973061219328","238640915358","24734420303970","5045062872592","21174844522089","495","14838751671"
"0040","水産・農林業","20230810","536.04","6.4","1.21","529.64","382025406363","4561249840","377464156523","4775317579542","71268254593","8","283874093"
"0041","鉱業","20230810","601.9","78.21","14.93","523.69","1661529375234","215892796325","1445636578910","27692156253903","276046408423","6","758998021"
"0042","建設業","20230810","1465.42","19.19","1.33","1446.23","9135402799337","119634784248","9015768015089","9516044582643","623396467497","96","4519285070"
"0043","食料品","20230810","2063.78","25.62","1.26","2038.16","14679032877976","182220161976","14496812716000","17068642881368","711267900084","86","4196468417"
"0044","繊維製品","20230810","677.34","11.64","1.75","665.7","1882353249557","32348423576","1850004825980","4826546793735","277905114716","39","1629040748"
"0045","パルプ・紙","20230810","498.79","10.62","2.18","488.17","751659281562","15994578535","735664703027","6263827346350","150697057473","12","936373311"
"0046","化学","20230810","2378.56","33.82","1.44","2344.74","26560275224157","377610149571","26182665074586","17825688069904","11166556563731","149","10028620201"
"0047","医薬品","20230810","3663.37","55.06","1.53","3608.31","22718924574815","341451398117","22377473176698","63108123818931","6201647013112","36","6118683088"
"0048","石油・石炭製品","20230810","1254.79","60.5","5.07","1194.29","2027006670278","97741049030","1929265621248","22522296336426","161541319014","9","2654034907"
"0049","ゴム製品","20230810","4042.24","28.94","0.72","4013.3","2989948727573","21405254335","2968543473238","27181352068848","73967558610","11","768636510"
"004A","ガラス・土石製品","20230810","1238.09","16.73","1.37","1221.36","2977021080452","40236538750","2936784541702","9303190876412","240451919169","32","1060204119"
"004B","鉄鋼","20230810","753.32","-0.24","-0.03","753.56","4294808101026","-1347064326","4296155165352","13854219680730","570113907126","31","1639407712"
"004C","非鉄金属","20230810","1119.44","1.63","0.15","1117.81","2903686371223","4225761420","2899460609803","12624723353142","259387388978","23","1335257766"
"004D","金属製品","20230810","1253.42","9.88","0.79","1243.54","2240337025629","17658639378","2222678386252","5334135775308","178737648697","42","1263348842"
"004E","機械","20230810","2671.23","32.75","1.24","2638.48","23987804947268","294068748997","23693736198271","16892820385400","898005575636","142","5879822408"
"004F","電気機器","20230810","3954.04","-9.35","-0.24","3963.39","76337768773057","-180505987905","76518274760962","48934467162216","1930628950790","156","14732501369"
"0050","輸送用機器","20230810","4064.61","75.55","1.89","3989.06","36048032128144","670021661355","35378010466788","63242161628322","886875655320","57","14261106115"
"0051","精密機器","20230810","10394.51","-275.56","-2.58","10670.07","10618583866876","-281497128737","10900080995613","32177526869321","102155659619","33","2649370795"
"0052","その他製品","20230810","4199.33","51.43","1.24","4147.9","10034162291166","122888196315","9911274094851","20068324582332","238946588693","50","2450501456"
"0053","電気・ガス業","20230810","450.33","1.8","0.4","448.53","5832254447007","23319964129","5808934482877","26510247486395","1295104677379","22","4329392245"
"0054","陸運業","20230810","2161.23","34.42","1.62","2126.81","13097735317141","208619314123","12889116003019","31185084088432","606030287448","42","3330986964"
