"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230425","2042.15","4.81","0.24","2037.34","391951556667313","923236737548","391028319929764","18162722737132","19193119843731","2158","158949758849"
"0002","大型","20230425","1949.69","6.06","0.31","1943.63","247241038012710","769612010733","246471426001977","247241038012710","12681015749731","100","80847924245"
"0003","中型","20230425","2291.75","1.89","0.08","2289.86","109481112082819","90092678151","109391019404667","27507817106236","4777188585787","398","51012423454"
"0004","小型","20230425","3635.06","6.55","0.18","3628.51","35229406571784","63532048664","35165874523120","2122253407939","969154876475","1660","27089411149"
"0028","TOPIX Core30","20230425","996.71","3.96","0.4","992.75","146366421536501","582006586417","145784414950084","487888071788338","146848873146703","30","40346275166"
"0029","TOPIX Large70","20230425","2077.5","3.86","0.19","2073.64","100874616476209","187605424315","100687011051893","144106594966013","48555772604454","70","40501649080"
"002A","TOPIX 100","20230425","1352.45","4.21","0.31","1348.24","247241038012710","769612010733","246471426001977","247241038012710","182809866242002","100","80847924245"
"002B","TOPIX Mid400","20230425","2177.94","1.79","0.08","2176.15","109481112082819","90092678151","109391019404667","27507817106236","50268236938417","398","51012423454"
"002C","TOPIX 500","20230425","1586.21","3.83","0.24","1582.38","356722150095529","859704688884","355862445406645","71630953834444","224890133967636","498","131860347700"
"002D","TOPIX Small","20230425","2462.28","4.44","0.18","2457.84","35229406571784","63532048664","35165874523120","2122253407939","14307659874471","1660","27089411149"
"002E","TOPIX 1000","20230425","1928.92","4.55","0.24","1924.37","380039894792340","897587419471","379142307372868","38194964300738","197021943135967","995","146909442050"
"002F","TOPIX Small500","20230425","1083.84","1.76","0.16","1082.08","23317744696811","37882730588","23279861966224","4691699134167","21513993799078","497","15049094351"
"0040","水産・農林業","20230425","483.89","-0.36","-0.07","484.25","345430837033","-257585678","345688422711","4317885462913","71386663524","8","284499648"
"0041","鉱業","20230425","428.29","1.1","0.26","427.19","1184255956360","3038257067","1181217699293","19737599272663","276509255750","6","765476235"
"0042","建設業","20230425","1248.45","8.55","0.69","1239.9","7869263408225","53916495045","7815346913180","8197149383567","630321323155","96","4560392413"
"0043","食料品","20230425","1942.46","9.29","0.48","1933.17","14157398440404","67643131638","14089755308766","16655762871063","728840260867","85","4335879262"
"0044","繊維製品","20230425","656.62","-0.29","-0.04","656.91","1847494705406","-817874592","1848312579998","4737165911299","281363167358","39","1674868867"
"0045","パルプ・紙","20230425","455.82","1.71","0.38","454.11","691004859012","2587479969","688417379042","5758373825099","151596011460","12","942801682"
"0046","化学","20230425","2177.11","-0.37","-0.02","2177.48","24409011047964","-4205002861","24413216050825","16381886609372","11211681355387","149","10010113353"
"0047","医薬品","20230425","3532.59","3.5","0.1","3529.09","21994342077114","21750942136","21972591134978","62840977363183","6226127364860","35","6130940717"
"0048","石油・石炭製品","20230425","1108.93","1.15","0.1","1107.78","1793452330737","1867035080","1791585295657","19927248119298","161728149062","9","2656153317"
"0049","ゴム製品","20230425","3768.11","8.46","0.23","3759.65","3005524717860","6749204100","2998775513760","27322951980549","79762165918","11","816459034"
"004A","ガラス・土石製品","20230425","1147.86","-1.13","-0.1","1148.99","2812026182215","-2764407829","2814790590044","8787581819421","244980429869","32","1052494264"
"004B","鉄鋼","20230425","589.11","-18.84","-3.1","607.95","3371350058938","-107785146727","3479135205665","10875322770768","572274951614","31","1671198575"
"004C","非鉄金属","20230425","1087.45","-8.07","-0.74","1095.52","2823657857098","-20929622189","2844587479287","12276773291729","259657500651","23","1357371189"
"004D","金属製品","20230425","1186.81","0.37","0.03","1186.44","2179666247655","671633205","2178994614450","5189681542036","183658250225","42","1298471398"
"004E","機械","20230425","2315.95","2.79","0.12","2313.16","20872042177988","25099970899","20846942207089","14802866792899","901231804520","141","5926970676"
"004F","電気機器","20230425","3585.9","8.73","0.24","3577.17","69515098158477","169253644700","69345844513777","44277132585017","1938567067715","157","14853013211"
"0050","輸送用機器","20230425","3154.2","3.43","0.11","3150.77","28057709413711","30494039982","28027215373729","49224051603002","889535969419","57","14311080362"
"0051","精密機器","20230425","9769.82","37","0.38","9732.82","10107058677553","38277013536","10068781664017","30627450538041","103451827015","33","2719063637"
"0052","その他製品","20230425","3799.43","19.94","0.53","3779.49","9237242892475","48464969966","9188777922508","18112240965637","243121968723","51","2518306196"
"0053","電気・ガス業","20230425","373.22","-1.88","-0.5","375.1","4838294987427","-24272991714","4862567979141","21992249942852","1296349415578","22","4333870739"
"0054","陸運業","20230425","2001.76","9.84","0.49","1991.92","12116771578251","59555737574","12057215840678","28849456138693","605305623262","42","3327695953"
"0055","海運業","20230425","1160.9","-9.79","-0.84","1170.69","2444652738650","-20600417850","2465253156500","30558159233125","210581864173","8","792927774"
"0056","空運業","20230425","225.4","-1.57","-0.69","226.97","1920579562312","-13383180473","1933962742785","64019318743725","852090106403","3","693384680"
"0057","倉庫・運輸関連業","20230425","2274.71","14.59","0.65","2260.12","576479843463","3697953621","572781889842","2620362924833","25342949632","22","268584974"
"0058","情報・通信業","20230425","4847.97","10.36","0.21","4837.61","33767390712607","72169982946","33695220729661","14308216403647","696526753070","236","13329826259"
"0059","卸売業","20230425","2567.56","5.27","0.21","2562.29","24703792830277","50705696270","24653087134007","14116453045872","9621522463596","175","7909851861"
"005A","小売業","20230425","1488.82","3","0.2","1485.82","18186387337200","36553049767","18149834287433","9231668699086","12215335382225","197","6643829135"
"005B","銀行業","20230425","196.15","1.59","0.82","194.56","23750487321913","193168216115","23557319105798","30063908002422","121080863684255","79","19416125079"
"005C","証券、商品先物取引業","20230425","373.79","4.97","1.35","368.82","2926239537342","38896942975","2887342594367","12722780597140","7828668978927","23","4397582930"
"005D","保険業","20230425","1332.6","6.07","0.46","1326.53","8649098314983","39447701817","8609650613167","108113728937292","6490374358998","8","3055951007"
