"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20240131","2551.1","24.17","0.96","2526.93","483939649828219","4448138177777","479491511650443","22487901943690","18969836529463","2152","206745439642"
"0002","大型","20240131","2501.34","26.8","1.08","2474.54","314811436154346","3307026261811","311504409892535","317991349650854","12585725585873","99","123732913425"
"0003","中型","20240131","2735.64","19.78","0.73","2715.86","129155795162445","828691018740","128327104143706","32369873474297","4721232472256","399","56806088591"
"0004","小型","20240131","4303.52","29.92","0.7","4273.6","39972418511428","312420897226","39659997614202","2416712122819","928829996882","1654","26206437626"
"0028","TOPIX Core30","20240131","1311.46","12.94","1","1298.52","190727154960587","1883682341949","188843472618638","635757183201957","145430658620918","30","82939458446"
"0029","TOPIX Large70","20240131","2566.62","30.81","1.21","2535.81","124084281193759","1423343919862","122660937273897","179832291585158","48345458905931","69","40793454979"
"002A","TOPIX 100","20240131","1735.11","18.59","1.08","1716.52","314811436154346","3307026261811","311504409892535","317991349650854","181436160660941","99","123732913425"
"002B","TOPIX Mid400","20240131","2599.78","18.8","0.73","2580.98","129155795162445","828691018740","128327104143706","32369873474297","49679435570704","399","56806088591"
"002C","TOPIX 500","20240131","1991.63","19.32","0.98","1972.31","443967231316791","4135717280551","439831514036240","89150046449155","222917066065792","498","180539002016"
"002D","TOPIX Small","20240131","2915.07","20.27","0.7","2894.8","39972418511428","312420897226","39659997614202","2416712122819","13712342577203","1654","26206437626"
"002E","TOPIX 1000","20240131","2412.34","22.89","0.96","2389.45","470626298452427","4306326146943","466319972305484","47204242572962","195090966092544","997","195799167367"
"002F","TOPIX Small500","20240131","1272.28","7.63","0.6","1264.65","26659067135635","170608866392","26488458269244","5342498423975","20953801578317","499","15260165351"
"0040","水産・農林業","20240131","554.75","5.5","1","549.25","391063105883","2885246884","388177858999","4888288823534","70493843833","8","281341718"
"0041","鉱業","20240131","603.22","-2.86","-0.47","606.08","1676460819245","-3330008777","1679790828022","27941013654076","277916955273","6","763377686"
"0042","建設業","20240131","1636.6","22","1.36","1614.6","10198469912555","119717805955","10078752106600","10735231486900","623147931778","95","4506299980"
"0043","食料品","20240131","2246.64","18.49","0.83","2228.15","16001759218789","127286645123","15874472573666","18606696766034","712254152885","86","4412043425"
"0044","繊維製品","20240131","661.44","7.78","1.19","653.66","1843183705759","16188584266","1826995121493","4726112066049","278664064731","39","1593686961"
"0045","パルプ・紙","20240131","536.65","6.86","1.29","529.79","793897195041","7624679093","786272515948","7217247227646","147934698582","11","917510563"
"0046","化学","20240131","2507.5","15.03","0.6","2492.47","28531884285730","158744468477","28373139817253","19021256190487","11378633867205","150","10340453189"
"0047","医薬品","20240131","3576.32","30.49","0.86","3545.83","22103899251854","187883959707","21916015292147","59740268248254","6180623550486","37","6064994750"
"0048","石油・石炭製品","20240131","1481.36","-9.06","-0.61","1490.42","2223746221688","-14866436856","2238612658544","24708291352090","150115413472","9","3111373589"
"0049","ゴム製品","20240131","4675.62","28.14","0.61","4647.48","3436332390585","22587426261","3413744964324","31239385368951","73494641695","11","763254837"
"004A","ガラス・土石製品","20240131","1348.21","14.79","1.11","1333.42","3253047358623","30850727156","3222196631466","10165772995695","241286679493","32","1068511955"
"004B","鉄鋼","20240131","815.44","8.35","1.03","807.09","4716100662565","48929937258","4667170725307","15213227943759","578353902084","31","1729754587"
"004C","非鉄金属","20240131","1190.2","15.58","1.33","1174.62","3215814373096","40194782599","3175619590496","13981801622155","270191692956","23","1377323973"
