"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20240215","2591.85","7.26","0.28","2584.59","491674264152281","1376473278317","490297790873964","22847317107448","18970011260017","2152","206746788801"
"0002","大型","20240215","2571.54","12.34","0.48","2559.2","323647259901211","1553196667972","322094063233239","326916424142638","12585725585873","99","123732913425"
"0003","中型","20240215","2722.92","0.31","0.01","2722.61","128555494749809","14657498463","128540837251346","32219422243060","4721232472256","399","56806088591"
"0004","小型","20240215","4249.12","-20.6","-0.48","4269.72","39471509501261","-191380888118","39662890389379","2386427418456","928933576329","1654","26207786785"
"0028","TOPIX Core30","20240215","1363.47","6.39","0.47","1357.08","198290863453458","929343733992","197361519719467","660969544844861","145430658620918","30","82939458446"
"0029","TOPIX Large70","20240215","2592.93","12.9","0.5","2580.03","125356396447753","623852933980","124732543513773","181675936880802","48345458905931","69","40793454979"
"002A","TOPIX 100","20240215","1783.81","8.56","0.48","1775.25","323647259901211","1553196667972","322094063233239","326916424142638","181436160660941","99","123732913425"
"002B","TOPIX Mid400","20240215","2587.7","0.29","0.01","2587.41","128555494749809","14657498463","128540837251346","32219422243060","49679435570704","399","56806088591"
"002C","TOPIX 500","20240215","2028.57","7.03","0.35","2021.54","452202754651021","1567854166435","450634900484585","90803765994181","222917066065792","498","180539002016"
"002D","TOPIX Small","20240215","2878.22","-13.95","-0.48","2892.17","39471509501261","-191380888118","39662890389379","2386427418456","13713871723407","1654","26207786785"
"002E","TOPIX 1000","20240215","2453.15","7.48","0.31","2445.67","478586441733116","1459158114228","477127283618888","48002652129701","195090965862297","997","195799166469"
"002F","TOPIX Small500","20240215","1259.14","-5.18","-0.41","1264.32","26383687082095","-108696052207","26492383134302","5287312040500","20953801143325","499","15260164453"
"0040","水産・農林業","20240215","575.23","-3.36","-0.58","578.59","405500522478","-2368294886","407868817364","5068756530974","70493843833","8","281341718"
"0041","鉱業","20240215","575.48","-10.86","-1.85","586.34","1599356476973","-30177569244","1629534046217","26655941282885","277916955273","6","763377686"
"0042","建設業","20240215","1573.01","-10.56","-0.67","1583.57","9802151194686","-65832201619","9867983396305","10318053889143","623147931778","95","4506299980"
"0043","食料品","20240215","2208.21","-19.57","-0.88","2227.78","15728100102794","-139337671084","15867437773877","18288488491621","712254132106","86","4412042594"
"0044","繊維製品","20240215","614.98","-8.43","-1.35","623.41","1713718027610","-23508717497","1737226745107","4394148788743","278664064731","39","1593686961"
"0045","パルプ・紙","20240215","505.91","-7.91","-1.54","513.82","748420037005","-11694628145","760114665150","6803818518229","147934698582","11","917510563"
"0046","化学","20240215","2509.21","12.7","0.51","2496.51","28551353127819","144516444456","28406836683363","19034235418546","11378633867205","150","10340453189"
"0047","医薬品","20240215","3601.66","-22.5","-0.62","3624.16","22260501046860","-139047505164","22399548552024","60163516342865","6180623550486","37","6064994750"
"0048","石油・石炭製品","20240215","1549.52","29.07","1.91","1520.45","2326069881885","43636053461","2282433828424","25845220909832","150115413472","9","3111373589"
"0049","ゴム製品","20240215","4721.16","49.4","1.06","4671.76","3469798863986","36304941745","3433493922241","31543626036240","73494641695","11","763254837"
"004A","ガラス・土石製品","20240215","1358.13","-2.67","-0.2","1360.8","3276977342952","-6460672870","3283438015822","10240554196726","241286679493","32","1068511955"
"004B","鉄鋼","20240215","789.64","4.14","0.53","785.5","4566923873772","23940577430","4542983296342","14732012496039","578353902084","31","1729754587"
"004C","非鉄金属","20240215","1216.48","-1.84","-0.15","1218.32","3286824750093","-4979522900","3291804272993","14290542391710","270191692956","23","1377323973"
"004D","金属製品","20240215","1452.92","6.34","0.44","1446.58","2623872517168","11452763842","2612419753326","6247315517068","180592757541","42","1282138588"
"004E","機械","20240215","2981.68","73.65","2.53","2908.03","26513382536116","654931439648","25858451096468","18938130382940","889209185593","140","5920624235"
"004F","電気機器","20240215","4635.76","14.48","0.31","4621.28","87292591495053","272726350401","87019865144652","55956789419906","1883025141785","156","16635977575"
"0050","輸送用機器","20240215","5063.56","17.95","0.36","5045.61","45032942365420","159644947644","44873297417777","79005162044597","889354077157","57","17559772013"
"0051","精密機器","20240215","11486.46","25.93","0.23","11460.53","11272495238130","25449588353","11247045649777","34159076479182","98137209146","33","2608630415"
"0052","その他製品","20240215","5098.69","-67.53","-1.31","5166.22","12180857670941","-161343408039","12342201078980","24361715341882","238901785447","50","2460233467"
"0053","電気・ガス業","20240215","482.66","0.58","0.12","482.08","6355540805643","7679978413","6347860827230","28888821843831","1316773332561","22","4414623196"
"0054","陸運業","20240215","2124.84","-20.64","-0.96","2145.48","12921436214548","-125499164065","13046935378613","30765324320352","608112401175","42","3747403901"
"0055","海運業","20240215","1817.64","-8.95","-0.49","1826.59","4202198870197","-20677663653","4222876533850","52527485877463","231189391376","8","858915567"
"0056","空運業","20240215","243.53","-0.8","-0.33","244.33","2073171748810","-6788740234","2079960489044","69105724960325","851293218562","3","692231238"
"0057","倉庫・運輸関連業","20240215","2645.93","-12.86","-0.48","2658.79","667668117771","-3243871052","670911988823","3034855080776","25233735243","22","244811491"
"0058","情報・通信業","20240215","5739.72","14.25","0.25","5725.47","37538357898430","93207464799","37445150433631","16180326680358","654010028244","232","50965372458"
"0059","卸売業","20240215","3604.01","16.69","0.47","3587.32","35799239661072","165729290575","35633510370496","20574275667283","9933177358016","174","9994627139"
"005A","小売業","20240215","1732.71","-15.28","-0.87","1747.99","20512090387241","-180896581895","20692986969136","10573242467650","11838144955449","194","6455374527"
"005B","銀行業","20240215","277.35","-0.88","-0.32","278.23","34201132699952","-108303075944","34309435775896","43847606025579","123313885833072","78","20313947465"
"005C","証券、商品先物取引業","20240215","560.69","1.53","0.27","559.16","4278707752240","11683267552","4267024484688","18603077183650","7631092150791","23","4224661450"
"005D","保険業","20240215","2033.52","106.99","5.55","1926.53","12892515565311","678371521532","12214144043779","143250172947903","6339986259674","9","2980648934"
"005E","その他金融業","20240215","997.91","2.87","0.29","995.04","5809291091401","16709091008","5792582000393","21515892931114","5821477489301","27","2731284342"
"005F","不動産業","20240215","1800.63","11.85","0.66","1788.78","9239738614181","60783443839","9178955170342","12157550808133","513140306921","76","4791063386"
"0060","サービス業","20240215","2840.66","-0.02","0","2840.68","22531337653745","-134598088","22531472251833","9969618430861","793171483301","226","10934521034"
"0070","東証グロース市場250指数","20240215","725.7","2.65","0.37","723.05","2273879167079","8333190692","2265545976387","823869263435","3133338250418","276","3023855693"
"0075","REIT","20240215","1727.2","-16.33","-0.94","1743.53","13632528345570","-128848710121","13761377055691","23504359216500","7892846407746","58","8757513226"
"0080","TOPIX-17 食品","20240215","378.83","-3.33","-0.87","382.16","16133600625272","-141705965970","16275306591242","17163404920502","4258812046686","94","4693384312"
"0081","TOPIX-17 エネルギー資源","20240215","194.08","0.67","0.35","193.41","3925426358858","13458484217","3911967874641","26169509059053","2022628659678","15","3874751275"
"0082","TOPIX-17 建設・資材","20240215","317.31","-1.23","-0.39","318.54","15703001054807","-60840110647","15763841165454","9291716600478","4948715423599","169","6856950522"
"0083","TOPIX-17 素材・化学","20240215","316.21","1.12","0.36","315.09","31013491192433","109313098814","30904178093620","15506745596217","9807992409575","200","12851650713"
"0084","TOPIX-17 医薬品","20240215","278.43","-1.74","-0.62","280.17","22260501046860","-139047505164","22399548552024","60163516342865","7995019928641","37","6064994750"
"0085","TOPIX-17 自動車・輸送機","20240215","373.55","1.51","0.41","372.04","48502741229407","195949889389","48306791340018","71327560631480","12984294309232","68","18323026851"
"0086","TOPIX-17 鉄鋼・非鉄","20240215","288.56","0.7","0.24","287.86","7853748623865","18961054530","7834787569335","14543978933084","2721745888193","54","3107078559"
"0087","TOPIX-17 機械","20240215","587.61","14.51","2.53","573.1","26513382536116","654931439648","25858451096468","18938130382940","4512056352398","140","5920624235"
"0088","TOPIX-17 電機・精密","20240215","367.52","1.11","0.3","366.41","98565086733183","298175938754","98266910794429","52150839541367","26818996106581","189","19244607990"
"0089","TOPIX-17 情報通信・サービスその他","20240215","344.29","-0.33","-0.1","344.62","72250553223115","-68270541328","72318823764443","14222549847070","20985386001613","508","64360126959"
"008A","TOPIX-17 電力・ガス","20240215","79.93","0.1","0.13","79.83","6355540805643","7679978413","6347860827230","28888821843831","7951440580581","22","4414623196"
"008B","TOPIX-17 運輸・物流","20240215","207.31","-1.63","-0.78","208.94","19864474951325","-156209439005","20020684390330","26485966601767","9582093525039","75","5543362196"
"008C","TOPIX-17 商社・卸売","20240215","875.7","4.06","0.47","871.64","35799239661072","165729290575","35633510370496","20574275667283","4088078959385","174","9994627139"
"008D","TOPIX-17 小売","20240215","301","-2.66","-0.88","303.66","20512090387241","-180896581895","20692986969136","10573242467650","6814580223299","194","6455374527"
"008E","TOPIX-17 銀行","20240215","178.37","-0.56","-0.31","178.93","34201132699952","-108303075944","34309435775896","43847606025579","19174785488247","78","20313947465"
"008F","TOPIX-17 金融（除く銀行）","20240215","232.94","7.16","3.17","225.78","22980514408952","706763880092","22273750528860","38950024421952","9865276174848","59","9936594726"
"0090","TOPIX-17 不動産","20240215","376.63","2.48","0.66","374.15","9239738614181","60783443839","9178955170342","12157550808133","2453253910102","76","4791063386"
"0099","東証インフラファンド指数","20240215","1069.99","-4.7","-0.44","1074.69","138812396244","-609114738","139421510982","2776247924880","129732225524","5","153007490"
"0503","JPXプライム150指数","20240215","1155.39","3.36","0.29","1152.03","252910500083255","735214759095","252175285324160","168607000055503","218896387255408","150","87808577393"
"1000","TOPIX レバレッジ（2倍）指数","20240215","84102.13","468.35","0.56","83633.78","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20240215","1867.45","-5.24","-0.28","1872.69","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20240215","231.6","-1.3","-0.56","232.9","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20240215","39140.97","433.52","1.12","38707.45","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20240215","3033.44","-17.08","-0.56","3050.52","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20240215","653.87","-7.41","-1.12","661.28","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20240215","8395.28","78.18","0.94","8317.1","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20240215","7040.8","-134.9","-1.88","7175.7","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20240215","5593.29","103.21","1.88","5490.08","0","0","0","0","0","-","0"
"5000","東証プライム市場指数","20240215","1333.89","3.71","0.28","1330.18","490610040547259","1363599148294","489246441398965","29662033890403","367805134330129","1654","204357431147"
"5001","東証スタンダード市場指数","20240215","1216","-7.86","-0.64","1223.86","10722373457729","-69351238843","10791724696572","665985929052","8817756245501","1610","12679892996"
"5002","東証グロース市場指数","20240215","907.84","-0.59","-0.06","908.43","2661343198345","-1729075635","2663072273980","476090017593","2931503253489","559","4119788564"
"5003","東証プライム市場コンポジット指数","20240215","1333.75","3.71","0.28","1330.04","490797294361137","1362759623700","489434534737437","29637517775431","367983684283029","1656","204434520670"
"5004","旧東証市場第一部指数","20240215","2591.4","7.19","0.28","2584.21","491392802563765","1363574614081","490029227949685","23102623533792","18962429477862","2127","208181110304"
"8000","旧東証株価指数","20240215","2699.09","7.41","0.28","2691.68","922170948867704","2534294011141","919636654856563","42851809891622","34165937016766","2152","389877064535"
"8100","TOPIX バリュー","20240215","2921.66","6.1","0.21","2915.56","247616861049228","517185075227","247099675974001","16387614894059","84752002244558","1511","127506352420"
"812C","TOPIX 500 バリュー","20240215","2839.69","8.09","0.29","2831.6","227733362458961","649498573271","227083863885690","65066674988275","80196440253515","350","113510250535"
"812D","TOPIX Small バリュー","20240215","3818.08","-25.41","-0.66","3843.49","19883498590267","-132313498043","20015812088311","1712618310962","5207717242294","1161","13996101885"
