"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230517","2133.61","6.43","0.3","2127.18","408078373921535","1229879879106","406848494042429","18901267898172","19126219299575","2159","158249862082"
"0002","大型","20230517","2037.67","8.86","0.44","2028.81","257390913093438","1119703411624","256271209681813","257390913093438","12631626993954","100","80606593261"
"0003","中型","20230517","2405.73","3.73","0.16","2402","114601100537186","177715759230","114423384777956","28794246366127","4763668639488","398","50872646989"
"0004","小型","20230517","3733.35","-6.98","-0.19","3740.33","36086360290912","-67539291748","36153899582660","2172568349844","966595744048","1661","26770621832"
"0028","TOPIX Core30","20230517","1049.74","6.59","0.63","1043.15","153264203016658","962684151618","152301518865040","510880676722193","146001838966983","30","40149086773"
"0029","TOPIX Large70","20230517","2146.98","3.23","0.15","2143.75","104126710076780","157019260007","103969690816773","148752442966828","48499078145296","70","40457506489"
"002A","TOPIX 100","20230517","1413.48","6.15","0.44","1407.33","257390913093438","1119703411624","256271209681813","257390913093438","182097876602092","100","80606593261"
"002B","TOPIX Mid400","20230517","2286.26","3.54","0.16","2282.72","114601100537186","177715759230","114423384777956","28794246366127","50125972539230","398","50872646989"
"002C","TOPIX 500","20230517","1660.03","5.79","0.35","1654.24","371992013630624","1297419170855","370694594459769","74697191492093","224087580296499","498","131479240250"
"002D","TOPIX Small","20230517","2528.85","-4.73","-0.19","2533.58","36086360290912","-67539291748","36153899582660","2172568349844","14269879332646","1661","26770621832"
"002E","TOPIX 1000","20230517","2016.42","6.26","0.31","2010.16","395793779567676","1230467975404","394563311592272","39778269303284","196284991146979","995","146440439553"
"002F","TOPIX Small500","20230517","1113.45","-3.13","-0.28","1116.58","23801765937052","-66951195450","23868717132503","4789087713693","21376646995875","497","14961199302"
"0040","水産・農林業","20230517","504.63","-2.71","-0.53","507.34","359904813327","-1934344656","361839157983","4498810166583","71320558945","8","284170158"
"0041","鉱業","20230517","433.15","-1.37","-0.32","434.52","1196605729968","-3792417882","1200398147850","19943428832793","276257918095","6","762237128"
"0042","建設業","20230517","1355.68","6.45","0.48","1349.23","8497599683399","40455831871","8457143851528","8851666336874","626814227405","96","4543309946"
