"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230711","2236.4","-6.93","-0.31","2243.33","427264607107665","-1357198301746","428621805409411","19817467862137","19105011539393","2156","199637496344"
"0002","大型","20230711","2158.33","-9.31","-0.43","2167.64","272257985699512","-1174614009233","273432599708744","272257985699512","12614281427432","100","121654769453"
"0003","中型","20230711","2477.09","-1.52","-0.06","2478.61","117899048786862","-72345966056","117971394752918","29622876579614","4759587056426","398","51151823385"
"0004","小型","20230711","3839.02","-7.98","-0.21","3847","37107572621291","-110238326458","37217810947749","2238092437955","966589460552","1658","26830903506"
"0028","TOPIX Core30","20230711","1115.47","-6.28","-0.56","1121.75","162720554186315","-916291693078","163636845879394","542401847287718","145876260800309","30","81369433537"
"0029","TOPIX Large70","20230711","2263.39","-5.34","-0.24","2268.73","109537431513196","-258322316154","109795753829351","156482045018852","48395339273712","70","40285335916"
"002A","TOPIX 100","20230711","1497.17","-6.46","-0.43","1503.63","272257985699512","-1174614009233","273432599708744","272257985699512","181847822445678","100","121654769453"
"002B","TOPIX Mid400","20230711","2354.07","-1.45","-0.06","2355.52","117899048786862","-72345966056","117971394752918","29622876579614","50083023850736","398","51151823385"
"002C","TOPIX 500","20230711","1743.21","-5.57","-0.32","1748.78","390157034486374","-1246959975288","391403994461662","78344786041441","223815682931697","498","172806592838"
"002D","TOPIX Small","20230711","2600.43","-5.4","-0.21","2605.83","37107572621291","-110238326458","37217810947749","2238092437955","14269786569222","1658","26830903506"
"002E","TOPIX 1000","20230711","2114.53","-6.54","-0.31","2121.07","414476251136031","-1314894703714","415791145839745","41739803739782","196013231230367","993","187756190238"
"002F","TOPIX Small500","20230711","1142.39","-1.63","-0.14","1144.02","24319216649657","-67934728426","24387151378083","4912973060537","21288068263800","495","14949597400"
"0040","水産・農林業","20230711","506.2","4.72","0.94","501.48","361022655631","3367616173","357655039458","4512783195390","71320558945","8","284170158"
"0041","鉱業","20230711","473.01","2.11","0.45","470.9","1306736574686","5831634608","1300904940078","21778942911437","276257918095","6","762237128"
"0042","建設業","20230711","1387.79","-5.03","-0.36","1392.82","8622432942028","-31265371380","8653698313408","8981700981279","621306842581","96","4512931434"
"0043","食料品","20230711","1985.69","-14.52","-0.73","2000.21","14438573530334","-105517581097","14544091111431","16986557094510","727129698222","85","4320974127"
"0044","繊維製品","20230711","674.48","-2.46","-0.36","676.94","1882547050470","-6858918592","1889405969063","4827043719155","279110966508","39","1651040392"
"0045","パルプ・紙","20230711","460.2","-2.45","-0.53","462.65","695781264118","-3693310167","699474574285","5798177200987","151189548959","12","939587497"
"0046","化学","20230711","2317.72","-3.59","-0.15","2321.31","25936421971398","-40153298252","25976575269650","17406994611677","11190468538317","149","9971264875"
"0047","医薬品","20230711","3384.6","-39.53","-1.15","3424.13","21144708591907","-246985673469","21391694265376","58735301644187","6247328623681","36","6151555696"
"0048","石油・石炭製品","20230711","1132.67","0.66","0.06","1132.01","1830758591998","1073954038","1829684637960","20341762133306","161631873689","9","2655094112"
"0049","ゴム製品","20230711","4060.34","-4.82","-0.12","4065.16","3236692339418","-3848358992","3240540698410","29424475812888","79714905347","11","815203955"
"004A","ガラス・土石製品","20230711","1180.83","-5.49","-0.46","1186.32","2882202112219","-13410358361","2895612470580","9006881600685","244082759540","32","1064809915"
"004B","鉄鋼","20230711","654.29","-5.87","-0.89","660.16","3737969314416","-33499032631","3771468347048","12057965530375","571299102800","31","1659208728"
"004C","非鉄金属","20230711","1099.42","2.88","0.26","1096.54","2853240009883","7479581708","2845760428175","12405391347315","259521139624","23","1346235412"
"004D","金属製品","20230711","1240.3","9.82","0.8","1230.48","2251787518686","17825969561","2233961549125","5361398854015","181552141101","42","1282997034"
"004E","機械","20230711","2643.98","-0.68","-0.03","2644.66","23801922011388","-6115130395","23808037141784","16761916909428","900231370360","142","5912762870"
"004F","電気機器","20230711","4028.56","7.66","0.19","4020.9","78080749965143","148351456243","77932398508900","50051762798168","1938180859113","156","14827066676"
"0050","輸送用機器","20230711","3786.48","-58","-1.51","3844.48","33659776581969","-515582858743","34175359440712","59052239617490","888946555483","57","14293922181"
"0051","精密機器","20230711","10549.14","48.54","0.46","10500.6","10808500224893","49730276041","10758769948853","32753030984525","102458603504","33","2679546729"
"0052","その他製品","20230711","4095.59","-19.97","-0.49","4115.56","9866605072840","-48093165302","9914698238142","19733210145681","240907800611","50","2484160703"
"0053","電気・ガス業","20230711","416.2","-5.39","-1.28","421.59","5394242572317","-69882234474","5464124806791","24519284419624","1296062041029","22","4333191934"
"0054","陸運業","20230711","2056.65","4.21","0.21","2052.44","12518542016018","25638058285","12492903957733","29806052419090","608685957843","42","3344802403"
"0055","海運業","20230711","1195.75","-6.56","-0.55","1202.31","2471622571335","-13555106106","2485177677442","30895282141691","206700204527","8","777806751"
"0056","空運業","20230711","262.74","-2.44","-0.92","265.18","2238254713023","-20859027880","2259113740903","74608490434100","851902009419","3","693096319"
"0057","倉庫・運輸関連業","20230711","2386.37","-7.83","-0.33","2394.2","598622285827","-1963699877","600585985704","2721010390121","25085076339","22","261975872"
"0058","情報・通信業","20230711","5138.27","-28.14","-0.54","5166.41","35125425470297","-192370201309","35317795671606","14946989561829","683603944366","235","54445603651"
"0059","卸売業","20230711","3095.66","1.37","0.04","3094.29","29301694288533","12979929815","29288714358718","16840054188812","9465409278032","174","7811165727"
"005A","小売業","20230711","1546.95","2.38","0.15","1544.57","18756653629194","28924307836","18727729321358","9521143974210","12124921476259","197","6538419043"
"005B","銀行業","20230711","220.71","-1.81","-0.81","222.52","26776049141391","-218740660643","26994789802034","33893733090368","121315525640626","79","19421941316"
"005C","証券、商品先物取引業","20230711","392.7","-1.02","-0.26","393.72","3058667416325","-7958134782","3066625551107","13298553984023","7788869612094","23","4378979306"
"005D","保険業","20230711","1575.13","-17.33","-1.09","1592.46","10051791967959","-110616736184","10162408704144","125647399599492","6381578512649","8","2997951630"
"005E","その他金融業","20230711","802.93","-1.11","-0.14","804.04","4830804202810","-6688547434","4837492750244","17891867417815","6016465694632","27","2701231027"
"005F","不動産業","20230711","1530.17","3.16","0.21","1527.01","7826749365685","16140242327","7810609123359","10435665820914","511496963497","75","4835210239"
"0060","サービス業","20230711","2626.46","7.06","0.27","2619.4","20917059143524","23116077691","20893943065833","9337972831930","796396526975","224","9481351505"
"0070","マザーズ","20230711","788.03","5.83","0.75","782.2","2511749364812","18571616330","2493177748481","845706856839","3187378331979","297","2930244266"
"0075","REIT","20230711","1864.91","10.54","0.57","1854.37","14597220908108","82478981825","14514741926283","24328701513513","7827298732483","60","8451799485"
"0080","TOPIX-17 食品","20230711","340.47","-2.35","-0.69","342.82","14799596185965","-102149964924","14901746150889","15913544285984","4346794878676","93","4605144285"
"0081","TOPIX-17 エネルギー資源","20230711","149.37","0.33","0.22","149.04","3137495166684","6905588646","3130589578038","20916634444558","2100492477158","15","3417331240"
"0082","TOPIX-17 建設・資材","20230711","277.53","-0.55","-0.2","278.08","13756422572933","-26849760180","13783272333113","8092013278196","4956668740991","170","6860738383"
"0083","TOPIX-17 素材・化学","20230711","294.95","-0.53","-0.18","295.48","28514750285987","-50705527011","28565455812997","14257375142993","9667617841474","200","12561892763"
"0084","TOPIX-17 医薬品","20230711","261.65","-3.06","-1.16","264.71","21144708591907","-246985673469","21391694265376","58735301644187","8081307078340","36","6151555696"
"0085","TOPIX-17 自動車・輸送機","20230711","282.38","-3.97","-1.39","286.35","36896468921387","-519431217735","37415900139122","54259513119687","13066289767099","68","15109126135"
"0086","TOPIX-17 鉄鋼・非鉄","20230711","247.94","-0.98","-0.39","248.92","6591209324299","-26019450924","6617228775223","12205943193146","2658409026413","54","3005444140"
"0087","TOPIX-17 機械","20230711","521.06","-0.13","-0.02","521.19","23801922011388","-6115130395","23808037141784","16761916909428","4567985507874","142","5912762870"
"0088","TOPIX-17 電機・精密","20230711","321.48","0.72","0.22","320.76","88889250190036","198081732284","88691168457752","47031349306897","27650176960424","189","17506613405"
"0089","TOPIX-17 情報通信・サービスその他","20230711","306","-0.85","-0.28","306.85","65909089686661","-217347288920","66126436975581","12948740606417","21539094538720","509","66411115859"
"008A","TOPIX-17 電力・ガス","20230711","68.92","-0.9","-1.29","69.82","5394242572317","-69882234474","5464124806791","24519284419624","7826373798097","22","4333191934"
"008B","TOPIX-17 運輸・物流","20230711","189.58","-0.11","-0.06","189.69","17827041586203","-10739775579","17837781361782","23769388781604","9403433301803","75","5077681346"
"008C","TOPIX-17 商社・卸売","20230711","752.18","0.33","0.04","751.85","29301694288533","12979929815","29288714358718","16840054188812","3895565247334","174","7811165727"
"008D","TOPIX-17 小売","20230711","268.73","0.41","0.15","268.32","18756653629194","28924307836","18727729321358","9521143974210","6979661966644","197","6538419043"
"008E","TOPIX-17 銀行","20230711","141.94","-1.16","-0.81","143.1","26776049141391","-218740660643","26994789802034","33893733090368","18864048966082","79","19421941316"
"008F","TOPIX-17 金融（除く銀行）","20230711","178.96","-1.25","-0.69","180.21","17941263587095","-125263418400","18066527005495","30933213081197","10025089058920","58","10078161964"
"0090","TOPIX-17 不動産","20230711","320.06","0.66","0.21","319.4","7826749365685","16140242327","7810609123359","10435665820914","2445397309038","75","4835210239"
"0099","東証インフラファンド指数","20230711","1139.61","-0.71","-0.06","1140.32","130498737537","-82025839","130580763376","2609974750740","114512160427","5","135844779"
"0503","JPXプライム150指数","20230711","1019.93","-1.28","-0.13","1021.21","225237183586700","-282830431797","225520014018497","150158122391134","220836625850529","150","87460269672"
"1000","TOPIX レバレッジ（2倍）指数","20230711","63365.6","-395.32","-0.62","63760.92","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20230711","2192.02","6.77","0.31","2185.25","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20230711","323.16","1.99","0.62","321.17","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20230711","29529.06","-148.39","-0.5","29677.45","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20230711","3561.88","8.88","0.25","3553","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20230711","913.51","4.54","0.5","908.97","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20230711","7833.72","-44.91","-0.57","7878.63","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20230711","8271.39","93.23","1.14","8178.16","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20230711","4906.67","-56.58","-1.14","4963.25","0","0","0","0","0","-","0"
"5000","東証プライム市場指数","20230711","1150.89","-3.58","-0.31","1154.47","426605443284634","-1358324968996","427963768253630","23286323323397","370672948432651","1832","197749065569"
"5001","東証スタンダード市場指数","20230711","1105.91","-0.97","-0.09","1106.88","8812105410129","-7743860752","8819849270881","614084000706","7968180136679","1435","11318619724"
"5002","東証グロース市場指数","20230711","1004.16","7.13","0.72","997.03","2856728124856","20286990603","2836441134253","547265924302","2844902327430","522","3820687161"
"5003","東証プライム市場コンポジット指数","20230711","1150.85","-3.57","-0.31","1154.42","426793378221205","-1358479148042","428151857369248","23271176566042","370851663193572","1834","197826155092"
"5004","旧東証市場第一部指数","20230711","2235.66","-6.85","-0.31","2242.51","426851036323219","-1341275431775","428192311754994","19918387135941","19092874392823","2143","200303480709"
"8000","旧東証株価指数","20230711","2329.87","-7.11","-0.3","2336.98","799982235347384","-2517205584112","802499440931496","37104927427986","34335963519855","2156","371309145758"
"8100","TOPIX バリュー","20230711","2464.58","-13.57","-0.55","2478.15","218444332869670","-1218765725764","219663098595434","14111391012253","88633374582345","1548","124705949090"
"812C","TOPIX 500 バリュー","20230711","2387.67","-13.71","-0.57","2401.38","199464633420652","-1145491414272","200610124834924","55716378050461","83539359119736","358","109737610645"
"812D","TOPIX Small バリュー","20230711","3340.69","-9.98","-0.3","3350.67","18979699449018","-73274311492","19052973760510","1594932726808","5681365072700","1190","14968338444"
"8200","TOPIX グロース","20230711","2893.4","-1.68","-0.06","2895.08","208820689228246","-138440615664","208959129843910","16840378163568","72171489626701","1240","74931720512"
"822C","TOPIX 500 グロース","20230711","2904.1","-1.54","-0.05","2905.64","190692814977979","-101476599683","190794291577663","69342841810174","65663378398108","275","63069154207"
"822D","TOPIX Small グロース","20230711","2799.5","-3.15","-0.11","2802.65","18127874250267","-36964015981","18164838266248","1878536191737","6475397274097","965","11862566305"
"8500","東証配当フォーカス100指数","20230711","2437.52","-5.76","-0.24","2443.28","198973326055925","-470173290243","199443499346169","198973326055925","81629536099470","100","76679866409"
"8501","東証REITオフィス指数","20230711","1752.43","10.23","0.59","1742.2","6302648179262","36792412376","6265855766886","26261034080258","3596515036837","24","3381895003"
"8502","東証REIT住宅指数","20230711","3203.69","9.22","0.29","3194.47","1738101005017","5004226934","1733096778083","19312233389078","542530450193","9","734444210"
"8503","東証REIT商業・物流等指数","20230711","2311.82","14.35","0.62","2297.47","6556471723829","40682342515","6515789381314","24283228606774","2836067382267","27","4335460272"
"8506","TOPIX Ex-Financials","20230711","1958.11","-5.03","-0.26","1963.14","380829802802467","-1012367312941","381842170115407","18871645332134","194488702447900","2018","168483573539"
"8507","JPX日経インデックス400","20230711","20254.08","-50.2","-0.25","20304.28","310931311050137","-770641944556","311701952994693","78123444987471","153515390923032","398","123333573831"
"8508","JPX日経中小型株指数","20230711","16541.63","9.6","0.06","16532.03","5840307114157","-29767467978","5870074582136","2979748527631","3530672592090","196","3650852578"
"8801","東証グロース市場Core指数","20230711","958.1","4.01","0.42","954.09","7738342943","32407175","7705935768","38691714715","8076761882","20","0"
