"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20231114","2345.29","8.67","0.37","2336.62","446143164451236","1649953674602","444493210776634","20693096681412","19022939050857","2156","203019766591"
"0002","大型","20231114","2271.77","10.78","0.48","2260.99","286952973263581","1361825129637","285591148133944","286952973263581","12631252303032","100","121466254628"
"0003","中型","20231114","2583.52","5.93","0.23","2577.59","122382036902933","280672720901","122101364182032","30595509225733","4737029485566","400","55340885799"
"0004","小型","20231114","3983.39","0.8","0.02","3982.59","36808154284722","7455824063","36800698460659","2222714630720","924040283936","1656","26212626163"
"0028","TOPIX Core30","20231114","1183.68","5.51","0.47","1178.17","172532529701820","803027790211","171729501911609","575108432339401","145759883240816","30","81307603287"
"0029","TOPIX Large70","20231114","2353.4","11.5","0.49","2341.9","114420443561761","558797339426","113861646222334","163457776516801","48619282588195","70","40158651342"
"002A","TOPIX 100","20231114","1575.86","7.47","0.48","1568.39","286952973263581","1361825129637","285591148133944","286952973263581","182092475047613","100","121466254628"
"002B","TOPIX Mid400","20231114","2455.22","5.63","0.23","2449.59","122382036902933","280672720901","122101364182032","30595509225733","49845660536231","400","55340885799"
"002C","TOPIX 500","20231114","1829.81","7.35","0.4","1822.46","409335010166514","1642497850539","407692512315975","81867002033303","223703938843425","500","176807140428"
"002D","TOPIX Small","20231114","2698.22","0.54","0.02","2697.68","36808154284722","7455824063","36800698460659","2222714630720","13641631914350","1656","26212626163"
"002E","TOPIX 1000","20231114","2217.99","8.49","0.38","2209.5","434152403566104","1661953055075","432490450511029","43415240356610","195741722119400","1000","191975109089"
"002F","TOPIX Small500","20231114","1184.18","0.93","0.08","1183.25","24817393399590","19455204537","24797938195054","4963478679918","20957408644435","500","15167968661"
"0040","水産・農林業","20231114","532.59","1.93","0.36","530.66","376402481487","1358595181","375043886305","4705031018584","70674613081","8","282121551"
"0041","鉱業","20231114","601.49","14.96","2.55","586.53","1667070609050","41470999575","1625599609475","27784510150840","277156114784","6","760727508"
"0042","建設業","20231114","1513.56","2.7","0.18","1510.86","9454689418635","16868669768","9437820748867","9952304651194","624663758408","95","4519980968"
"0043","食料品","20231114","2221.21","-6.08","-0.27","2227.29","15829585170303","-43364885056","15872950055358","18406494384073","712657070476","86","4267636069"
"0044","繊維製品","20231114","667.67","3.91","0.59","663.76","1867522685883","10944264662","1856578421222","4788519707393","279705975611","39","1615851537"
"0045","パルプ・紙","20231114","515.7","1.99","0.39","513.71","765365213450","2952940100","762412273350","6957865576815","148413027060","11","920531796"
"0046","化学","20231114","2312.25","3.68","0.16","2308.57","26355959798020","41987005309","26313972792712","17454278011934","11398392262994","151","10286483054"
"0047","医薬品","20231114","3415.18","-15.24","-0.44","3430.42","21103848815520","-94168208713","21198017024234","58621802265334","6179420043282","36","6063487376"
"0048","石油・石炭製品","20231114","1352.07","27.43","2.07","1324.64","2030807545335","41195777498","1989611767837","22564528281495","150199928633","9","2516751840"
"0049","ゴム製品","20231114","4317.43","36.12","0.84","4281.31","3171309829557","26529498863","3144780330694","28830089359608","73453686952","11","761965296"
"004A","ガラス・土石製品","20231114","1257.47","0.33","0.03","1257.14","3068190828870","788541339","3067402287532","9588096340220","243998013878","32","1078792763"
"004B","鉄鋼","20231114","742.5","3.42","0.46","739.08","4293681169185","19811138687","4273870030499","13850584416726","578272363119","31","1661561922"
"004C","非鉄金属","20231114","1135.49","21.95","1.97","1113.54","3069832384647","59356387788","3010475996859","13347097324552","270352514205","23","1388486105"
"004D","金属製品","20231114","1280.9","-3.77","-0.29","1284.67","2322454725756","-6836974604","2329291700360","5529654108944","181314107829","42","1288015408"
"004E","機械","20231114","2611.68","12.29","0.47","2599.39","23259301268693","109493120078","23149808148614","16495958346591","890586875340","141","5940336374"
"004F","電気機器","20231114","3974.94","12.99","0.33","3961.95","75264869069097","245801496144","75019067572953","48246710941729","1893486402932","156","15980292682"
"0050","輸送用機器","20231114","4492.84","60.89","1.37","4431.95","40043533914289","542652762150","39500881152139","70251813884717","891274750943","57","17287811260"
"0051","精密機器","20231114","10026.05","28.99","0.29","9997.06","9845486325556","28475712158","9817010613398","29834807047140","98199019348","33","2600401928"
"0052","その他製品","20231114","4368.98","7.91","0.18","4361.07","10425559125731","18862457961","10406696667770","20851118251462","238627060211","50","2441351756"
"0053","電気・ガス業","20231114","474.2","1.44","0.3","472.76","6243609347851","18954715979","6224654631872","28380042490233","1316671424562","22","4413527249"
"0054","陸運業","20231114","2063.02","8.28","0.4","2054.74","12543825130144","50335812747","12493489317397","29866250309867","608033064841","42","3746970979"
"0055","海運業","20231114","1354.17","3.38","0.25","1350.79","3160610992570","7883116064","3152727876507","39507637407131","233398894529","8","866414682"
"0056","空運業","20231114","239.11","-0.51","-0.21","239.62","2036012334677","-4388919902","2040401254579","67867077822575","851508784012","3","692519598"
"0057","倉庫・運輸関連業","20231114","2546.79","-13.7","-0.54","2560.49","653477909036","-3514370321","656992279357","2970354131982","25658897116","22","249925785"
"0058","情報・通信業","20231114","5223.67","-3.73","-0.07","5227.4","34255978627687","-24503729623","34280482357309","14515245181223","655784093559","236","51032878953"
"0059","卸売業","20231114","3268.25","4.22","0.13","3264.03","32473327915466","41953960829","32431373954636","18662832135325","9935984106605","174","8124231808"
"005A","小売業","20231114","1616.36","11.06","0.69","1605.3","19184222516860","131241827128","19052980689732","9838062829159","11868767172185","195","6479975464"
"005B","銀行業","20231114","262.34","4.55","1.77","257.79","32633608802788","566223029939","32067385772850","41837960003575","124394275850978","78","20165238598"
"005C","証券、商品先物取引業","20231114","465.67","-1.75","-0.37","467.42","3550691007361","-13325248541","3564016255902","15437786988527","7624908143645","23","4218114677"
"005D","保険業","20231114","1718.76","10.68","0.63","1708.08","11037725477993","68547449955","10969178028038","122641394199921","6421923006392","9","3020399166"
"005E","その他金融業","20231114","889.42","-0.64","-0.07","890.06","5179124915130","-3746277201","5182871192330","19181944130110","5823065075552","27","2660763246"
"005F","不動産業","20231114","1685.86","-8.99","-0.53","1694.85","8625835579482","-45988063464","8671823642946","11501114105976","511656997798","75","4787259662"
"0060","サービス業","20231114","2564.59","-25.69","-0.99","2590.28","20349643515127","-203898927873","20553542443000","9044286006723","793486795472","225","10898959530"
"0070","東証グロース市場250指数","20231114","672.37","-5.69","-0.84","678.06","2164934340588","-18335448001","2183269788589","839121837437","3219857857178","258","2967626522"
"0075","REIT","20231114","1825.02","17.01","0.94","1808.01","14395030763857","134112197160","14260918566697","24819018558374","7887616033968","58","8741516328"
"0080","TOPIX-17 食品","20231114","380.3","-0.98","-0.26","381.28","16205987651789","-42006289874","16247993941664","17240412395520","4261423219191","94","4549757620"
"0081","TOPIX-17 エネルギー資源","20231114","182.98","4.09","2.29","178.89","3697878154385","82666777073","3615211377312","24652521029233","2020900045950","15","3277479348"
"0082","TOPIX-17 建設・資材","20231114","298.64","0.22","0.07","298.42","14845334973261","10820236503","14834514736759","8784221877669","4971005289787","169","6886789139"
"0083","TOPIX-17 素材・化学","20231114","295.01","0.57","0.19","294.44","28988847697353","55884210070","28932963487284","14422312287240","9826547991484","201","12822866387"
"0084","TOPIX-17 医薬品","20231114","264.01","-1.18","-0.44","265.19","21103848815520","-94168208713","21198017024234","58621802265334","7993463117423","36","6063487376"
"0085","TOPIX-17 自動車・輸送機","20231114","332.18","4.38","1.34","327.8","43214843743846","569182261013","42645661482833","63551240799773","13009611784214","68","18049776555"
"0086","TOPIX-17 鉄鋼・非鉄","20231114","270.5","2.91","1.09","267.59","7363513553832","79167526474","7284346027358","13636136210800","2722173145784","54","3050048028"
"0087","TOPIX-17 機械","20231114","514.69","2.42","0.47","512.27","23259301268693","109493120078","23149808148614","16495958346591","4519047073900","141","5940336374"
"0088","TOPIX-17 電機・精密","20231114","315.78","1.02","0.32","314.76","85110355394654","274277208303","84836078186351","45031934071245","26952240954700","189","18580694610"
"0089","TOPIX-17 情報通信・サービスその他","20231114","309.47","-1","-0.32","310.47","65031181268545","-209540199535","65240721468080","12726258565273","21013666003500","511","64373190239"
"008A","TOPIX-17 電力・ガス","20231114","78.53","0.24","0.31","78.29","6243609347851","18954715979","6224654631872","28380042490233","7950825201016","22","4413527249"
"008B","TOPIX-17 運輸・物流","20231114","191.46","0.52","0.27","190.94","18393926366428","50315638588","18343610727840","24525235155237","9606941308505","75","5555831044"
"008C","TOPIX-17 商社・卸売","20231114","794.12","1.03","0.13","793.09","32473327915466","41953960829","32431373954636","18662832135325","4089234099320","174","8124231808"
"008D","TOPIX-17 小売","20231114","280.79","1.92","0.69","278.87","19184222516860","131241827128","19052980689732","9838062829159","6832207778405","195","6479975464"
"008E","TOPIX-17 銀行","20231114","168.71","2.93","1.77","165.78","32633608802788","566223029939","32067385772850","41837960003575","19342781547223","78","20165238598"
"008F","TOPIX-17 金融（除く銀行）","20231114","198.98","0.52","0.26","198.46","19767541400484","51475924213","19716065476271","33504307458447","9934369945397","59","9899277090"
"0090","TOPIX-17 不動産","20231114","352.63","-1.88","-0.53","354.51","8625835579482","-45988063464","8671823642946","11501114105976","2446162411234","75","4787259662"
"0099","東証インフラファンド指数","20231114","1141.88","-0.64","-0.06","1142.52","143266830910","-80166242","143346997152","2865336618200","125465508620","5","147515306"
"0503","JPXプライム150指数","20231114","1030.74","1.3","0.13","1029.44","225797981998762","282804091695","225515177907067","150531987999174","219064921879419","150","86678006695"
"1000","TOPIX レバレッジ（2倍）指数","20231114","69112.58","507.68","0.74","68604.9","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20231114","2073.56","-7.7","-0.37","2081.26","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20231114","286.82","-2.14","-0.74","288.96","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20231114","31837.95","258.95","0.82","31579","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20231114","3386.99","-13.94","-0.41","3400.93","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20231114","819.02","-6.77","-0.82","825.79","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20231114","7971.9","-75.65","-0.94","8047.55","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20231114","7881.68","145.44","1.88","7736.24","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20231114","5059.05","-96.93","-1.88","5155.98","0","0","0","0","0","-","0"
"5000","東証プライム市場指数","20231114","1207.06","4.47","0.37","1202.59","444997500890542","1647218784177","443350282106365","26871829763922","368663528435716","1656","200330062892"
"5001","東証スタンダード市場指数","20231114","1126.21","3.36","0.3","1122.85","9972579290774","29707899698","9942871391077","618262820259","8855021504076","1613","13068418006"
"5002","東証グロース市場指数","20231114","860.26","-7.09","-0.82","867.35","2560394250350","-21085971179","2581480221529","470660707785","2976288016165","544","4075156639"
"5003","東証プライム市場コンポジット指数","20231114","1206.98","4.46","0.37","1202.52","445185998019032","1647367792321","443538630226711","26850783957722","368842140983217","1658","200407152415"
"5004","旧東証市場第一部指数","20231114","2345.07","8.77","0.38","2336.3","446154112500940","1667955487011","444486157013929","20877590664527","19025220510456","2137","204331437623"
"8000","旧東証株価指数","20231114","2445.34","8.21","0.34","2437.13","838669211305277","2815277779602","835853933525675","38899314067963","34296687003620","2156","382907498010"
"8100","TOPIX バリュー","20231114","2673.72","15.95","0.6","2657.77","227622945637716","1358045319858","226264900317859","15014706176630","85133374115446","1516","124239333584"
"812C","TOPIX 500 バリュー","20231114","2592.31","16.86","0.65","2575.45","208783000049101","1357635510978","207425364538123","59482336196325","80539416107470","351","110116422744"
"812D","TOPIX Small バリュー","20231114","3592.47","0.08","0","3592.39","18839945588615","409808879","18839535779736","1617162711469","5244291970507","1165","14122910840"
"8200","TOPIX グロース","20231114","2922.28","3.9","0.13","2918.38","218520735330325","291913567288","218228821763037","17523715744212","74777426112925","1247","78780606181"
"822C","TOPIX 500 グロース","20231114","2936.31","4.17","0.14","2932.14","200552525076276","284867540610","200267657535666","71882625475368","68300832212305","279","66690889698"
"822D","TOPIX Small グロース","20231114","2792.62","1.09","0.04","2791.53","17968210254049","7046026678","17961164227371","1856220067567","6434172890310","968","12089716483"
"8500","東証配当フォーカス100指数","20231114","2634.06","20.32","0.78","2613.74","207126689188944","1597719051743","205528970137201","209218877968630","78634025950306","99","116862695770"
"8501","東証REITオフィス指数","20231114","1747.68","19.26","1.11","1728.42","6581943383083","72543506088","6509399876995","28617145143839","3766105497353","23","3546572584"
"8502","東証REIT住宅指数","20231114","3034.36","24.67","0.82","3009.69","1480194216005","12030250755","1468163965250","16446602400056","487811578889","9","671610879"
"8503","東証REIT商業・物流等指数","20231114","2241.56","17.53","0.79","2224.03","6332893164769","49538440317","6283354724452","24357281402958","2825217237177","26","4523332865"
"8506","TOPIX Ex-Financials","20231114","2026.62","5.24","0.26","2021.38","391614853255994","1012872843530","390601980412464","19406087871952","193235562989096","2018","171340094493"
"8507","JPX日経インデックス400","20231114","21114.87","85.99","0.41","21028.88","316129248648634","1287400711024","314841847937610","79032312162158","149718805433788","400","125674029410"
"8508","JPX日経中小型株指数","20231114","16700.31","-1.78","-0.01","16702.09","6077559586367","-648124698","6078207711065","3054050043401","3639189893250","199","4027320206"
"8801","東証グロース市場Core指数","20231114","872.02","-15.49","-1.75","887.51","6296047392","-111838481","6407885873","31480236959","7220090659","20","0"
"8802","東証スタンダード市場TOP20","20231114","1026.23","7.13","0.7","1019.1","10109119657","70213434","10038906224","50545598287","9850773108","20","0"
"A404","TOPIX高配当40指数","20231114","1637.58","14.01","0.86","1623.57","118988907227414","1018419808958","117970487418455","297472268068534","72661343477564","40","72065311979"
"A800","東証REIT Core指数","20231114","1077.42","10.12","0.95","1067.3","290225460490","2727028730","287498431760","967418201633","269369750531","30","0"
"A810","東証REIT物流フォーカス指数","20231114","919.87","4.2","0.46","915.67","95200341080","434531820","94765809260","634668940533","103493223794","15","0"
"A820","京大川北／JPX日本株指数","20231114","11370.44","34.76","0.31","11335.68","9958646405","30438198","9928208207","4979323203","8758366681","200","0"
"A821","東証REITオフィスフォーカス指数","20231114","994.56","13.62","1.39","980.94","101249515580","1387023190","99862492390","674996770533","101802927530","15","0"
"A822","東証REIT住宅フォーカス指数","20231114","968.96","7.36","0.77","961.6","94781062780","720437740","94060625040","631873751867","97817182812","15","0"
"A823","東証REITホテル＆リテールフォーカス指数","20231114","979.83","11.21","1.16","968.62","98073918050","1121581480","96952336570","653826120333","100092876748","15","0"
