"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20231219","2333.81","16.95","0.73","2316.86","443381541944807","3219961213557","440161580731250","20584101297345","18998167160923","2154","202976026989"
"0002","大型","20231219","2256.72","16.87","0.75","2239.85","284487256239379","2126137876069","282361118363310","287360864888262","12606247662244","99","121350404092"
"0003","中型","20231219","2568.48","16.16","0.63","2552.32","121507526211695","764772309113","120742753902582","30453014088144","4730708806641","399","55356377487"
"0004","小型","20231219","4029.87","35.47","0.89","3994.4","37386759493733","329051028375","37057708465358","2257654558800","927741212326","1656","26269245409"
"0028","TOPIX Core30","20231219","1171.55","7.99","0.69","1163.56","170689476652738","1164295463645","169525181189093","568964922175794","145694899933681","30","81300038615"
"0029","TOPIX Large70","20231219","2350.66","19.87","0.85","2330.79","113797779586641","961842412424","112835937174217","164924318241508","48410991584683","69","40050365478"
"002A","TOPIX 100","20231219","1565.42","11.7","0.75","1553.72","284487256239379","2126137876069","282361118363310","287360864888262","181732007469295","99","121350404092"
"002B","TOPIX Mid400","20231219","2440.93","15.36","0.63","2425.57","121507526211695","764772309113","120742753902582","30453014088144","49779150834945","399","55356377487"
"002C","TOPIX 500","20231219","1818.12","12.95","0.72","1805.17","405994782451074","2890910185182","403103872265892","81525056717083","223304675195664","498","176706781579"
"002D","TOPIX Small","20231219","2729.7","24.02","0.89","2705.68","37386759493733","329051028375","37057708465358","2257654558800","13696268821112","1656","26269245409"
"002E","TOPIX 1000","20231219","2206.51","15.9","0.73","2190.61","431167998194542","3106838314151","428061159880390","43246539437767","195407389882071","997","191871764493"
"002F","TOPIX Small500","20231219","1201.7","10.31","0.87","1191.39","25173215743468","215928128970","24957287614498","5044732613921","20947966930226","499","15164982914"
"0040","水産・農林業","20231219","530.76","0.39","0.07","530.37","375113606405","273968534","374839637872","4688920080066","70674613081","8","282121551"
"0041","鉱業","20231219","558.15","6.86","1.24","551.29","1546953610018","19015725084","1527937884934","25782560166971","277156114784","6","760727508"
"0042","建設業","20231219","1479.79","-4.02","-0.27","1483.81","9243718679237","-25089913898","9268808593135","9730230188671","624663758408","95","4519980968"
"0043","食料品","20231219","2116.62","31.47","1.51","2085.15","15084420554967","224248695230","14860171859738","17540023901125","712665893500","86","4291652330"
"0044","繊維製品","20231219","651.02","2.44","0.38","648.58","1819775164846","6835184394","1812939980452","4666090166272","279525594719","39","1614316987"
"0045","パルプ・紙","20231219","513.16","3.92","0.77","509.24","761590804228","5808017556","755782786672","6923552765710","148413027060","11","920531796"
"0046","化学","20231219","2361.13","7.85","0.33","2353.28","26897213162320","89444943147","26807768219173","17931475441547","11391668799505","150","10281637172"
"0047","医薬品","20231219","3335.17","1.31","0.04","3333.86","20616508052200","8074788131","20608433264069","55720292032973","6181544253329","37","6068109407"
"0048","石油・石炭製品","20231219","1392.7","5.62","0.41","1387.08","2091828511580","8440408126","2083388103454","23242539017553","150199928633","9","2516751840"
"0049","ゴム製品","20231219","4268.5","19.27","0.45","4249.23","3135371326754","14152783602","3121218543153","28503375697767","73453686952","11","761965296"
"004A","ガラス・土石製品","20231219","1229.02","5.99","0.49","1223.03","2969923937630","14467145262","2955456792369","9281012305095","241649484019","32","1073315258"
"004B","鉄鋼","20231219","725.7","-2.57","-0.35","728.27","4196534158245","-14852922957","4211387081202","13537206962082","578272363119","31","1661561922"
