"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20230830","2313.38","9.97","0.43","2303.41","439892392600588","1895626307733","437996766292855","20393713147918","19015171570132","2157","199159832655"
"0002","大型","20230830","2214.81","11.18","0.51","2203.63","278089368440294","1404008708694","276685359731600","278089368440294","12555876382237","100","121292823729"
"0003","中型","20230830","2601.76","7.79","0.3","2593.97","123387101385111","369391488365","123017709896746","31001784267616","4742446437535","398","51443271210"
"0004","小型","20230830","4009.5","12.73","0.32","3996.77","38415922775183","122226110674","38293696664509","2315607159444","958122190581","1659","26423737716"
"0028","TOPIX Core30","20230830","1146.11","7.21","0.63","1138.9","167015996163759","1050689388418","165965306775341","556719987212529","145724194121760","30","81343371746"
"0029","TOPIX Large70","20230830","2318.34","7.37","0.32","2310.97","111073372276535","353319320276","110720052956259","158676246109336","47910693736545","70","39949451983"
"002A","TOPIX 100","20230830","1536.36","7.76","0.51","1528.6","278089368440294","1404008708694","276685359731600","278089368440294","181005853733492","100","121292823729"
"002B","TOPIX Mid400","20230830","2472.56","7.41","0.3","2465.15","123387101385111","369391488365","123017709896746","31001784267616","49902660719535","398","51443271210"
"002C","TOPIX 500","20230830","1801.56","7.96","0.44","1793.6","401476469825405","1773400197059","399703069628346","80617765025182","222849194280895","498","172736094939"
"002D","TOPIX Small","20230830","2715.91","8.63","0.32","2707.28","38415922775183","122226110674","38293696664509","2315607159444","14144784031712","1659","26423737716"
"002E","TOPIX 1000","20230830","2186.94","9.55","0.44","2177.39","426794097774376","1865629740324","424928468034052","43023598565965","195155436332216","992","187599748022"
"002F","TOPIX Small500","20230830","1195.64","4.35","0.37","1191.29","25317627948971","92229543266","25225398405706","5125025900601","21175032090867","494","14863653083"
"0040","水産・農林業","20230830","539.93","-1.93","-0.36","541.86","384797793651","-1376414071","386174207723","4809972420638","71268254593","8","283874093"
"0041","鉱業","20230830","582.3","2.78","0.48","579.52","1607417745299","7682406800","1599735338499","26790295754977","276046408423","6","758998021"
"0042","建設業","20230830","1489.54","3.03","0.2","1486.51","9285766157201","18904802203","9266861354998","9672673080417","623397825329","96","4519295068"
"0043","食料品","20230830","2101.59","6.96","0.33","2094.63","14947935486219","49490016097","14898445470123","17381320332813","711267900084","86","4196468417"
"0044","繊維製品","20230830","661.62","2.13","0.32","659.49","1838686808393","5924045489","1832762762904","4714581559981","277905114716","39","1629040748"
