"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20230929","2","2396","33","17","-8","140.94","581","-","17","-8","1815","33","-","-"
"2972","20230929","1","3639","-411","-","-","-","618","25","-","-","3021","-436","-","-"
"2979","20230929","2","4119","1335","126","44","32.69","3779","1766","126","44","340","-431","-","-"
"2989","20230929","1","4199","56","-","-","-","654","45","-","-","3545","11","-","-"
"3226","20230929","2","143","-17","83","-1","1.72","117","-8","83","-1","26","-9","-","-"
"3234","20230929","2","1737","87","61","-34","28.48","741","122","61","-34","996","-35","-","-"
"3249","20230929","2","3137","1100","23","8","136.39","1816","632","23","8","1321","468","-","-"
"3269","20230929","2","507","-1336","2184","-5346","0.23","344","-945","1907","-3324","163","-391","277","-2022"
"3278","20230929","2","171","-113","18","-11","9.5","166","-88","18","-11","5","-25","-","-"
"3279","20230929","2","673","35","8","-22","84.13","152","18","8","-22","521","17","-","-"
"3281","20230929","2","2882","17","297","-33","9.7","1494","-28","223","-33","1388","45","74","-"
"3282","20230929","2","77","-31","75","-28","1.03","45","-27","75","-28","32","-4","-","-"
"3283","20230929","2","525","-256","187","34","2.81","333","-246","180","27","192","-10","7","7"
"3287","20230929","2","825","-132","80","31","10.31","503","-61","77","29","322","-71","3","2"
"3290","20230929","2","1857","92","118","-3","15.74","1405","88","118","-3","452","4","-","-"
"3292","20230929","2","754","37","45","-2","16.76","328","7","41","-2","426","30","4","-"
"3295","20230929","2","437","32","473","-19","0.92","115","-14","473","-19","322","46","-","-"
"3296","20230929","2","737","-16","42","-4","17.55","142","-31","40","-4","595","15","2","-"
"3309","20230929","2","4654","-109","131","-58","35.53","448","100","124","-56","4206","-209","7","-2"
"3451","20230929","1","1721","-96","-","-","-","715","-101","-","-","1006","5","-","-"
"3453","20230929","2","559","-40","91","-39","6.14","269","1","91","-39","290","-41","-","-"
"3455","20230929","2","934","86","92","-20","10.15","556","65","91","-20","378","21","1","-"
"3459","20230929","2","1432","106","-","-","-","799","62","-","-","633","44","-","-"
"3462","20230929","2","1686","105","671","-749","2.51","238","4","498","-375","1448","101","173","-374"
"3463","20230929","1","5422","-204","-","-","-","741","-64","-","-","4681","-140","-","-"
"3466","20230929","2","2416","931","135","-51","17.9","1856","914","135","-51","560","17","-","-"
"3468","20230929","2","5169","-463","341","-441","15.16","1206","56","341","-441","3963","-519","-","-"
"3470","20230929","1","1550","176","-","-","-","518","67","-","-","1032","109","-","-"
"3471","20230929","2","412","67","93","-13","4.43","224","22","93","-13","188","45","-","-"
"3472","20230929","1","5022","-120","-","-","-","3877","-130","-","-","1145","10","-","-"
"3476","20230929","2","9353","-1019","129","-37","72.5","2848","-414","126","-39","6505","-605","3","2"
"3481","20230929","2","869","72","26","3","33.42","707","165","21","3","162","-93","5","-"
"3487","20230929","2","1136","98","18","-","63.11","706","53","18","-","430","45","-","-"
"3488","20230929","1","2868","68","-","-","-","1533","93","-","-","1335","-25","-","-"
"3492","20230929","2","8563","220","909","-32","9.42","2507","207","909","-32","6056","13","-","-"
"3493","20230929","1","4033","1502","-","-","-","3770","1527","-","-","263","-25","-","-"
"8951","20230929","2","443","-8","174","-84","2.55","167","-2","165","-83","276","-6","9","-1"
"8952","20230929","2","413","89","223","-139","1.85","157","63","214","-139","256","26","9","-"
"8953","20230929","2","9287","-670","229","45","40.55","1199","-494","180","45","8088","-176","49","-"
"8954","20230929","2","378","-280","89","21","4.25","239","-136","72","21","139","-144","17","-"
"8955","20230929","2","272","16","22","-15","12.36","123","7","21","-15","149","9","1","-"
"8956","20230929","2","1396","22","198","4","7.05","181","17","196","4","1215","5","2","-"
"8957","20230929","2","209","17","398","5","0.53","139","9","397","5","70","8","1","-"
"8958","20230929","2","3918","908","24","-136","163.25","1651","629","24","-136","2267","279","-","-"
"8960","20230929","2","2097","-345","81","16","25.89","1097","-","64","16","1000","-345","17","-"
"8961","20230929","2","1883","182","26","-147","72.42","1090","34","26","-147","793","148","-","-"
"8963","20230929","2","46558","-124","1943","-952","23.96","19110","75","1803","-951","27448","-199","140","-1"
"8964","20230929","2","530","88","44","-1","12.05","269","78","3","-1","261","10","41","-"
"8966","20230929","2","2702","-35","61","-27","44.3","1685","-22","60","-27","1017","-13","1","-"
"8967","20230929","2","239","60","198","-173","1.21","182","61","190","-173","57","-1","8","-"
"8968","20230929","2","1350","82","15","-4","90","640","69","15","-4","710","13","-","-"
"8972","20230929","2","459","-138","372","115","1.23","364","-90","272","115","95","-48","100","-"
"8975","20230929","2","2324","113","-","-","-","1445","41","-","-","879","72","-","-"
"8976","20230929","2","109","14","59","-27","1.85","60","14","58","-27","49","-","1","-"
"8977","20230929","2","533","46","269","-51","1.98","223","26","263","-51","310","20","6","-"
"8979","20230929","1","580","-15","44","-","13.18","274","-9","-","-","306","-6","44","-"
"8984","20230929","2","4349","-1106","856","-129","5.08","3176","-899","725","-108","1173","-207","131","-21"
"8985","20230929","2","13770","-244","1127","-55","12.22","9278","-310","1043","-52","4492","66","84","-3"
"8986","20230929","2","895","178","144","-9","6.22","313","141","144","-7","582","37","-","-2"
"8987","20230929","2","997","-98","511","61","1.95","59","17","511","61","938","-115","-","-"
