"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20230728","2","2373","41","118","55","20.11","493","63","118","55","1880","-22","-","-"
"2972","20230728","1","4302","-283","-","-","-","893","-165","-","-","3409","-118","-","-"
"2979","20230728","2","2780","431","-","-","-","2472","394","-","-","308","37","-","-"
"2989","20230728","1","2027","408","-","-","-","842","283","-","-","1185","125","-","-"
"3226","20230728","2","49","-15","81","34","0.6","30","-13","81","34","19","-2","-","-"
"3234","20230728","2","1756","40","114","55","15.4","375","43","99","40","1381","-3","15","15"
"3249","20230728","2","692","-207","342","75","2.02","180","-183","342","75","512","-24","-","-"
"3269","20230728","2","278","-22","136","12","2.04","90","-68","129","12","188","46","7","-"
"3278","20230728","2","295","-78","143","92","2.06","246","-87","9","-7","49","9","134","99"
"3279","20230728","2","721","2","34","-23","21.21","220","-5","34","-23","501","7","-","-"
"3281","20230728","2","1659","-673","3220","291","0.52","763","-447","1616","311","896","-226","1604","-20"
"3282","20230728","2","53","4","256","-85","0.21","27","-11","256","-43","26","15","-","-42"
"3283","20230728","2","428","-66","165","6","2.59","285","-69","165","6","143","3","-","-"
"3287","20230728","2","1079","-10","84","-17","12.85","707","-2","83","-17","372","-8","1","-"
"3290","20230728","2","2044","54","141","7","14.5","1567","73","141","7","477","-19","-","-"
"3292","20230728","2","608","51","179","-77","3.4","261","48","175","-77","347","3","4","-"
"3295","20230728","2","555","23","398","94","1.39","215","132","397","94","340","-109","1","-"
"3296","20230728","2","1488","68","38","9","39.16","736","65","38","9","752","3","-","-"
"3309","20230728","2","4246","236","754","-119","5.63","217","-23","745","-119","4029","259","9","-"
"3451","20230728","1","1647","17","5","5","329.4","576","-8","-","-","1071","25","5","5"
"3453","20230728","2","1391","-177","118","-47","11.79","1054","-160","117","3","337","-17","1","-50"
"3455","20230728","2","554","66","214","-64","2.59","425","52","175","-61","129","14","39","-3"
"3459","20230728","2","1274","296","-","-","-","798","287","-","-","476","9","-","-"
"3462","20230728","2","2611","125","365","179","7.15","412","158","341","179","2199","-33","24","-"
"3463","20230728","1","3426","-547","87","27","39.38","1696","-539","-","-","1730","-8","87","27"
"3466","20230728","2","2032","-302","541","-698","3.76","1622","-337","474","-559","410","35","67","-139"
"3468","20230728","2","4979","396","184","3","27.06","665","154","144","3","4314","242","40","-"
"3470","20230728","1","1256","-10","-","-","-","381","-45","-","-","875","35","-","-"
"3471","20230728","2","309","15","237","-11","1.3","215","28","237","-11","94","-13","-","-"
"3472","20230728","1","5159","-551","-","-","-","3952","-528","-","-","1207","-23","-","-"
"3476","20230728","2","10108","995","110","-78","91.89","2407","-6","99","-78","7701","1001","11","-"
"3481","20230728","2","271","-61","43","8","6.3","228","-55","38","8","43","-6","5","-"
"3487","20230728","2","792","-10","118","-14","6.71","438","-14","118","-14","354","4","-","-"
"3488","20230728","1","1835","-532","-","-","-","1132","-465","-","-","703","-67","-","-"
"3492","20230728","2","8097","-219","110","-61","73.61","1716","-187","110","-61","6381","-32","-","-"
"3493","20230728","1","1409","-42","5","5","281.8","1212","-109","-","-","197","67","5","5"
"8951","20230728","2","1536","-62","471","9","3.26","171","-96","441","6","1365","34","30","3"
"8952","20230728","2","405","-158","186","75","2.18","135","-143","171","75","270","-15","15","-"
"8953","20230728","2","13075","1412","267","68","48.97","4279","1322","213","68","8796","90","54","-"
"8954","20230728","2","528","-46","163","55","3.24","402","-60","143","55","126","14","20","-"
"8955","20230728","2","353","18","53","11","6.66","187","12","52","11","166","6","1","-"
"8956","20230728","2","1384","-18","233","54","5.94","180","-24","231","54","1204","6","2","-"
"8957","20230728","2","212","6","469","72","0.45","156","-","467","72","56","6","2","-"
"8958","20230728","2","2458","-186","196","25","12.54","782","-43","196","25","1676","-143","-","-"
"8960","20230728","2","2214","-1088","214","-51","10.35","737","-971","193","-51","1477","-117","21","-"
"8961","20230728","2","1478","505","140","60","10.56","800","467","138","60","678","38","2","-"
"8963","20230728","2","49042","-20433","132477","102254","0.37","18352","-17781","118668","96190","30690","-2652","13809","6064"
"8964","20230728","2","879","-20","70","-","12.56","656","-14","29","-","223","-6","41","-"
"8966","20230728","2","2777","-190","439","170","6.33","1995","-182","438","170","782","-8","1","-"
"8967","20230728","2","152","-23","329","3","0.46","85","-14","320","3","67","-9","9","-"
"8968","20230728","2","502","-233","269","37","1.87","152","-117","268","37","350","-116","1","-"
"8972","20230728","2","802","-62","292","-170","2.75","674","-68","112","-170","128","6","180","-"
"8975","20230728","2","11357","-18","114","-55","99.62","911","-32","114","-55","10446","14","-","-"
"8976","20230728","2","185","30","63","-75","2.94","82","19","61","-75","103","11","2","-"
"8977","20230728","2","466","-14","406","-19","1.15","198","43","400","-19","268","-57","6","-"
"8979","20230728","1","612","90","44","-","13.91","346","72","-","-","266","18","44","-"
"8984","20230728","2","870","-337","97","20","8.97","225","-228","86","20","645","-109","11","-"
"8985","20230728","2","20825","4090","414","-35","50.3","11040","2820","282","-35","9785","1270","132","-"
"8986","20230728","2","552","-62","73","16","7.56","320","-62","68","16","232","-","5","-"
"8987","20230728","2","1257","-85","775","8","1.62","65","19","541","48","1192","-104","234","-40"
