"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20230512","2","3053","-395","15","-13","203.53","779","-396","15","-13","2274","1","-","-"
"2972","20230512","1","11621","-161","1","-","11621","7399","-203","-","-","4222","42","1","-"
"2979","20230512","2","567","-63","48","41","11.81","360","-85","48","41","207","22","-","-"
"2989","20230512","1","6132","-249","-","-","-","3664","-315","-","-","2468","66","-","-"
"3226","20230512","2","26","-6","178","-55","0.15","10","3","154","-51","16","-9","24","-4"
"3234","20230512","2","755","148","428","-77","1.76","200","102","362","-72","555","46","66","-5"
"3249","20230512","2","859","-120","222","-29","3.87","366","-111","222","-29","493","-9","-","-"
"3269","20230512","2","242","-1","782","67","0.31","102","-1","775","67","140","-","7","-"
"3278","20230512","2","198","-4","40","-2","4.95","129","-8","39","-2","69","4","1","-"
"3279","20230512","2","861","24","78","37","11.04","268","18","49","8","593","6","29","29"
"3281","20230512","2","542","12","232","-170","2.34","337","-1","133","-170","205","13","99","-"
"3282","20230512","2","38","7","744","-34","0.05","28","4","588","-14","10","3","156","-20"
"3283","20230512","2","149","-65","281","-19","0.53","82","-61","256","-29","67","-4","25","10"
"3287","20230512","2","402","-43","160","10","2.51","261","-54","159","10","141","11","1","-"
"3290","20230512","2","2082","121","188","-8","11.07","1490","107","188","-8","592","14","-","-"
"3292","20230512","2","294","-11","215","46","1.37","94","11","124","-10","200","-22","91","56"
"3295","20230512","2","601","95","55","-33","10.93","229","63","54","-33","372","32","1","-"
"3296","20230512","2","1865","21","20","-4","93.25","1011","-8","20","-4","854","29","-","-"
"3309","20230512","2","4105","-450","943","104","4.35","307","-471","934","104","3798","21","9","-"
"3451","20230512","1","1872","-210","-","-","-","776","-161","-","-","1096","-49","-","-"
"3453","20230512","2","1648","142","22","3","74.91","813","6","21","3","835","136","1","-"
"3455","20230512","2","254","-26","88","-6","2.89","188","-17","87","-6","66","-9","1","-"
"3459","20230512","1","1174","-57","-","-","-","574","-41","-","-","600","-16","-","-"
"3462","20230512","2","1243","-128","445","113","2.79","500","-20","189","-4","743","-108","256","117"
"3463","20230512","1","6210","-198","-","-","-","1103","-254","-","-","5107","56","-","-"
"3466","20230512","2","443","-12","161","-29","2.75","109","-17","161","-29","334","5","-","-"
"3468","20230512","2","5506","-35","91","34","60.51","995","31","40","34","4511","-66","51","-"
"3470","20230512","1","2310","-152","-","-","-","1146","-186","-","-","1164","34","-","-"
"3471","20230512","2","378","130","105","-43","3.6","163","107","105","5","215","23","-","-48"
"3472","20230512","1","5390","-138","-","-","-","3968","-55","-","-","1422","-83","-","-"
"3476","20230512","2","9464","873","130","-389","72.8","2770","872","91","-338","6694","1","39","-51"
"3481","20230512","2","327","-50","43","6","7.6","287","-38","38","6","40","-12","5","-"
"3487","20230512","2","703","-72","201","-101","3.5","318","-70","198","-87","385","-2","3","-14"
"3488","20230512","1","2639","-23","-","-","-","1851","1","-","-","788","-24","-","-"
"3492","20230512","2","14308","587","47","-41","304.43","7641","-17","47","-41","6667","604","-","-"
"3493","20230512","1","634","-29","-","-","-","512","-17","-","-","122","-12","-","-"
"8951","20230512","2","2077","695","256","83","8.11","1028","448","245","84","1049","247","11","-1"
"8952","20230512","2","1666","156","228","42","7.31","964","198","214","63","702","-42","14","-21"
"8953","20230512","2","4316","29","141","-70","30.61","1039","109","87","-70","3277","-80","54","-"
"8954","20230512","2","648","61","97","2","6.68","503","2","77","2","145","59","20","-"
"8955","20230512","2","326","91","174","25","1.87","171","88","172","25","155","3","2","-"
"8956","20230512","2","1921","143","86","-45","22.34","564","159","84","10","1357","-16","2","-55"
"8957","20230512","2","213","-11","350","-31","0.61","151","-11","348","-31","62","-","2","-"
"8958","20230512","2","5407","1089","6","-24","901.17","3584","490","6","-24","1823","599","-","-"
"8960","20230512","2","2150","98","88","-14","24.43","397","-63","67","-14","1753","161","21","-"
"8961","20230512","2","1058","-135","96","-70","11.02","354","-33","94","-70","704","-102","2","-"
"8963","20230512","2","52902","4197","3272","-511","16.17","22276","3930","2745","-511","30626","267","527","-"
"8964","20230512","2","280","76","78","-9","3.59","109","56","37","-9","171","20","41","-"
"8966","20230512","2","121","-26","761","174","0.16","53","-26","760","174","68","-","1","-"
"8967","20230512","2","96","9","509","-131","0.19","41","-6","500","-131","55","15","9","-"
"8968","20230512","2","633","31","32","-114","19.78","197","-42","31","-114","436","73","1","-"
"8972","20230512","2","570","-139","82","-391","6.95","393","-35","56","-407","177","-104","26","16"
"8975","20230512","2","11708","-1207","767","-41","15.26","1792","-1183","766","-39","9916","-24","1","-2"
"8976","20230512","2","686","223","57","53","12.04","560","171","56","53","126","52","1","-"
"8977","20230512","2","541","-124","421","5","1.29","99","-43","415","5","442","-81","6","-"
"8979","20230512","1","284","-63","45","1","6.31","97","17","-","-","187","-80","45","1"
"8984","20230512","2","652","127","101","-35","6.46","245","51","60","-30","407","76","41","-5"
"8985","20230512","2","7231","-1119","916","20","7.89","3811","-914","784","20","3420","-205","132","-"
"8986","20230512","2","873","21","128","74","6.82","624","89","123","74","249","-68","5","-"
"8987","20230512","2","2497","-28","42","-98","59.45","975","-56","42","-98","1522","28","-","-"
