"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20230324","2","4479","-277","92","-34","48.68","1993","-162","92","-34","2486","-115","-","-"
"2972","20230324","1","13624","-192","-","-1","-","9358","-125","-","-","4266","-67","-","-1"
"2979","20230324","2","638","15","15","7","42.53","447","20","15","7","191","-5","-","-"
"2989","20230324","1","6487","-1148","-","-","-","3991","-921","-","-","2496","-227","-","-"
"3226","20230324","2","110","-21","47","2","2.34","79","-23","47","2","31","2","-","-"
"3234","20230324","2","711","-47","409","91","1.74","167","-48","338","91","544","1","71","-"
"3249","20230324","2","1177","-426","362","-595","3.25","621","-51","362","-566","556","-375","-","-29"
"3269","20230324","2","637","23","54","-1","11.8","300","16","47","-1","337","7","7","-"
"3278","20230324","2","131","22","79","3","1.66","94","16","78","4","37","6","1","-1"
"3279","20230324","2","946","29","1","-3","946","379","34","1","-3","567","-5","-","-"
"3281","20230324","2","711","35","440","-82","1.62","498","31","368","-82","213","4","72","-"
"3282","20230324","2","73","-20","807","68","0.09","65","-19","462","46","8","-1","345","22"
"3283","20230324","2","412","127","127","-37","3.24","331","129","116","-37","81","-2","11","-"
"3287","20230324","2","617","23","138","-21","4.47","430","10","137","-21","187","13","1","-"
"3290","20230324","2","1251","9","199","5","6.29","692","5","199","5","559","4","-","-"
"3292","20230324","2","721","-48","68","4","10.6","304","-53","64","4","417","5","4","-"
"3295","20230324","2","605","-77","26","-2","23.27","210","-87","25","-2","395","10","1","-"
"3296","20230324","2","2538","-13","28","-3","90.64","1695","-6","28","-3","843","-7","-","-"
"3309","20230324","2","6217","-303","89","-40","69.85","2520","-83","83","-43","3697","-220","6","3"
"3451","20230324","1","2212","28","-","-","-","1241","24","-","-","971","4","-","-"
"3453","20230324","2","2468","338","62","-5","39.81","1240","247","61","-5","1228","91","1","-"
"3455","20230324","2","474","-72","121","5","3.92","370","-86","120","5","104","14","1","-"
"3459","20230324","1","1271","85","-","-","-","626","12","-","-","645","73","-","-"
"3462","20230324","2","1576","-75","280","52","5.63","982","-79","259","46","594","4","21","6"
"3463","20230324","1","8074","714","2176","975","3.71","2672","692","-","-","5402","22","2176","975"
"3466","20230324","2","433","36","135","-14","3.21","101","20","135","-14","332","16","-","-"
"3468","20230324","2","6930","-220","110","89","63","1903","-238","72","51","5027","18","38","38"
"3470","20230324","1","2459","-97","-","-","-","1332","-220","-","-","1127","123","-","-"
"3471","20230324","2","369","-13","59","5","6.25","167","-8","59","5","202","-5","-","-"
"3472","20230324","1","6133","36","-","-","-","4341","26","-","-","1792","10","-","-"
"3476","20230324","2","13594","-246","406","298","33.48","6081","-201","403","297","7513","-45","3","1"
"3481","20230324","2","445","-17","28","-","15.89","352","-22","23","-","93","5","5","-"
"3487","20230324","2","3005","2144","5069","5031","0.59","2427","1972","3619","3581","578","172","1450","1450"
"3488","20230324","1","3215","916","-","-","-","2489","884","-","-","726","32","-","-"
"3492","20230324","2","15475","521","445","239","34.78","8863","717","444","239","6612","-196","1","-"
"3493","20230324","1","552","-29","-","-","-","438","-33","-","-","114","4","-","-"
"8951","20230324","2","1370","134","514","256","2.67","843","90","505","256","527","44","9","-"
"8952","20230324","2","970","-66","495","355","1.96","334","-60","487","355","636","-6","8","-"
"8953","20230324","2","3032","204","205","-78","14.79","916","192","167","-78","2116","12","38","-"
"8954","20230324","2","774","63","63","-39","12.29","651","45","49","-39","123","18","14","-"
"8955","20230324","2","277","-4","112","-17","2.47","114","-4","111","-17","163","-","1","-"
"8956","20230324","2","1658","55","378","74","4.39","322","18","374","72","1336","37","4","2"
"8957","20230324","2","227","21","390","-10","0.58","172","13","388","-10","55","8","2","-"
"8958","20230324","2","4413","102","91","-30","48.49","1920","121","91","-30","2493","-19","-","-"
"8960","20230324","2","2244","-191","65","5","34.52","581","65","46","5","1663","-256","19","-"
"8961","20230324","2","1562","-177","102","8","15.31","498","-258","100","8","1064","81","2","-"
"8963","20230324","2","60661","3578","2145","-243","28.28","25702","2060","1728","-243","34959","1518","417","-"
"8964","20230324","2","799","43","61","-","13.1","642","36","18","-","157","7","43","-"
"8966","20230324","2","164","7","491","3","0.33","87","5","490","3","77","2","1","-"
"8967","20230324","2","79","-2","506","115","0.16","46","-2","497","115","33","-","9","-"
"8968","20230324","2","644","-113","132","-9","4.88","266","-105","51","1","378","-8","81","-10"
"8972","20230324","2","394","120","12","-3","32.83","244","119","12","-3","150","1","-","-"
"8975","20230324","2","7356","4057","1074","104","6.85","1120","-807","1074","104","6236","4864","-","-"
"8976","20230324","2","258","25","44","30","5.86","179","17","43","30","79","8","1","-"
"8977","20230324","2","568","28","405","15","1.4","316","93","399","15","252","-65","6","-"
"8979","20230324","1","320","3","44","-","7.27","71","-5","-","-","249","8","44","-"
"8984","20230324","2","723","-129","97","4","7.45","372","25","78","-6","351","-154","19","10"
"8985","20230324","2","10818","1142","1091","174","9.92","6596","258","966","214","4222","884","125","-40"
"8986","20230324","2","1051","-58","41","-22","25.63","710","-73","36","-22","341","15","5","-"
"8987","20230324","2","965","3","294","21","3.28","143","-43","294","22","822","46","-","-1"
