"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20231027","2","2344","-14","32","14","73.25","595","-5","32","14","1749","-9","-","-"
"2972","20231027","1","4593","43","-","-","-","716","10","-","-","3877","33","-","-"
"2979","20231027","2","7381","1049","179","5","41.23","6869","979","179","5","512","70","-","-"
"2989","20231027","1","4336","-83","-","-","-","837","-83","-","-","3499","-","-","-"
"3226","20231027","2","234","-5","76","-13","3.08","207","9","76","-3","27","-14","-","-10"
"3234","20231027","2","1328","-62","56","2","23.71","370","-43","56","2","958","-19","-","-"
"3249","20231027","2","4699","1334","22","-51","213.59","2746","1152","22","-51","1953","182","-","-"
"3269","20231027","2","503","-17","206","-177","2.44","338","-6","185","-146","165","-11","21","-31"
"3279","20231027","2","621","16","23","22","27","139","21","23","22","482","-5","-","-"
"3281","20231027","2","2146","-434","1020","515","2.1","1062","-208","701","477","1084","-226","319","38"
"3282","20231027","2","125","3","37","22","3.38","92","33","37","22","33","-30","-","-"
"3283","20231027","2","736","89","98","38","7.51","414","-76","98","38","322","165","-","-"
"3287","20231027","2","882","-52","2152","2088","0.41","549","-40","2105","2042","333","-12","47","46"
"3290","20231027","2","1740","-181","153","9","11.37","1182","-156","153","9","558","-25","-","-"
"3292","20231027","2","856","29","118","22","7.25","512","76","114","22","344","-47","4","-"
"3295","20231027","2","628","3","257","-110","2.44","249","-1","257","-110","379","4","-","-"
"3296","20231027","2","760","67","41","-1","18.54","152","49","39","-1","608","18","2","-"
"3309","20231027","2","3964","-816","25222","24806","0.16","308","-306","24434","24125","3656","-510","788","681"
"3451","20231027","1","1333","9","36","36","37.03","552","13","-","-","781","-4","36","36"
"3455","20231027","2","1110","116","103","1","10.78","641","60","102","1","469","56","1","-"
"3459","20231027","2","1533","2","3","3","511","880","-1","3","3","653","3","-","-"
"3462","20231027","2","728","-342","1696","319","0.43","173","-11","966","255","555","-331","730","64"
"3463","20231027","1","5740","-47","-","-4","-","1088","45","-","-","4652","-92","-","-4"
"3466","20231027","2","801","-57","353","79","2.27","465","-42","237","21","336","-15","116","58"
"3468","20231027","2","4437","280","96","-60","46.22","1386","200","96","-60","3051","80","-","-"
"3470","20231027","1","1265","-16","-","-","-","487","3","-","-","778","-19","-","-"
"3471","20231027","2","318","-11","77","-23","4.13","188","-6","77","-23","130","-5","-","-"
"3472","20231027","1","4723","-136","-","-","-","3731","-79","-","-","992","-57","-","-"
"3476","20231027","2","8306","137","16704","15253","0.5","3014","180","14907","14469","5292","-43","1797","784"
"3481","20231027","2","368","-109","28","19","13.14","237","-97","28","19","131","-12","-","-"
"3487","20231027","2","1504","210","2","-3","752","990","160","2","-3","514","50","-","-"
"3488","20231027","1","2694","38","-","-","-","1552","79","-","-","1142","-41","-","-"
"3492","20231027","2","8194","19","985","71","8.32","2690","-14","985","71","5504","33","-","-"
"3493","20231027","1","3661","395","-","-","-","3384","395","-","-","277","-","-","-"
"8951","20231027","2","387","-109","622","483","0.62","137","-73","590","475","250","-36","32","8"
"8952","20231027","2","446","-8","205","-194","2.18","191","-","196","-174","255","-8","9","-20"
"8953","20231027","2","7073","-2284","310","-3","22.82","1661","-637","261","-3","5412","-1647","49","-"
"8954","20231027","2","451","132","111","49","4.06","227","25","94","49","224","107","17","-"
"8955","20231027","2","305","-","18","5","16.94","148","4","12","-","157","-4","6","5"
"8956","20231027","2","6406","5005","18595","18197","0.34","4296","4112","14123","13777","2110","893","4472","4420"
"8957","20231027","2","267","-132","262","-61","1.02","175","-13","261","-61","92","-119","1","-"
"8958","20231027","2","3750","-255","6","-20","625","1335","-268","6","-20","2415","13","-","-"
"8960","20231027","2","1952","-142","77","39","25.35","902","-155","60","39","1050","13","17","-"
"8961","20231027","2","1810","-226","723","309","2.5","1086","-172","703","289","724","-54","20","20"
"8963","20231027","2","56008","-1423","1607","300","34.85","21124","-1874","1467","300","34884","451","140","-"
"8964","20231027","2","677","-145","53","9","12.77","367","-165","12","9","310","20","41","-"
"8966","20231027","2","1779","-22","35","-12","50.83","763","-20","34","-12","1016","-2","1","-"
"8967","20231027","2","175","65","222","-30","0.79","117","61","214","-30","58","4","8","-"
"8968","20231027","2","1060","-161","203","39","5.22","473","-110","203","39","587","-51","-","-"
"8972","20231027","2","3281","2671","6091","5709","0.54","3134","2677","5991","5709","147","-6","100","-"
"8975","20231027","2","1483","-107","444","300","3.34","528","-291","-","-","955","184","444","300"
"8976","20231027","2","110","-40","68","13","1.62","60","-43","67","13","50","3","1","-"
"8977","20231027","2","593","41","379","32","1.56","295","3","373","32","298","38","6","-"
"8979","20231027","1","494","-104","72","28","6.86","157","-81","-","-","337","-23","72","28"
"8984","20231027","2","2293","-914","348","191","6.59","1611","-714","285","196","682","-200","63","-5"
"8985","20231027","2","19507","-573","284","-29","68.69","14069","-414","223","-28","5438","-159","61","-1"
"8986","20231027","2","1246","-234","2537","-365","0.49","321","-242","2437","-276","925","8","100","-89"
"8987","20231027","2","677","-136","641","45","1.06","50","-60","641","45","627","-76","-","-"
