"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","37703","10928283","2.61","90","7.55","0.78","456.68","4429.19","345000","100","20230203","3930","20220111","3055"
"1332","ニッスイ","東証PR","水産・農林","167775","312430277","2.98","16","8.36","0.76","64.26","704.75","53700","100","20220726","608","20220309","497"
"1333","マルハニチロ","東証PR","水産・農林","120168","50639610","2.32","55","6.41","0.66","370.04","3604.21","237300","100","20220809","2678","20220527","2201"
"1375","雪国まいたけ","東証PR","水産・農林","40589","39910700","2.95","30","34.78","3.68","29.24","276.16","101700","100","20220214","1258","20220527","814"
"1376","カネコ種苗","東証ST","水産・農林","18895","11772626","1.81","29","14.86","0.81","108","1977.45","160500","100","20220502","1868","20221208","1368"
"1377","サカタのタネ","東証PR","水産・農林","187510","47410750","1.26","50","20.64","1.3","191.66","3038.31","395500","100","20220909","5270","20220119","3210"
"1379","ホクト","東証PR","水産・農林","62715","33359040","3.19","60","-","1.16","-50.31","1617.45","188000","100","20220502","2045","20230210","1853"
"1380","秋川牧園","東証ST","水産・農林","4426","4179000","0.94","10","51.94","2.14","20.39","494.11","105900","100","20220808","1370","20220704","1036"
"1381","アクシーズ","東証ST","水産・農林","16240","5617500","3.29","95","16.24","0.86","178.07","3361.44","289100","100","20220624","3455","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1380","762000","2.76","50","10.53","1.84","171.97","984.58","181100","100","20220706","4515","20220127","870"
"1383","ベルグアース","東証ST","水産・農林","4861","1560500","0.32","10","74.43","3.2","41.85","974.37","311500","100","20230303","3450","20220427","2459"
"1384","ホクリヨウ","東証ST","水産・農林","7072","8459000","2.39","20","6.88","0.65","121.53","1295.91","83600","100","20230213","972","20220928","590"
"1400","ルーデン・ホールディングス","東証GR","建設","1860","13008600","0","0","-","0.83","-0.08","173.12","14300","100","20220104","220","20230206","98"
"1401","エムビーエス","東証GR","建設","3789","7732000","1.22","6","10.95","1.23","44.73","398.92","49000","100","20220113","587","20221228","466"
"1407","ウエストホールディングス","東証ST","建設","146367","46027488","1.73","55","17.86","5.07","178.05","626.83","318000","100","20220104","5860","20230316","3010"
"1414","ショーボンドホールディングス","東証PR","建設","306424","56745180","2.22","120","22.59","3.04","239","1779.11","540000","100","20221011","6540","20220119","4800"
"1417","ミライト・ワン","東証PR","建設","170797","103325329","3.63","60","10.81","0.67","152.89","2459.4","165300","100","20220315","2048","20221104","1399"
"1418","インターライフホールディングス","東証ST","建設","3282","20010529","3.05","5","26.11","0.82","6.28","200.56","16400","100","20220414","228","20220307","149"
"1419","タマホーム","東証PR","建設","101917","29455800","4.91","170","11.86","3.19","291.77","1083.49","346000","100","20230309","3730","20220224","2170"
"1420","サンヨーホームズ","東証ST","建設","9654","12620000","3.27","25","84.81","0.61","9.02","1250.9","76500","100","20220311","840","20220914","682"
"1429","日本アクア","東証PR","建設","31180","34760000","3.34","30","15.36","3.53","58.38","254.41","89700","100","20230210","993","20220315","531"
"1430","ファーストコーポレーション","東証PR","建設","10718","13363540","4.36","35","6.94","1.36","115.53","590.56","80200","100","20220509","813","20220127","666"
"1431","Lib_Work","東証GR","建設","18867","23292040","0.79","6.4","39","5.51","20.77","146.9","81000","100","20220906","890","20220128","664"
"1433","ベステラ","東証PR","建設","7821","8990200","2.3","20","19.27","1.76","45.14","493.05","87000","100","20220217","1399","20221013","833"
"1434","JESCOホールディングス","東証ST","建設","3188","6827100","3.43","16","5.08","0.72","91.89","645.92","46700","100","20220104","538","20220308","399"
"1435","Robot_Home","東証PR","建設","18590","91127000","0.98","2","22.92","2.33","8.9","87.64","20400","100","20220105","245","20221227","157"
"1436","フィット","東証GR","建設","2973","4284200","1.44","10","8.84","0.61","78.52","1137.93","69400","100","20220331","1015","20221229","656"
"1438","岐阜造園","東証ST","建設","3232","3203600","1.98","20","11.26","0.97","89.6","1042.07","100900","100","20220928","1145","20221208","980"
"1439","安江工務店","東証ST","建設","1389","1342380","2.9","30","9.98","0.86","103.7","1197.37","103500","100","20230203","1796","20220309","810"
"1443","技研ホールディングス","東証ST","建設","3589","16237977","0.45","1","11.21","0.37","19.71","591.86","22100","100","20221011","319","20220224","179"
"1444","ニッソウ","東証GR","建設","2207","1088700","0","0","17.88","1.49","113.35","1360.8","202700","100","20230215","2470","20221129","1411"
"1446","キャンディル","東証ST","建設","5571","10734200","1.16","6","35.23","1.87","14.73","278.15","51900","100","20220815","630","20220120","472"
"1447","ITbookホールディングス","東証GR","建設","9250","24152701","-","-","24.03","4.22","15.94","90.79","38300","100","20220331","661","20220128","336"
"1450","田中建設工業","東証ST","建設","11483","4349800","2.77","73","9.19","1.87","287.39","1410.52","264000","100","20230309","2683","20220413","1600"
"1451","KHC","東証ST","建設","2523","3985350","5.21","33","7.16","0.42","88.44","1516.29","63300","100","20220901","694","20220617","579"
"1491","中外鉱業","東証ST","非鉄金属","9272","289747982","-","-","25","1.29","1.28","24.79","3200","100","20220308","39","20220127","26"
"1514","住石ホールディングス","東証ST","鉱業","20082","58892853","1.47","5","8.01","1.04","42.58","327.85","34100","100","20230124","464","20220201","129"
"1515","日鉄鉱業","東証PR","鉱業","58800","16704638","3.85","135.5","7.81","0.46","450.8","7625.55","352000","100","20230308","3885","20220707","2482"
"1518","三井松島ホールディングス","東証PR","鉱業","46836","13064400","8.93","320","2.22","0.91","1615.77","3952.35","358500","100","20220809","4590","20220208","1470"
"1605","INPEX","東証PR","鉱業","1870614","1386667167","4.74","64","6.53","0.47","206.74","2891.93","134900","100","20220609","1831","20220106","989"
"1662","石油資源開発","東証PR","鉱業","248151","54300076","7.22","330","4.16","0.61","1099.18","7461.13","457000","100","20230307","5230","20220302","2325"
"1663","K＆Oエナジーグループ","東証PR","鉱業","59052","28336061","1.63","34","12.89","0.66","161.66","3161.03","208400","100","20221130","2480","20220106","1424"
"1711","SDSホールディングス","東証ST","建設","2716","8732773","0","0","-","4.2","-6.58","74.09","31100","100","20220302","726","20230316","303"
"1712","ダイセキ環境ソリューション","東証PR","建設","15515","16827120","1.08","10","34.07","1.06","27.06","870.12","92200","100","20220104","1650","20221108","766"
"1716","第一カッター興業","東証PR","建設","13500","12000000","2.58","29","8.39","0.82","134.12","1374.41","112500","100","20220210","1459","20221221","996"
"1717","明豊ファシリティワークス","東証ST","サービス","10106","12775900","3.98","31.5","14.32","2.04","55.23","387.12","79100","100","20220104","856","20220516","590"
"1718","美樹工業","東証ST","建設","4596","1153263","4.02","160","7.26","0.3","548.86","13366.56","398500","100","20220209","4135","20220308","3760"
"1719","安藤・間","東証PR","建設","156583","181021197","4.62","40","7.97","0.99","108.53","871.9","86500","100","20220217","940","20220519","787"
"1720","東急建設","東証PR","建設","72491","106761205","5.3","36","17.8","0.77","38.14","878.38","67900","100","20220217","735","20220426","576"
"1721","コムシスホールディングス","東証PR","建設","346578","141000000","4.07","100","11.54","0.89","213.06","2759.35","245800","100","20220216","2825","20230104","2277"
"1723","日本電技","東証ST","建設","28568","8197500","4.3","150","9.15","0.95","380.8","3657.24","348500","100","20220111","4190","20221020","2784"
