"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"4118","カネカ","東証PR","化学","249220","68000000","3","110","10.34","0.55","354.34","6703.9","366500","100","20230915","4288","20230116","3180"
"4119","日本ピグメント","東証ST","化学","4822","1575899","3.27","100","13.72","0.32","222.97","9435.4","306000","100","20240227","3325","20230111","2016"
"4120","スガイ化学工業","東証ST","化学","3652","1373000","2.07","55","11.58","0.49","229.62","5452.93","266000","100","20240301","2660","20230113","1853"
"4124","大阪油化工業","東証ST","化学","1618","1073500","2.32","35","31.2","0.92","48.3","1631.58","150700","100","20230531","2451","20230105","1401"
"4125","三和油化工業","東証ST","化学","10860","4318000","1.43","36","13.57","0.93","185.27","2712.65","251500","100","20230123","4595","20240220","2373"
"4151","協和キリン","東証PR","医薬品","1594350","540000000","1.96","58","25.19","1.9","117.19","1555.81","295250","100","20230418","3150","20240207","2266"
"4165","プレイド","東証GR","情報通信","32726","39909617","0","0","-","12.49","-","65.64","82000","100","20230629","955","20230502","555"
"4166","かっこ","東証GR","情報通信","1986","2669584","0","0","-","1.85","-115","401.8","74400","100","20230413","1967","20240216","716"
"4167","ココペリ","東証GR","情報通信","3277","7916230","0","0","3184.62","1.83","0.13","226.52","41400","100","20230208","706","20231226","301"
"4168","ヤプリ","東証GR","情報通信","14680","12956600","0","0","34.7","10.81","32.65","104.81","113300","100","20230904","1744","20230407","742"
"4169","ENECHANGE","東証GR","情報通信","40097","34745708","-","-","-","15.5","-","74.43","115400","100","20230309","1590","20231024","818"
"4170","Kaizen_Platform","東証GR","情報通信","4942","16865731","0","0","-","1.57","-1.78","186.86","29300","100","20230306","451","20231204","218"
"4171","グローバルインフォメーション","東証ST","情報通信","4026","2947600","4.17","57","10.35","1.76","131.98","776.81","136600","100","20230509","1950","20231225","1313"
"4172","東和ハイシステム","東証ST","情報通信","3921","2228000","3.41","60","13.38","1.06","131.51","1662.96","176000","100","20230207","2330","20230104","1454"
